Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,Coherence_NG3_L4_SS_L4_Mean_mean,GrCaus_NG3_L4_SS_L4_Information_mean,NormError_SimErr_mean,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_mean
C,30.0,C_1,30.0,13.6198418702,3.90812451019,0.687163766954,0.141538322365
C,30.0,C_1,40.0,12.6540814224,3.76922487838,0.9104287648,0.0931167377324
C,30.0,C_1,50.0,11.930957944,3.48632133014,1.13906407612,0.0565034145492
C,30.0,C_1,60.0,10.2525491196,2.96997934715,1.31869592146,0.0400960720718
C,30.0,C_1,70.0,8.84202365715,2.67844438954,1.43286404391,0.0401846447952
C,30.0,C_1,80.0,7.59509957714,2.09240450524,1.46237816116,0.036819624642
C,30.0,C_1,90.0,6.79074108095,1.58577754602,1.46599263414,0.0330434398468
C,30.0,C_1,100.0,6.02575377909,1.25362532858,1.46480008624,0.0314645021355
C,30.0,C_1,110.0,5.69857749033,0.930944680746,1.4726923825,0.0246532099612
C,30.0,C_1,120.0,5.35292000788,0.543441608722,1.47951069327,0.0238793578897
C,40.0,C_1,30.0,11.6011435772,3.5235751903,0.73390128384,0.135061740508
C,40.0,C_1,40.0,12.5624846145,3.62016691867,0.910519733075,0.107209948685
C,40.0,C_1,50.0,11.7744291613,3.37235328937,1.12054005683,0.054231765668
C,40.0,C_1,60.0,10.3044180471,3.00159479412,1.31164796788,0.0427524996091
C,40.0,C_1,70.0,8.85498294649,2.68984684514,1.42511135776,0.0386418601025
C,40.0,C_1,80.0,7.64269514667,2.11926696754,1.4638968283,0.0357926702943
C,40.0,C_1,90.0,6.82598986458,1.62157407285,1.46698683314,0.0326939663775
C,40.0,C_1,100.0,6.02022019155,1.26353640954,1.46806889575,0.0300728588025
C,40.0,C_1,110.0,5.69971732628,0.954257038276,1.47466296932,0.0253800709362
C,40.0,C_1,120.0,5.3589551427,0.571303450699,1.4815364711,0.0254202479536
C,50.0,C_1,30.0,10.9536563984,3.35385827717,0.7953857984,0.121690357256
C,50.0,C_1,40.0,11.8700669713,3.44724771141,0.915130072476,0.107805052573
C,50.0,C_1,50.0,11.8932726354,3.29031730247,1.1075604039,0.0555030526088
C,50.0,C_1,60.0,10.2832410586,3.01553870225,1.28901470121,0.0432945498098
C,50.0,C_1,70.0,8.86389058343,2.65340579335,1.41917124548,0.0373929706366
C,50.0,C_1,80.0,7.68160590958,2.13446855789,1.46688634013,0.0355566381693
C,50.0,C_1,90.0,6.84808197523,1.63271577545,1.46678750546,0.0335654308616
C,50.0,C_1,100.0,6.06745054014,1.28593167466,1.4675578741,0.0315617470869
C,50.0,C_1,110.0,5.69193228326,0.939756120128,1.47932837256,0.0265874667115
C,50.0,C_1,120.0,5.37062179772,0.582629793416,1.4707847402,0.0254656386515
C,60.0,C_1,30.0,10.4126221348,3.22575773716,0.827334116504,0.0989422214439
C,60.0,C_1,40.0,11.3445635218,3.42362569326,0.889117359344,0.10986831822
C,60.0,C_1,50.0,11.5712238701,3.36477120786,1.11252836674,0.0582927828664
C,60.0,C_1,60.0,10.1273884202,2.98487906825,1.28191326284,0.0466585743766
C,60.0,C_1,70.0,8.85718043056,2.65476117511,1.41837013253,0.0374676170789
C,60.0,C_1,80.0,7.71673873811,2.1465362035,1.4672726831,0.0353209455195
C,60.0,C_1,90.0,6.88904665455,1.68793818419,1.47236114601,0.0321468094356
C,60.0,C_1,100.0,6.07891237594,1.30129175434,1.47264932249,0.0324276470475
C,60.0,C_1,110.0,5.70909777723,0.936071312858,1.47842564586,0.0262346482413
C,60.0,C_1,120.0,5.37080019539,0.582174715839,1.47038080718,0.0254419211421
C,70.0,C_1,30.0,9.42761966748,3.08109343578,0.869707763891,0.0845948472062
C,70.0,C_1,40.0,10.4493962827,3.20161002728,0.891961450015,0.101597415989
C,70.0,C_1,50.0,11.3156290067,3.28955186447,1.09851238932,0.0601491129832
C,70.0,C_1,60.0,9.97962031354,2.92003932812,1.27682971256,0.0418552167807
C,70.0,C_1,70.0,8.90600213867,2.65815425105,1.41590301683,0.0359709340003
C,70.0,C_1,80.0,7.74757962425,2.1580621531,1.46968969763,0.0328710500859
C,70.0,C_1,90.0,6.93601343915,1.70921865388,1.46987039081,0.0321624476986
C,70.0,C_1,100.0,6.07230361593,1.31287869225,1.46975967299,0.0312337795555
C,70.0,C_1,110.0,5.73191207695,0.949064247368,1.47590752957,0.0269103015576
C,70.0,C_1,120.0,5.37080019539,0.582174715839,1.47038080718,0.0254419211421
C,80.0,C_1,30.0,9.04075204544,3.11583454283,0.943012680035,0.0778005903865
C,80.0,C_1,40.0,9.82466676638,3.05042818368,0.910320960696,0.0929204705131
C,80.0,C_1,50.0,10.7962269971,3.18570342888,1.08645020321,0.0633402537566
C,80.0,C_1,60.0,9.91894869906,2.91480843252,1.28682846244,0.0419861671076
C,80.0,C_1,70.0,8.80592765611,2.64605938186,1.40075085052,0.0389095754698
C,80.0,C_1,80.0,7.79736426111,2.17145333832,1.46019812812,0.0338367207262
C,80.0,C_1,90.0,6.93490938851,1.70956593048,1.47008037862,0.0322584368121
C,80.0,C_1,100.0,6.07230361593,1.31287869225,1.46975967299,0.0312337795555
C,80.0,C_1,110.0,5.73191207695,0.949064247368,1.47590752957,0.0269103015576
C,80.0,C_1,120.0,5.37080019539,0.582174715839,1.47038080718,0.0254419211421
C,90.0,C_1,30.0,9.51572608243,3.09636744374,0.987248065398,0.07171255568
C,90.0,C_1,40.0,9.66949756426,2.96371693089,0.957128141009,0.0845492602923
C,90.0,C_1,50.0,10.5353083683,3.06257897688,1.08151153594,0.0677519064172
C,90.0,C_1,60.0,9.73092052243,2.84100934485,1.2779384995,0.0425083419173
C,90.0,C_1,70.0,8.87803000681,2.66215382338,1.39478917705,0.0383671349582
C,90.0,C_1,80.0,7.73843690782,2.15671752261,1.45439629181,0.0340076365555
C,90.0,C_1,90.0,6.93469064736,1.70939955768,1.4700823973,0.0326550757593
C,90.0,C_1,100.0,6.07230361593,1.31287869225,1.46975967299,0.0312337795555
C,90.0,C_1,110.0,5.73191207695,0.949064247368,1.47590752957,0.0269103015576
C,90.0,C_1,120.0,5.37080019539,0.582174715839,1.47038080718,0.0254419211421
C,100.0,C_1,30.0,9.07595881275,3.1416138275,1.06321327074,0.0664102439602
C,100.0,C_1,40.0,9.63425668082,2.86966507118,0.962845338927,0.0842688713025
C,100.0,C_1,50.0,10.2396775718,2.95174623884,1.0774519598,0.0696967221352
C,100.0,C_1,60.0,9.62275375697,2.83455764651,1.27823100471,0.0436263550387
C,100.0,C_1,70.0,8.80097788259,2.63805265542,1.38571888211,0.0380339582384
C,100.0,C_1,80.0,7.73395435918,2.15454733118,1.45377117043,0.0337143706268
C,100.0,C_1,90.0,6.9350361823,1.70942597017,1.47013974872,0.0323859245822
C,100.0,C_1,100.0,6.07230361593,1.31287869225,1.46975967299,0.0312337795555
C,100.0,C_1,110.0,5.73191207695,0.949064247368,1.47590752957,0.0269103015576
C,100.0,C_1,120.0,5.37080019539,0.582174715839,1.47038080718,0.0254419211421
C,110.0,C_1,30.0,8.41304241738,3.1642301993,1.08367503817,0.0644644940212
C,110.0,C_1,40.0,9.41803314822,2.89610588451,1.00878902424,0.0770765732178
C,110.0,C_1,50.0,9.53258154635,2.75852396891,1.08314871503,0.0766189349584
C,110.0,C_1,60.0,9.50288755692,2.78078283664,1.27925135901,0.0452742110814
C,110.0,C_1,70.0,8.79663844925,2.62417812125,1.38158122169,0.0381210079253
C,110.0,C_1,80.0,7.73351985333,2.15478907525,1.45401525458,0.0338627333169
C,110.0,C_1,90.0,6.93335299343,1.70885735874,1.47014557404,0.0325216602758
C,110.0,C_1,100.0,6.07230361593,1.31287869225,1.46975967299,0.0312337795555
C,110.0,C_1,110.0,5.73191207695,0.949064247368,1.47590752957,0.0269103015576
C,110.0,C_1,120.0,5.37080019539,0.582174715839,1.47038080718,0.0254419211421
C,120.0,C_1,30.0,8.45142803385,2.93003465512,1.19266420427,0.0654368000506
C,120.0,C_1,40.0,9.06231068203,2.80650012773,1.03719287349,0.067413937072
C,120.0,C_1,50.0,9.30255272753,2.69281117578,1.09173453413,0.0700663419093
C,120.0,C_1,60.0,9.21199141841,2.68389928997,1.25373086584,0.0446824442219
C,120.0,C_1,70.0,8.77815248647,2.61448674429,1.37835722642,0.0391300996852
C,120.0,C_1,80.0,7.73333550552,2.15481153404,1.45400945112,0.0339208690986
C,120.0,C_1,90.0,6.93335299343,1.70885735874,1.47014557404,0.0325216602758
C,120.0,C_1,100.0,6.07230361593,1.31287869225,1.46975967299,0.0312337795555
C,120.0,C_1,110.0,5.73191207695,0.949064247368,1.47590752957,0.0269103015576
C,120.0,C_1,120.0,5.37080019539,0.582174715839,1.47038080718,0.0254419211421
C,130.0,C_1,30.0,8.22332167234,2.88276981959,1.2696093982,0.0581777887568
C,130.0,C_1,40.0,9.12613732973,2.83626311408,1.08875280591,0.0570142091781
C,130.0,C_1,50.0,9.13989696311,2.65558042566,1.08400214433,0.06794513316
C,130.0,C_1,60.0,9.14579997578,2.65753248884,1.23723732289,0.0474711278145
