Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,MeanFR_NG1_L4_CI_SS_L4_mean,MeanFR_NG2_L4_CI_BC_L4_mean
C,30.0,C_1,30.0,12.0070833333,14.36
C,30.0,C_1,40.0,6.9375,7.29083333333
C,30.0,C_1,50.0,3.8275,3.46583333333
C,30.0,C_1,60.0,2.30041666667,1.77416666667
C,30.0,C_1,70.0,1.46395833333,0.8325
C,30.0,C_1,80.0,0.917916666667,0.440833333333
C,30.0,C_1,90.0,0.618541666667,0.260833333333
C,30.0,C_1,100.0,0.42625,0.156666666667
C,30.0,C_1,110.0,0.309166666667,0.0983333333332
C,30.0,C_1,120.0,0.229166666667,0.0491666666666
C,40.0,C_1,30.0,15.3866666667,17.4016666667
C,40.0,C_1,40.0,7.77958333333,7.355
C,40.0,C_1,50.0,4.12416666667,3.0375
C,40.0,C_1,60.0,2.435,1.34666666667
C,40.0,C_1,70.0,1.51458333333,0.570833333333
C,40.0,C_1,80.0,0.932708333334,0.266666666667
C,40.0,C_1,90.0,0.635833333333,0.135833333333
C,40.0,C_1,100.0,0.431666666667,0.0883333333334
C,40.0,C_1,110.0,0.313125,0.0466666666667
C,40.0,C_1,120.0,0.232291666667,0.02
C,50.0,C_1,30.0,20.7177083333,22.5533333334
C,50.0,C_1,40.0,9.010625,8.17333333333
C,50.0,C_1,50.0,4.33229166667,2.745
C,50.0,C_1,60.0,2.51791666667,1.02666666667
C,50.0,C_1,70.0,1.5425,0.380833333333
C,50.0,C_1,80.0,0.946458333334,0.139166666667
C,50.0,C_1,90.0,0.641875,0.0741666666667
C,50.0,C_1,100.0,0.4375,0.0308333333333
C,50.0,C_1,110.0,0.318125,0.01
C,50.0,C_1,120.0,0.234791666667,0.0075
C,60.0,C_1,30.0,27.8660416667,28.755
C,60.0,C_1,40.0,10.15875,8.91666666667
C,60.0,C_1,50.0,4.82104166667,2.98666666667
C,60.0,C_1,60.0,2.59958333333,0.8875
C,60.0,C_1,70.0,1.5675,0.260833333333
C,60.0,C_1,80.0,0.957916666667,0.0641666666667
C,60.0,C_1,90.0,0.65,0.03
C,60.0,C_1,100.0,0.444375,0.00666666666667
C,60.0,C_1,110.0,0.318958333333,0.0025
C,60.0,C_1,120.0,0.234583333333,0.0
C,70.0,C_1,30.0,38.3570833333,36.7491666667
C,70.0,C_1,40.0,12.415625,11.2958333333
C,70.0,C_1,50.0,5.13020833333,2.93416666667
C,70.0,C_1,60.0,2.68395833333,0.839999999999
C,70.0,C_1,70.0,1.57104166667,0.170833333333
C,70.0,C_1,80.0,0.964583333333,0.0191666666667
C,70.0,C_1,90.0,0.65875,0.0116666666667
C,70.0,C_1,100.0,0.444791666667,0.0
C,70.0,C_1,110.0,0.319583333333,0.0
C,70.0,C_1,120.0,0.234583333333,0.0
C,80.0,C_1,30.0,46.3247916667,41.2791666667
C,80.0,C_1,40.0,15.820625,14.2183333333
C,80.0,C_1,50.0,5.63708333333,3.4175
C,80.0,C_1,60.0,2.79145833333,0.835833333334
C,80.0,C_1,70.0,1.60395833333,0.159166666667
C,80.0,C_1,80.0,0.980833333334,0.00666666666666
C,80.0,C_1,90.0,0.65875,0.00583333333333
C,80.0,C_1,100.0,0.444791666667,0.0
C,80.0,C_1,110.0,0.319583333333,0.0
C,80.0,C_1,120.0,0.234583333333,0.0
C,90.0,C_1,30.0,56.225,46.5091666667
C,90.0,C_1,40.0,19.8575,17.4166666667
C,90.0,C_1,50.0,6.279375,3.83833333333
C,90.0,C_1,60.0,2.95333333333,0.925000000001
C,90.0,C_1,70.0,1.62833333334,0.141666666667
C,90.0,C_1,80.0,0.992291666668,0.0108333333333
C,90.0,C_1,90.0,0.65875,0.005
C,90.0,C_1,100.0,0.444791666667,0.0
C,90.0,C_1,110.0,0.319583333333,0.0
C,90.0,C_1,120.0,0.234583333333,0.0
C,100.0,C_1,30.0,63.58875,49.8141666667
C,100.0,C_1,40.0,24.7679166666,21.3366666667
C,100.0,C_1,50.0,7.32354166667,4.68
C,100.0,C_1,60.0,3.103125,0.959999999999
C,100.0,C_1,70.0,1.65208333333,0.130833333333
C,100.0,C_1,80.0,0.993333333334,0.00833333333333
C,100.0,C_1,90.0,0.658958333333,0.00416666666667
C,100.0,C_1,100.0,0.444791666667,0.0
C,100.0,C_1,110.0,0.319583333333,0.0
C,100.0,C_1,120.0,0.234583333333,0.0
C,110.0,C_1,30.0,67.3189583333,49.8483333333
C,110.0,C_1,40.0,27.4752083333,22.2041666667
C,110.0,C_1,50.0,9.331875,6.53833333333
C,110.0,C_1,60.0,3.16875,1.03
C,110.0,C_1,70.0,1.67083333333,0.131666666667
C,110.0,C_1,80.0,0.993958333334,0.00583333333333
C,110.0,C_1,90.0,0.658958333333,0.0
C,110.0,C_1,100.0,0.444791666667,0.0
C,110.0,C_1,110.0,0.319583333333,0.0
C,110.0,C_1,120.0,0.234583333333,0.0
C,120.0,C_1,30.0,70.2241666667,49.75
C,120.0,C_1,40.0,34.1183333333,26.2541666667
C,120.0,C_1,50.0,11.0410416667,7.82083333333
C,120.0,C_1,60.0,3.31208333333,1.16166666667
C,120.0,C_1,70.0,1.67666666667,0.125833333333
C,120.0,C_1,80.0,0.993958333334,0.005
C,120.0,C_1,90.0,0.658958333333,0.0
C,120.0,C_1,100.0,0.444791666667,0.0
C,120.0,C_1,110.0,0.319583333333,0.0
C,120.0,C_1,120.0,0.234583333333,0.0
C,130.0,C_1,30.0,73.33875,50.1825
C,130.0,C_1,40.0,40.115625,29.41
C,130.0,C_1,50.0,14.1641666667,10.1925
C,130.0,C_1,60.0,3.52125,1.28833333333
C,130.0,C_1,70.0,1.6875,0.124166666667
C,130.0,C_1,80.0,0.993958333334,0.005
C,130.0,C_1,90.0,0.658958333333,0.0
C,130.0,C_1,100.0,0.444791666667,0.0
C,130.0,C_1,110.0,0.319583333333,0.0
C,130.0,C_1,120.0,0.234583333333,0.0
C,140.0,C_1,30.0,76.04375,50.4625
C,140.0,C_1,40.0,44.8189583333,31.4391666667
C,140.0,C_1,50.0,16.3283333333,11.5733333333
C,140.0,C_1,60.0,3.860625,1.53583333333
C,140.0,C_1,70.0,1.70208333333,0.129166666667
C,140.0,C_1,80.0,0.994166666668,0.00166666666667
C,140.0,C_1,90.0,0.658958333333,0.0
C,140.0,C_1,100.0,0.444791666667,0.0
C,140.0,C_1,110.0,0.319583333333,0.0
C,140.0,C_1,120.0,0.234583333333,0.0
C,150.0,C_1,30.0,76.6239583333,49.22
C,150.0,C_1,40.0,49.1979166667,33.2608333333
C,150.0,C_1,50.0,18.089375,12.4008333333
C,150.0,C_1,60.0,4.321875,1.865
C,150.0,C_1,70.0,1.72479166667,0.150833333333
C,150.0,C_1,80.0,0.994166666668,0.0
C,150.0,C_1,90.0,0.658958333333,0.0
C,150.0,C_1,100.0,0.444791666667,0.0
C,150.0,C_1,110.0,0.319583333333,0.0
C,150.0,C_1,120.0,0.234583333333,0.0
C,160.0,C_1,30.0,78.750625,49.27
C,160.0,C_1,40.0,51.67375,33.7608333333
C,160.0,C_1,50.0,21.7422916667,14.6325
C,160.0,C_1,60.0,4.77333333333,2.08666666667
C,160.0,C_1,70.0,1.74229166667,0.18
C,160.0,C_1,80.0,0.994166666668,0.0
C,160.0,C_1,90.0,0.658958333333,0.0
C,160.0,C_1,100.0,0.444791666667,0.0
C,160.0,C_1,110.0,0.319583333333,0.0
C,160.0,C_1,120.0,0.234583333333,0.0
C,170.0,C_1,30.0,80.6597916667,48.8841666667
C,170.0,C_1,40.0,52.6008333333,33.0883333333
C,170.0,C_1,50.0,24.3314583333,15.7633333333
C,170.0,C_1,60.0,5.77479166667,2.8575
C,170.0,C_1,70.0,1.76395833333,0.181666666667
C,170.0,C_1,80.0,0.994166666668,0.0
C,170.0,C_1,90.0,0.658958333333,0.0
C,170.0,C_1,100.0,0.444791666667,0.0
C,170.0,C_1,110.0,0.319583333333,0.0
C,170.0,C_1,120.0,0.234583333333,0.0
C,180.0,C_1,30.0,83.4239583333,49.3833333333
C,180.0,C_1,40.0,55.4291666667,33.8066666667
C,180.0,C_1,50.0,26.7689583333,16.8633333333
C,180.0,C_1,60.0,6.255,3.0575
C,180.0,C_1,70.0,1.90875,0.270833333333
C,180.0,C_1,80.0,0.994166666668,0.0
C,180.0,C_1,90.0,0.658958333333,0.0
C,180.0,C_1,100.0,0.444791666667,0.0
C,180.0,C_1,110.0,0.319583333333,0.0
C,180.0,C_1,120.0,0.234583333333,0.0
C,190.0,C_1,30.0,85.93625,49.5066666667
C,190.0,C_1,40.0,56.2679166667,33.485
C,190.0,C_1,50.0,28.6966666667,17.4475
C,190.0,C_1,60.0,6.72729166667,3.2575
C,190.0,C_1,70.0,1.91791666667,0.2725
C,190.0,C_1,80.0,0.994166666668,0.0
C,190.0,C_1,90.0,0.658958333333,0.0
C,190.0,C_1,100.0,0.444791666667,0.0
C,190.0,C_1,110.0,0.319583333333,0.0
C,190.0,C_1,120.0,0.234583333333,0.0
C,200.0,C_1,30.0,87.7435416667,49.1216666667
C,200.0,C_1,40.0,57.3066666667,33.0775
C,200.0,C_1,50.0,30.39875,18.0341666667
C,200.0,C_1,60.0,7.19541666666,3.36416666667
C,200.0,C_1,70.0,1.92229166667,0.2575
C,200.0,C_1,80.0,0.994166666668,0.0
C,200.0,C_1,90.0,0.658958333333,0.0
C,200.0,C_1,100.0,0.444791666667,0.0
C,200.0,C_1,110.0,0.319583333333,0.0
C,200.0,C_1,120.0,0.234583333333,0.0
C,210.0,C_1,30.0,88.4233333333,48.2016666667
C,210.0,C_1,40.0,55.2222916667,31.0366666667
C,210.0,C_1,50.0,34.25875,19.8458333333
C,210.0,C_1,60.0,7.90895833334,3.74333333333
C,210.0,C_1,70.0,1.971875,0.27
C,210.0,C_1,80.0,0.994166666668,0.0
C,210.0,C_1,90.0,0.658958333333,0.0
C,210.0,C_1,100.0,0.444791666667,0.0
C,210.0,C_1,110.0,0.319583333333,0.0
C,210.0,C_1,120.0,0.234583333333,0.0
C,220.0,C_1,30.0,87.474375,46.6016666667
C,220.0,C_1,40.0,59.705,32.8875
C,220.0,C_1,50.0,32.5479166667,18.5083333333
C,220.0,C_1,60.0,8.441875,3.98166666667
C,220.0,C_1,70.0,1.99354166667,0.275833333333
C,220.0,C_1,80.0,0.994166666668,0.0
C,220.0,C_1,90.0,0.658958333333,0.0
C,220.0,C_1,100.0,0.444791666667,0.0
C,220.0,C_1,110.0,0.319583333333,0.0
C,220.0,C_1,120.0,0.234583333333,0.0
C,230.0,C_1,30.0,86.3566666667,44.665
C,230.0,C_1,40.0,60.1289583333,32.1533333333
C,230.0,C_1,50.0,33.8554166667,18.8266666667
C,230.0,C_1,60.0,8.54875000001,3.9975
C,230.0,C_1,70.0,2.03020833333,0.3025
C,230.0,C_1,80.0,0.994166666668,0.0
C,230.0,C_1,90.0,0.658958333333,0.0
C,230.0,C_1,100.0,0.444791666667,0.0
C,230.0,C_1,110.0,0.319583333333,0.0
C,230.0,C_1,120.0,0.234583333333,0.0
C,240.0,C_1,30.0,85.2314583333,43.4333333333
C,240.0,C_1,40.0,58.030625,30.27
C,240.0,C_1,50.0,34.3583333333,18.5441666667
C,240.0,C_1,60.0,8.78479166667,4.05166666667
C,240.0,C_1,70.0,2.07125,0.313333333333
C,240.0,C_1,80.0,0.994166666668,0.0
C,240.0,C_1,90.0,0.658958333333,0.0
C,240.0,C_1,100.0,0.444791666667,0.0
C,240.0,C_1,110.0,0.319583333333,0.0
C,240.0,C_1,120.0,0.234583333333,0.0
C,250.0,C_1,30.0,84.9354166667,42.4725
C,250.0,C_1,40.0,57.7675,29.5566666667
C,250.0,C_1,50.0,34.1841666667,18.1158333333
C,250.0,C_1,60.0,8.88916666667,3.985
C,250.0,C_1,70.0,2.09708333333,0.3125
C,250.0,C_1,80.0,0.994166666668,0.0
C,250.0,C_1,90.0,0.658958333333,0.0
C,250.0,C_1,100.0,0.444791666667,0.0
C,250.0,C_1,110.0,0.319583333333,0.0
C,250.0,C_1,120.0,0.234583333333,0.0
C,260.0,C_1,30.0,89.1939583333,43.74
C,260.0,C_1,40.0,58.6266666667,29.5433333333
C,260.0,C_1,50.0,33.0658333333,16.99
C,260.0,C_1,60.0,9.12833333333,3.99333333333
C,260.0,C_1,70.0,2.13729166667,0.3125
C,260.0,C_1,80.0,0.994166666668,0.0
C,260.0,C_1,90.0,0.658958333333,0.0
C,260.0,C_1,100.0,0.444791666667,0.0
C,260.0,C_1,110.0,0.319583333333,0.0
C,260.0,C_1,120.0,0.234583333333,0.0
