Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,Coherence_NG3_L4_SS_L4_Mean_mean,GrCaus_NG3_L4_SS_L4_Information_mean,NormError_SimErr_mean,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_mean
EL,-85.0,EL_1,-85.0,0.138292820463,-0.0495100361393,1.54005769828,0.00874496203114
EL,-85.0,EL_1,-80.0,0.145449613976,0.322965578826,1.49163651852,0.0170433469479
EL,-85.0,EL_1,-75.0,0.164089718398,0.808132528939,1.45373292774,0.0223632743268
EL,-85.0,EL_1,-70.0,0.201209240987,1.64465814166,1.50951821895,0.0334671400737
EL,-85.0,EL_1,-65.0,0.261784220477,2.51638300556,1.6032833069,0.0381952906154
EL,-85.0,EL_1,-60.0,0.30907250326,2.81724510845,1.57228776576,0.0519576072002
EL,-85.0,EL_1,-55.0,0.333423135475,3.1718458151,1.59289168963,0.0673964902381
EL,-85.0,EL_1,-50.0,0.367307606439,3.47869897394,1.56537259337,0.0989147614926
EL,-85.0,EL_1,-45.0,0.38826026954,3.71303709563,1.56152260021,0.123534833674
EL,-85.0,EL_1,-40.0,0.416011671417,3.91293200038,1.45654241176,0.146025693211
EL,-85.0,EL_1,-35.0,0.44274619912,4.2648409173,1.45096748852,0.171314588352
EL,-85.0,EL_1,-30.0,0.450015193057,4.42495102225,1.4245506526,0.171509267872
EL,-85.0,EL_1,-25.0,0.446152945075,4.39552968093,1.41439968799,0.164698057553
EL,-80.0,EL_1,-85.0,0.138292820463,-0.0495100361393,1.54005769828,0.00874496203114
EL,-80.0,EL_1,-80.0,0.145449613976,0.322965578826,1.49163651852,0.0170433469479
EL,-80.0,EL_1,-75.0,0.163773881313,0.801993794335,1.45373738826,0.0222839196991
EL,-80.0,EL_1,-70.0,0.200634442294,1.64140989729,1.50596171,0.0332597406686
EL,-80.0,EL_1,-65.0,0.259728769782,2.5443833864,1.61316094633,0.0366321271443
EL,-80.0,EL_1,-60.0,0.322675214593,3.02053560795,1.62418975993,0.0503941909491
EL,-80.0,EL_1,-55.0,0.339284833791,3.18855920372,1.586149574,0.0690394763952
EL,-80.0,EL_1,-50.0,0.39434775055,3.60889939136,1.60362317805,0.104941230581
EL,-80.0,EL_1,-45.0,0.414943459459,3.86383504405,1.55154034853,0.127525109857
EL,-80.0,EL_1,-40.0,0.420231562347,3.9789772934,1.45893538877,0.146091834544
EL,-80.0,EL_1,-35.0,0.433619337978,4.16450212793,1.55832178505,0.165973260696
EL,-80.0,EL_1,-30.0,0.436561116577,4.29623227747,1.44847144356,0.165098524712
EL,-80.0,EL_1,-25.0,0.441620497636,4.38819791341,1.45620461643,0.16045305841
EL,-75.0,EL_1,-85.0,0.138292820463,-0.0495100361393,1.54005769828,0.00874496203114
EL,-75.0,EL_1,-80.0,0.145487713716,0.323133193996,1.49195886527,0.0170394288662
