Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,MeanFR_NG1_L4_CI_SS_L4_mean,MeanFR_NG2_L4_CI_BC_L4_mean
EL,-85.0,EL_1,-85.0,0.02625,0.0
EL,-85.0,EL_1,-80.0,0.08875,0.0
EL,-85.0,EL_1,-75.0,0.253958333333,0.0
EL,-85.0,EL_1,-70.0,0.662291666667,0.00916666666667
EL,-85.0,EL_1,-65.0,1.7625,0.155
EL,-85.0,EL_1,-60.0,5.510625,2.62666666667
EL,-85.0,EL_1,-55.0,10.4477083333,7.09916666667
EL,-85.0,EL_1,-50.0,15.84875,12.2991666667
EL,-85.0,EL_1,-45.0,21.5079166667,18.3433333333
EL,-85.0,EL_1,-40.0,27.2527083333,24.4866666667
EL,-85.0,EL_1,-35.0,33.305,31.3558333333
EL,-85.0,EL_1,-30.0,38.6839583333,37.9741666667
EL,-85.0,EL_1,-25.0,43.9104166667,44.4758333333
EL,-80.0,EL_1,-85.0,0.02625,0.0
EL,-80.0,EL_1,-80.0,0.08875,0.0
EL,-80.0,EL_1,-75.0,0.253333333333,0.000833333333333
EL,-80.0,EL_1,-70.0,0.658958333333,0.0533333333334
EL,-80.0,EL_1,-65.0,1.73979166667,0.306666666667
EL,-80.0,EL_1,-60.0,4.733125,2.32
EL,-80.0,EL_1,-55.0,9.816875,7.4275
EL,-80.0,EL_1,-50.0,15.24875,12.8625
EL,-80.0,EL_1,-45.0,20.6266666667,18.8741666667
EL,-80.0,EL_1,-40.0,25.79625,25.5208333333
EL,-80.0,EL_1,-35.0,32.0214583333,32.7175
EL,-80.0,EL_1,-30.0,37.0191666667,39.4058333333
EL,-80.0,EL_1,-25.0,42.11625,45.8116666667
EL,-75.0,EL_1,-85.0,0.02625,0.0
EL,-75.0,EL_1,-80.0,0.0889583333333,0.00333333333333
EL,-75.0,EL_1,-75.0,0.252291666667,0.015
EL,-75.0,EL_1,-70.0,0.650625,0.114166666667
EL,-75.0,EL_1,-65.0,1.69270833333,0.559166666667
EL,-75.0,EL_1,-60.0,4.25166666667,2.49666666667
EL,-75.0,EL_1,-55.0,9.235625,7.41416666667
EL,-75.0,EL_1,-50.0,14.4133333333,13.5833333333
EL,-75.0,EL_1,-45.0,19.4927083333,19.7741666667
EL,-75.0,EL_1,-40.0,25.0902083333,27.1616666667
EL,-75.0,EL_1,-35.0,29.940625,33.61
EL,-75.0,EL_1,-30.0,34.8372916667,40.5625
EL,-75.0,EL_1,-25.0,39.7722916667,47.2291666667
EL,-70.0,EL_1,-85.0,0.02625,0.0
EL,-70.0,EL_1,-80.0,0.0889583333333,0.0141666666667
EL,-70.0,EL_1,-75.0,0.25,0.05
EL,-70.0,EL_1,-70.0,0.6325,0.235
EL,-70.0,EL_1,-65.0,1.63979166667,0.898333333333
EL,-70.0,EL_1,-60.0,3.89541666667,2.96833333333
EL,-70.0,EL_1,-55.0,8.39375,7.94083333333
EL,-70.0,EL_1,-50.0,13.1516666667,14.2625
EL,-70.0,EL_1,-45.0,18.26125,20.9508333333
EL,-70.0,EL_1,-40.0,23.208125,28.3166666667
EL,-70.0,EL_1,-35.0,28.081875,35.1591666667
EL,-70.0,EL_1,-30.0,32.511875,41.8433333333
EL,-70.0,EL_1,-25.0,37.0208333333,48.7358333333
EL,-65.0,EL_1,-85.0,0.02625,0.0075
EL,-65.0,EL_1,-80.0,0.0883333333333,0.0291666666666
EL,-65.0,EL_1,-75.0,0.243958333333,0.123333333333
EL,-65.0,EL_1,-70.0,0.620208333333,0.399166666667
EL,-65.0,EL_1,-65.0,1.55291666667,1.30166666667
EL,-65.0,EL_1,-60.0,3.53041666667,3.93833333333
EL,-65.0,EL_1,-55.0,7.433125,8.97333333334
EL,-65.0,EL_1,-50.0,11.844375,15.35
EL,-65.0,EL_1,-45.0,16.4070833333,22.4841666667
EL,-65.0,EL_1,-40.0,20.6616666667,30.0166666667
EL,-65.0,EL_1,-35.0,25.1064583333,36.5633333333
EL,-65.0,EL_1,-30.0,29.690625,43.465
EL,-65.0,EL_1,-25.0,33.825625,50.0516666667
EL,-60.0,EL_1,-85.0,0.02625,0.02
EL,-60.0,EL_1,-80.0,0.0885416666667,0.0566666666667
EL,-60.0,EL_1,-75.0,0.240625,0.213333333333
EL,-60.0,EL_1,-70.0,0.603958333333,0.6775
EL,-60.0,EL_1,-65.0,1.47770833333,2.03333333333
EL,-60.0,EL_1,-60.0,3.23583333333,5.34083333333
EL,-60.0,EL_1,-55.0,6.36208333334,10.5975
EL,-60.0,EL_1,-50.0,10.2083333333,17.5383333333
EL,-60.0,EL_1,-45.0,14.15125,24.485
EL,-60.0,EL_1,-40.0,17.9047916667,31.6525
EL,-60.0,EL_1,-35.0,22.544375,37.9658333333
EL,-60.0,EL_1,-30.0,26.703125,44.8341666667
EL,-60.0,EL_1,-25.0,31.4839583333,51.3991666667
EL,-55.0,EL_1,-85.0,0.0264583333333,0.0291666666667
EL,-55.0,EL_1,-80.0,0.0866666666666,0.113333333333
EL,-55.0,EL_1,-75.0,0.232916666667,0.384166666667
EL,-55.0,EL_1,-70.0,0.588333333333,1.22166666667
EL,-55.0,EL_1,-65.0,1.45229166667,3.78416666667
EL,-55.0,EL_1,-60.0,2.86666666667,8.31666666667
EL,-55.0,EL_1,-55.0,5.14458333333,14.7808333333
EL,-55.0,EL_1,-50.0,8.09354166667,21.3483333333
EL,-55.0,EL_1,-45.0,10.9777083333,27.8441666667
EL,-55.0,EL_1,-40.0,14.6977083333,33.7966666667
EL,-55.0,EL_1,-35.0,19.05,39.9608333333
EL,-55.0,EL_1,-30.0,23.856875,45.9233333333
EL,-55.0,EL_1,-25.0,29.1520833333,52.5508333333
EL,-50.0,EL_1,-85.0,0.0264583333333,0.0641666666667
EL,-50.0,EL_1,-80.0,0.0845833333333,0.293333333334
EL,-50.0,EL_1,-75.0,0.22125,0.962500000001
EL,-50.0,EL_1,-70.0,0.565208333333,3.625
EL,-50.0,EL_1,-65.0,1.198125,9.07416666666
EL,-50.0,EL_1,-60.0,1.96666666667,15.845
EL,-50.0,EL_1,-55.0,3.24,21.5191666667
EL,-50.0,EL_1,-50.0,4.69291666667,26.5575
EL,-50.0,EL_1,-45.0,6.92270833333,31.7825
EL,-50.0,EL_1,-40.0,10.7908333333,36.1858333333
EL,-50.0,EL_1,-35.0,15.3675,41.3675
EL,-50.0,EL_1,-30.0,20.7270833333,47.4125
EL,-50.0,EL_1,-25.0,26.5316666667,53.6575
EL,-45.0,EL_1,-85.0,0.0183333333333,3.91916666666
EL,-45.0,EL_1,-80.0,0.0452083333334,13.9533333333
EL,-45.0,EL_1,-75.0,0.0785416666667,23.5941666667
EL,-45.0,EL_1,-70.0,0.106041666667,28.715
EL,-45.0,EL_1,-65.0,0.175625,31.6991666667
EL,-45.0,EL_1,-60.0,0.383541666667,33.8166666667
EL,-45.0,EL_1,-55.0,0.943749999999,34.7875
EL,-45.0,EL_1,-50.0,2.020625,35.9833333333
EL,-45.0,EL_1,-45.0,4.18625,37.13
EL,-45.0,EL_1,-40.0,8.11229166667,39.765
EL,-45.0,EL_1,-35.0,12.7239583333,43.6766666667
EL,-45.0,EL_1,-30.0,17.908125,48.38
EL,-45.0,EL_1,-25.0,23.9472916667,54.6883333333
EL,-40.0,EL_1,-85.0,0.0,40.0
EL,-40.0,EL_1,-80.0,0.00208333333333,40.0
EL,-40.0,EL_1,-75.0,0.008125,40.0
EL,-40.0,EL_1,-70.0,0.0220833333333,40.0
EL,-40.0,EL_1,-65.0,0.0716666666667,40.0
EL,-40.0,EL_1,-60.0,0.190208333333,40.0625
EL,-40.0,EL_1,-55.0,0.481875,40.4466666667
EL,-40.0,EL_1,-50.0,1.150625,40.625
EL,-40.0,EL_1,-45.0,2.82854166667,40.755
EL,-40.0,EL_1,-40.0,6.35645833333,42.2616666667
EL,-40.0,EL_1,-35.0,10.516875,45.39
EL,-40.0,EL_1,-30.0,16.0447916667,49.9216666667
EL,-40.0,EL_1,-25.0,21.4758333333,55.5291666667
