Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,Coherence_NG3_L4_SS_L4_Mean_mean,GrCaus_NG3_L4_SS_L4_Information_mean,NormError_SimErr_mean,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_mean
VT,-65.0,VT_1,-67.0,0.298478658795,2.83337914715,1.6779557482,0.048962009968
VT,-65.0,VT_1,-64.0,0.278133205788,2.70783544787,1.7595647695,0.0433528533535
VT,-65.0,VT_1,-61.0,0.269535558626,2.56320154595,1.77978151599,0.0434751172336
VT,-65.0,VT_1,-58.0,0.252755013386,2.4050893396,1.73648297506,0.0388821511033
VT,-65.0,VT_1,-55.0,0.239709042535,2.22381579933,1.6822047039,0.0397835806763
VT,-65.0,VT_1,-52.0,0.227215777557,2.0467910141,1.62001265286,0.0350861967471
VT,-65.0,VT_1,-49.0,0.208184822343,1.80926356122,1.63688195224,0.0311234037444
VT,-65.0,VT_1,-46.0,0.19534578459,1.61513651807,1.53365907301,0.0342072346194
VT,-65.0,VT_1,-43.0,0.180365342092,1.25504984971,1.49343981083,0.0307135602029
VT,-65.0,VT_1,-40.0,0.163516451271,0.84840834346,1.46244927226,0.026004558388
VT,-65.0,VT_1,-37.0,0.151695432482,0.586740696997,1.45715819084,0.01919216226
VT,-62.0,VT_1,-67.0,0.314593685534,2.98153224106,1.67912607206,0.0513962315087
VT,-62.0,VT_1,-64.0,0.302926719833,2.84278133626,1.81593609656,0.0528541105678
VT,-62.0,VT_1,-61.0,0.292770552065,2.84272635562,1.85165404996,0.0413507746611
VT,-62.0,VT_1,-58.0,0.290468212516,2.75392434862,1.82000335628,0.0428197519604
VT,-62.0,VT_1,-55.0,0.272984806354,2.62276472803,1.7886267911,0.0425037159045
VT,-62.0,VT_1,-52.0,0.265444207884,2.47846355974,1.68928133635,0.0350655754859
VT,-62.0,VT_1,-49.0,0.234045227649,2.16523325701,1.63014165661,0.0351378820989
VT,-62.0,VT_1,-46.0,0.203642102455,1.6840450232,1.53893604362,0.0344305821658
VT,-62.0,VT_1,-43.0,0.179032898839,1.22213605587,1.4590713014,0.0287507556211
VT,-62.0,VT_1,-40.0,0.164083526737,0.757181522019,1.42527477915,0.0244138816693
VT,-62.0,VT_1,-37.0,0.151583505971,0.543595277566,1.4577914397,0.0221998840178
VT,-59.0,VT_1,-67.0,0.325186411543,3.15367289657,1.62525102042,0.0669690982876
VT,-59.0,VT_1,-64.0,0.318505403263,3.06663430749,1.69771945923,0.0576598487567
VT,-59.0,VT_1,-61.0,0.324910319959,3.11059451358,1.78522645463,0.048294569832
VT,-59.0,VT_1,-58.0,0.30819631323,3.06312617852,1.80765211726,0.0428649672174
VT,-59.0,VT_1,-55.0,0.292397845597,2.79994645581,1.74641280745,0.041915184984
VT,-59.0,VT_1,-52.0,0.269889360008,2.66630579881,1.6958275946,0.0373626683435
VT,-59.0,VT_1,-49.0,0.23851747353,2.27466006831,1.65290356734,0.037261333295
VT,-59.0,VT_1,-46.0,0.205269993591,1.73107315577,1.52584646445,0.0343804759012
VT,-59.0,VT_1,-43.0,0.179380176093,1.21936698075,1.45536876703,0.028632435778
VT,-59.0,VT_1,-40.0,0.16451324243,0.743289294318,1.44548774448,0.0236730477519
VT,-59.0,VT_1,-37.0,0.1523303171,0.55673489463,1.46241611168,0.0213308878106
VT,-56.0,VT_1,-67.0,0.355548496539,3.44250888257,1.66672601573,0.0731481798722
VT,-56.0,VT_1,-64.0,0.363245843481,3.41956812266,1.67603759489,0.0628387429285
VT,-56.0,VT_1,-61.0,0.349787580044,3.37671651453,1.75659351116,0.0499190626294
