Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,MeanFR_NG1_L4_CI_SS_L4_mean,MeanFR_NG2_L4_CI_BC_L4_mean
VT,-65.0,VT_1,-67.0,6.56104166667,28.9016666667
VT,-65.0,VT_1,-64.0,4.441875,26.5091666667
VT,-65.0,VT_1,-61.0,3.53458333333,23.1366666667
VT,-65.0,VT_1,-58.0,2.56729166667,21.3108333333
VT,-65.0,VT_1,-55.0,1.98229166667,18.2441666667
VT,-65.0,VT_1,-52.0,1.515,15.0241666667
VT,-65.0,VT_1,-49.0,1.10625,12.5
VT,-65.0,VT_1,-46.0,0.720833333333,7.73083333333
VT,-65.0,VT_1,-43.0,0.447708333333,4.885
VT,-65.0,VT_1,-40.0,0.25,2.2975
VT,-65.0,VT_1,-37.0,0.148125,1.005
VT,-62.0,VT_1,-67.0,8.57645833333,26.0108333333
VT,-62.0,VT_1,-64.0,6.37416666667,22.7941666667
VT,-62.0,VT_1,-61.0,4.55916666667,19.9
VT,-62.0,VT_1,-58.0,3.64395833333,16.0541666667
VT,-62.0,VT_1,-55.0,2.65645833333,12.0908333333
VT,-62.0,VT_1,-52.0,1.950625,9.1375
VT,-62.0,VT_1,-49.0,1.290625,5.87166666667
VT,-62.0,VT_1,-46.0,0.776458333333,3.27166666667
VT,-62.0,VT_1,-43.0,0.44625,1.7125
VT,-62.0,VT_1,-40.0,0.249375,0.8525
VT,-62.0,VT_1,-37.0,0.151666666667,0.394166666667
VT,-59.0,VT_1,-67.0,12.6735416667,26.0666666667
VT,-59.0,VT_1,-64.0,7.62895833333,20.525
VT,-59.0,VT_1,-61.0,5.56604166667,16.0058333333
VT,-59.0,VT_1,-58.0,4.14145833333,13.405
VT,-59.0,VT_1,-55.0,3.00145833333,9.265
VT,-59.0,VT_1,-52.0,2.041875,6.54
VT,-59.0,VT_1,-49.0,1.35583333333,3.97666666667
VT,-59.0,VT_1,-46.0,0.795625,2.09583333333
VT,-59.0,VT_1,-43.0,0.45125,1.03083333333
VT,-59.0,VT_1,-40.0,0.258125,0.500833333333
VT,-59.0,VT_1,-37.0,0.154791666667,0.253333333333
VT,-56.0,VT_1,-67.0,14.324375,24.5583333333
VT,-56.0,VT_1,-64.0,8.81854166667,18.2283333333
VT,-56.0,VT_1,-61.0,6.43041666667,13.7866666667
VT,-56.0,VT_1,-58.0,4.739375,10.5341666667
VT,-56.0,VT_1,-55.0,3.2175,7.1
VT,-56.0,VT_1,-52.0,2.16625,4.8375
VT,-56.0,VT_1,-49.0,1.37625,2.64
VT,-56.0,VT_1,-46.0,0.794375,1.365
VT,-56.0,VT_1,-43.0,0.455625,0.698333333334
VT,-56.0,VT_1,-40.0,0.265833333334,0.356666666667
VT,-56.0,VT_1,-37.0,0.157708333333,0.1625
VT,-53.0,VT_1,-67.0,15.233125,23.3791666667
VT,-53.0,VT_1,-64.0,9.718125,16.2033333333
VT,-53.0,VT_1,-61.0,7.14791666667,12.0341666667
VT,-53.0,VT_1,-58.0,5.30833333333,8.5925
VT,-53.0,VT_1,-55.0,3.38270833333,5.49166666667
VT,-53.0,VT_1,-52.0,2.27041666667,3.4225
VT,-53.0,VT_1,-49.0,1.38645833333,1.855
VT,-53.0,VT_1,-46.0,0.803541666667,0.9575
VT,-53.0,VT_1,-43.0,0.4675,0.4775
VT,-53.0,VT_1,-40.0,0.271458333333,0.265833333333
VT,-53.0,VT_1,-37.0,0.159791666667,0.106666666666
VT,-50.0,VT_1,-67.0,22.3839583333,28.77
VT,-50.0,VT_1,-64.0,11.1727083333,15.32
VT,-50.0,VT_1,-61.0,8.22458333333,11.41
VT,-50.0,VT_1,-58.0,5.601875,7.42583333333
VT,-50.0,VT_1,-55.0,3.6325,4.62833333333
VT,-50.0,VT_1,-52.0,2.37625,2.68916666667
VT,-50.0,VT_1,-49.0,1.42458333333,1.3925
VT,-50.0,VT_1,-46.0,0.821458333333,0.731666666667
VT,-50.0,VT_1,-43.0,0.472708333333,0.360833333333
VT,-50.0,VT_1,-40.0,0.274375,0.179166666667
VT,-50.0,VT_1,-37.0,0.16125,0.0733333333333
VT,-47.0,VT_1,-67.0,38.7741666667,44.9175
VT,-47.0,VT_1,-64.0,12.6485416667,15.9116666667
VT,-47.0,VT_1,-61.0,8.84166666667,10.4125
VT,-47.0,VT_1,-58.0,6.125,6.64333333333
VT,-47.0,VT_1,-55.0,3.81291666667,3.8875
VT,-47.0,VT_1,-52.0,2.44625,2.1825
VT,-47.0,VT_1,-49.0,1.471875,1.12
VT,-47.0,VT_1,-46.0,0.836041666667,0.539166666667
VT,-47.0,VT_1,-43.0,0.479375,0.2725
VT,-47.0,VT_1,-40.0,0.278958333333,0.130833333333
VT,-47.0,VT_1,-37.0,0.164791666667,0.0441666666667
VT,-44.0,VT_1,-67.0,51.905,57.8841666667
VT,-44.0,VT_1,-64.0,14.5464583333,17.2141666667
VT,-44.0,VT_1,-61.0,9.86604166666,10.8
VT,-44.0,VT_1,-58.0,6.82145833333,6.56833333333
VT,-44.0,VT_1,-55.0,4.15354166667,3.54083333333
VT,-44.0,VT_1,-52.0,2.57375,1.81833333333
VT,-44.0,VT_1,-49.0,1.51416666667,0.848333333333
VT,-44.0,VT_1,-46.0,0.847708333333,0.3825
VT,-44.0,VT_1,-43.0,0.4875,0.195
VT,-44.0,VT_1,-40.0,0.282083333333,0.0925
VT,-44.0,VT_1,-37.0,0.165,0.0258333333333
VT,-41.0,VT_1,-67.0,60.10875,65.2733333333
VT,-41.0,VT_1,-64.0,16.7935416667,19.5816666667
VT,-41.0,VT_1,-61.0,11.1529166667,11.5241666667
VT,-41.0,VT_1,-58.0,7.30229166667,6.4475
VT,-41.0,VT_1,-55.0,4.46875,3.31916666667
VT,-41.0,VT_1,-52.0,2.69395833333,1.46083333333
VT,-41.0,VT_1,-49.0,1.545,0.643333333333
VT,-41.0,VT_1,-46.0,0.861041666666,0.280833333333
VT,-41.0,VT_1,-43.0,0.494791666667,0.126666666667
VT,-41.0,VT_1,-40.0,0.282708333333,0.0491666666667
VT,-41.0,VT_1,-37.0,0.165625,0.0166666666667
VT,-38.0,VT_1,-67.0,59.1904166667,63.05
VT,-38.0,VT_1,-64.0,21.06125,23.88
VT,-38.0,VT_1,-61.0,12.62,12.4108333334
VT,-38.0,VT_1,-58.0,8.06291666667,6.6875
VT,-38.0,VT_1,-55.0,4.85041666667,3.24
VT,-38.0,VT_1,-52.0,2.76333333333,1.25416666667
VT,-38.0,VT_1,-49.0,1.58354166667,0.483333333333
VT,-38.0,VT_1,-46.0,0.869583333334,0.198333333333
VT,-38.0,VT_1,-43.0,0.499791666667,0.0858333333333
VT,-38.0,VT_1,-40.0,0.284375,0.0241666666667
VT,-38.0,VT_1,-37.0,0.166041666667,0.0075
VT,-35.0,VT_1,-67.0,59.1858333334,62.3725
VT,-35.0,VT_1,-64.0,26.5104166667,29.8833333333
VT,-35.0,VT_1,-61.0,14.0333333333,14.0325
VT,-35.0,VT_1,-58.0,9.22979166667,7.49833333333
VT,-35.0,VT_1,-55.0,5.299375,3.2725
VT,-35.0,VT_1,-52.0,2.92708333333,1.15333333333
VT,-35.0,VT_1,-49.0,1.61291666667,0.353333333333
VT,-35.0,VT_1,-46.0,0.877916666666,0.12
VT,-35.0,VT_1,-43.0,0.505833333333,0.0475
VT,-35.0,VT_1,-40.0,0.284791666667,0.005
VT,-35.0,VT_1,-37.0,0.165833333333,0.000833333333333
VT,-32.0,VT_1,-67.0,59.205625,61.2091666667
VT,-32.0,VT_1,-64.0,32.0725,35.1266666667
VT,-32.0,VT_1,-61.0,15.9604166667,16.045
VT,-32.0,VT_1,-58.0,10.0910416667,8.27583333333
VT,-32.0,VT_1,-55.0,5.8375,3.52166666667
VT,-32.0,VT_1,-52.0,3.09520833333,1.09
VT,-32.0,VT_1,-49.0,1.63645833333,0.231666666667
VT,-32.0,VT_1,-46.0,0.889166666666,0.0725000000001
VT,-32.0,VT_1,-43.0,0.511666666667,0.0166666666667
VT,-32.0,VT_1,-40.0,0.286666666667,0.00166666666667
VT,-32.0,VT_1,-37.0,0.165625,0.0
VT,-29.0,VT_1,-67.0,60.2941666667,61.3733333333
VT,-29.0,VT_1,-64.0,37.7272916667,40.4775
VT,-29.0,VT_1,-61.0,17.44625,17.2475
VT,-29.0,VT_1,-58.0,11.4902083333,9.495
VT,-29.0,VT_1,-55.0,6.616875,4.085
VT,-29.0,VT_1,-52.0,3.365,1.11833333333
VT,-29.0,VT_1,-49.0,1.65604166667,0.15
VT,-29.0,VT_1,-46.0,0.8975,0.035
VT,-29.0,VT_1,-43.0,0.513958333334,0.00500000000001
VT,-29.0,VT_1,-40.0,0.288125,0.0
VT,-29.0,VT_1,-37.0,0.165625,0.0
VT,-26.0,VT_1,-67.0,59.5879166667,59.6908333333
VT,-26.0,VT_1,-64.0,41.5372916667,43.5408333333
VT,-26.0,VT_1,-61.0,19.6141666667,19.4216666667
VT,-26.0,VT_1,-58.0,11.98125,10.0275
VT,-26.0,VT_1,-55.0,7.10416666667,4.43416666667
VT,-26.0,VT_1,-52.0,3.49458333334,1.0275
VT,-26.0,VT_1,-49.0,1.67375,0.0883333333334
VT,-26.0,VT_1,-46.0,0.905833333334,0.0108333333333
VT,-26.0,VT_1,-43.0,0.515,0.0
VT,-26.0,VT_1,-40.0,0.288125,0.0
VT,-26.0,VT_1,-37.0,0.165625,0.0
VT,-23.0,VT_1,-67.0,61.0829166667,59.7491666667
VT,-23.0,VT_1,-64.0,41.481875,42.7625
VT,-23.0,VT_1,-61.0,21.4754166667,21.2475
VT,-23.0,VT_1,-58.0,13.0770833333,10.77
VT,-23.0,VT_1,-55.0,7.46583333333,4.66666666667
VT,-23.0,VT_1,-52.0,3.97729166667,1.21833333333
VT,-23.0,VT_1,-49.0,1.79854166667,0.1025
VT,-23.0,VT_1,-46.0,0.915000000001,0.00333333333334
VT,-23.0,VT_1,-43.0,0.515,0.0
VT,-23.0,VT_1,-40.0,0.288125,0.0
VT,-23.0,VT_1,-37.0,0.165625,0.0
VT,-20.0,VT_1,-67.0,60.8283333333,58.3316666667
VT,-20.0,VT_1,-64.0,41.8372916667,42.0575
VT,-20.0,VT_1,-61.0,23.5854166667,23.0591666667
VT,-20.0,VT_1,-58.0,14.3516666667,12.0216666667
VT,-20.0,VT_1,-55.0,8.16729166667,5.26583333333
VT,-20.0,VT_1,-52.0,4.31541666667,1.3275
VT,-20.0,VT_1,-49.0,1.82270833333,0.116666666667
VT,-20.0,VT_1,-46.0,0.914375,0.0
VT,-20.0,VT_1,-43.0,0.515,0.0
VT,-20.0,VT_1,-40.0,0.288125,0.0
VT,-20.0,VT_1,-37.0,0.165625,0.0
VT,-17.0,VT_1,-67.0,61.285625,57.6916666667
VT,-17.0,VT_1,-64.0,42.375625,41.6866666667
VT,-17.0,VT_1,-61.0,25.7614583333,24.9783333333
VT,-17.0,VT_1,-58.0,14.965625,12.4275
VT,-17.0,VT_1,-55.0,8.57895833333,5.34833333333
VT,-17.0,VT_1,-52.0,4.58541666667,1.60083333333
VT,-17.0,VT_1,-49.0,1.84270833333,0.119166666667
VT,-17.0,VT_1,-46.0,0.914375,0.0
VT,-17.0,VT_1,-43.0,0.515,0.0
VT,-17.0,VT_1,-40.0,0.288125,0.0
VT,-17.0,VT_1,-37.0,0.165625,0.0
