Dimension-1 Parameter,Dimension-1 Value,Coherence_NG3_L4_SS_L4_Sum_accuracy,GrCaus_NG3_L4_SS_L4_Information_accuracy,NormError_SimErr_accuracy,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_accuracy,Coherence_NG3_L4_SS_L4_Sum_p,GrCaus_NG3_L4_SS_L4_Information_p,NormError_SimErr_p,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_p,Coherence_NG3_L4_SS_L4_Sum_conf_min,GrCaus_NG3_L4_SS_L4_Information_conf_min,NormError_SimErr_conf_min,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_conf_min,Coherence_NG3_L4_SS_L4_Sum_conf_max,GrCaus_NG3_L4_SS_L4_Information_conf_max,NormError_SimErr_conf_max,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_conf_max
delay_CI_CI,0.5,0.866666666667,0.9,0.5,0.833333333333,0.0,0.0,0.019,0.0,0.693,0.735,0.313,0.653,0.962,0.979,0.687,0.944
delay_CI_CI,0.75,0.9,0.9,0.5,0.766666666667,0.0,0.0,0.019,0.0,0.735,0.735,0.313,0.577,0.979,0.979,0.687,0.901
delay_CI_CI,1.0,0.866666666667,0.9,0.5,0.8,0.0,0.0,0.019,0.0,0.693,0.735,0.313,0.614,0.962,0.979,0.687,0.923
delay_CI_CI,1.25,0.866666666667,0.933333333333,0.5,0.8,0.0,0.0,0.019,0.0,0.693,0.779,0.313,0.614,0.962,0.992,0.687,0.923
delay_CI_CI,1.5,0.866666666667,0.933333333333,0.5,0.766666666667,0.0,0.0,0.019,0.0,0.693,0.779,0.313,0.577,0.962,0.992,0.687,0.901
delay_CI_CI,1.75,0.833333333333,0.933333333333,0.5,0.833333333333,0.0,0.0,0.019,0.0,0.653,0.779,0.313,0.653,0.944,0.992,0.687,0.944
delay_CI_CI,2.0,0.833333333333,0.9,0.5,0.733333333333,0.0,0.0,0.019,0.0,0.653,0.735,0.313,0.541,0.944,0.979,0.687,0.877
delay_CI_CI,2.25,0.866666666667,0.9,0.5,0.733333333333,0.0,0.0,0.019,0.0,0.693,0.735,0.313,0.541,0.962,0.979,0.687,0.877
delay_CI_CI,2.5,0.833333333333,0.866666666667,0.5,0.733333333333,0.0,0.0,0.019,0.0,0.653,0.693,0.313,0.541,0.944,0.962,0.687,0.877
delay_CI_CI,2.75,0.833333333333,0.866666666667,0.5,0.766666666667,0.0,0.0,0.019,0.0,0.653,0.693,0.313,0.577,0.944,0.962,0.687,0.901
delay_CI_CI,3.0,0.833333333333,0.833333333333,0.5,0.766666666667,0.0,0.0,0.019,0.0,0.653,0.653,0.313,0.577,0.944,0.944,0.687,0.901
delay_CI_CI,3.25,0.866666666667,0.866666666667,0.533333333333,0.766666666667,0.0,0.0,0.007,0.0,0.693,0.693,0.343,0.577,0.962,0.962,0.717,0.901
delay_CI_CI,3.5,0.866666666667,0.833333333333,0.533333333333,0.766666666667,0.0,0.0,0.007,0.0,0.693,0.653,0.343,0.577,0.962,0.944,0.717,0.901
delay_CI_CI,3.75,0.866666666667,0.833333333333,0.533333333333,0.8,0.0,0.0,0.007,0.0,0.693,0.653,0.343,0.614,0.962,0.944,0.717,0.923
delay_CI_CI,4.0,0.833333333333,0.833333333333,0.533333333333,0.8,0.0,0.0,0.007,0.0,0.653,0.653,0.343,0.614,0.944,0.944,0.717,0.923
delay_CI_CI,4.25,0.833333333333,0.833333333333,0.533333333333,0.8,0.0,0.0,0.007,0.0,0.653,0.653,0.343,0.614,0.944,0.944,0.717,0.923
delay_CI_CI,4.5,0.866666666667,0.833333333333,0.533333333333,0.766666666667,0.0,0.0,0.007,0.0,0.693,0.653,0.343,0.577,0.962,0.944,0.717,0.901
delay_CI_CI,4.75,0.866666666667,0.833333333333,0.5,0.766666666667,0.0,0.0,0.019,0.0,0.693,0.653,0.313,0.577,0.962,0.944,0.687,0.901
delay_CI_CI,5.0,0.866666666667,0.866666666667,0.533333333333,0.766666666667,0.0,0.0,0.007,0.0,0.693,0.693,0.343,0.577,0.962,0.962,0.717,0.901
delay_CI_CI,5.25,0.866666666667,0.866666666667,0.5,0.7,0.0,0.0,0.019,0.0,0.693,0.693,0.313,0.506,0.962,0.962,0.687,0.853
delay_CI_CI,5.5,0.9,0.833333333333,0.5,0.733333333333,0.0,0.0,0.019,0.0,0.735,0.653,0.313,0.541,0.979,0.944,0.687,0.877
delay_CI_CI,5.75,0.866666666667,0.833333333333,0.5,0.733333333333,0.0,0.0,0.019,0.0,0.693,0.653,0.313,0.541,0.962,0.944,0.687,0.877
delay_CI_CI,6.0,0.866666666667,0.833333333333,0.5,0.733333333333,0.0,0.0,0.019,0.0,0.693,0.653,0.313,0.541,0.962,0.944,0.687,0.877
delay_CI_CI,6.25,0.866666666667,0.833333333333,0.466666666667,0.7,0.0,0.0,0.043,0.0,0.693,0.653,0.283,0.506,0.962,0.944,0.657,0.853
delay_CI_CI,6.5,0.866666666667,0.833333333333,0.466666666667,0.7,0.0,0.0,0.043,0.0,0.693,0.653,0.283,0.506,0.962,0.944,0.657,0.853
delay_CI_CI,6.75,0.866666666667,0.866666666667,0.466666666667,0.666666666667,0.0,0.0,0.043,0.0,0.693,0.693,0.283,0.472,0.962,0.962,0.657,0.827
