Dimension-1 Parameter,Dimension-1 Value,MeanFR_NG1_L4_CI_SS_L4_mean,MeanFR_NG2_L4_CI_BC_L4_mean
delay_CI_CI,0.5,0.42375,0.0866666666666
delay_CI_CI,0.75,0.424375,0.0891666666667
delay_CI_CI,1.0,0.424791666667,0.0925
delay_CI_CI,1.25,0.425416666666,0.095
delay_CI_CI,1.5,0.424583333333,0.0958333333334
delay_CI_CI,1.75,0.425208333334,0.1
delay_CI_CI,2.0,0.426458333333,0.1025
delay_CI_CI,2.25,0.427708333334,0.104166666667
delay_CI_CI,2.5,0.42875,0.1075
delay_CI_CI,2.75,0.428958333333,0.11
delay_CI_CI,3.0,0.430416666667,0.110833333333
delay_CI_CI,3.25,0.43125,0.110833333333
delay_CI_CI,3.5,0.431041666667,0.114166666667
delay_CI_CI,3.75,0.431458333333,0.114166666667
delay_CI_CI,4.0,0.431875,0.115
delay_CI_CI,4.25,0.432916666667,0.115833333333
delay_CI_CI,4.5,0.434375,0.116666666667
delay_CI_CI,4.75,0.435208333333,0.1175
delay_CI_CI,5.0,0.436041666667,0.119166666667
delay_CI_CI,5.25,0.436875,0.119166666667
delay_CI_CI,5.5,0.437708333333,0.119166666667
delay_CI_CI,5.75,0.437708333333,0.119166666667
delay_CI_CI,6.0,0.438125,0.119166666667
delay_CI_CI,6.25,0.438125,0.1225
delay_CI_CI,6.5,0.439375,0.123333333333
delay_CI_CI,6.75,0.44,0.123333333333
delay_CI_CI,7.0,0.440833333333,0.123333333333
delay_CI_CI,7.25,0.442708333333,0.123333333333
delay_CI_CI,7.5,0.443333333333,0.123333333333
delay_CI_CI,7.75,0.446041666667,0.124166666667
delay_CI_CI,8.0,0.4475,0.125833333333
delay_CI_CI,8.25,0.447916666667,0.1275
delay_CI_CI,8.5,0.44875,0.1275
delay_CI_CI,8.75,0.45,0.1275
delay_CI_CI,9.0,0.451666666667,0.126666666667
delay_CI_CI,9.25,0.454166666667,0.126666666667
delay_CI_CI,9.5,0.455208333333,0.126666666667
delay_CI_CI,9.75,0.456458333333,0.126666666667
delay_CI_CI,10.0,0.458125,0.126666666667
delay_CI_CI,10.25,0.460208333333,0.130833333333
delay_CI_CI,10.5,0.461666666667,0.131666666667
delay_CI_CI,10.75,0.463541666667,0.131666666667
delay_CI_CI,11.0,0.464375,0.134166666667
delay_CI_CI,11.25,0.465833333333,0.134166666667
delay_CI_CI,11.5,0.467291666667,0.1325
delay_CI_CI,11.75,0.468541666667,0.135
delay_CI_CI,12.0,0.47,0.135
delay_CI_CI,12.25,0.472083333333,0.135
delay_CI_CI,12.5,0.472916666667,0.135
delay_CI_CI,12.75,0.475208333334,0.135833333333
delay_CI_CI,13.0,0.477291666667,0.135
delay_CI_CI,13.25,0.478333333333,0.136666666667
delay_CI_CI,13.5,0.48,0.135833333333
delay_CI_CI,13.75,0.483125,0.136666666667
delay_CI_CI,14.0,0.483541666667,0.136666666667
delay_CI_CI,14.25,0.485,0.1375
delay_CI_CI,14.5,0.486458333333,0.136666666667
delay_CI_CI,14.75,0.489583333333,0.1375
delay_CI_CI,15.0,0.489791666667,0.138333333333
delay_CI_CI,15.25,0.492916666667,0.138333333333
delay_CI_CI,15.5,0.495,0.14
delay_CI_CI,15.75,0.499166666667,0.141666666667
delay_CI_CI,16.0,0.500416666667,0.141666666667
delay_CI_CI,16.25,0.502083333333,0.1425
delay_CI_CI,16.5,0.502916666667,0.143333333333
delay_CI_CI,16.75,0.506041666667,0.143333333333
delay_CI_CI,17.0,0.507291666666,0.144166666667
delay_CI_CI,17.25,0.510208333333,0.145
delay_CI_CI,17.5,0.51125,0.145
delay_CI_CI,17.75,0.511666666667,0.146666666667
delay_CI_CI,18.0,0.513333333334,0.148333333333
delay_CI_CI,18.25,0.514166666667,0.149166666667
delay_CI_CI,18.5,0.516666666667,0.149166666667
delay_CI_CI,18.75,0.519166666667,0.150833333333
delay_CI_CI,19.0,0.521875,0.1525
delay_CI_CI,19.25,0.523125,0.156666666667
delay_CI_CI,19.5,0.525416666667,0.1575
delay_CI_CI,19.75,0.52625,0.16
delay_CI_CI,20.0,0.528541666667,0.1625
delay_CI_CI,20.25,0.530625,0.163333333333
delay_CI_CI,20.5,0.532916666667,0.163333333333
delay_CI_CI,20.75,0.535833333333,0.164166666667
delay_CI_CI,21.0,0.536041666667,0.165
delay_CI_CI,21.25,0.538958333333,0.169166666667
delay_CI_CI,21.5,0.540625,0.17
delay_CI_CI,21.75,0.542708333333,0.170833333333
delay_CI_CI,22.0,0.54375,0.173333333333
delay_CI_CI,22.25,0.550416666667,0.178333333333
delay_CI_CI,22.5,0.551875,0.180833333333
delay_CI_CI,22.75,0.552708333333,0.18
delay_CI_CI,23.0,0.555625,0.18
delay_CI_CI,23.25,0.56375,0.181666666667
delay_CI_CI,23.5,0.570416666666,0.1875
delay_CI_CI,23.75,0.574375,0.19
delay_CI_CI,24.0,0.577291666667,0.1925
delay_CI_CI,24.25,0.579375,0.193333333333
delay_CI_CI,24.5,0.579166666667,0.195833333333
delay_CI_CI,24.75,0.582916666667,0.1975
