Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,Coherence_NG3_L4_SS_L4_Mean_mean,GrCaus_NG3_L4_SS_L4_Information_mean,NormError_SimErr_mean,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_mean
gL,1.0,gL_1,0.5,0.26190913701,2.35050709804,2.04963845576,0.0381755476494
gL,1.0,gL_1,1.5,0.22820103689,2.01450429526,1.78638274566,0.0385362201788
gL,1.0,gL_1,2.5,0.211334052538,1.76421635744,1.62231466933,0.03659766902
gL,1.0,gL_1,3.5,0.185617653126,1.40785683042,1.50465021865,0.0293008295951
gL,1.0,gL_1,4.5,0.168994930627,0.993674189981,1.4500968192,0.0241596870611
gL,1.0,gL_1,5.5,0.156355876429,0.729973448488,1.41724149478,0.0225842513541
gL,1.0,gL_1,6.5,0.147413173459,0.437028848806,1.44626128679,0.0173071299616
gL,1.0,gL_1,7.5,0.140169939237,0.197074779814,1.46209242646,0.0150684871827
gL,1.0,gL_1,8.5,0.133242645284,0.00386137136833,1.46020218409,0.00627126743644
gL,1.0,gL_1,9.5,0.14210363613,0.0710013803387,1.48276501007,0.00314398536165
gL,1.0,gL_1,10.5,,,,0.0
gL,1.0,gL_1,11.5,,,,0.0
gL,1.0,gL_1,12.5,,,,0.0
gL,1.0,gL_1,13.5,,,,0.0
gL,1.0,gL_1,14.5,,,,0.0
gL,2.0,gL_1,0.5,0.265506817639,2.43115276908,2.0623786783,0.0359258182639
gL,2.0,gL_1,1.5,0.229800544238,2.0324029496,1.79345390099,0.035474835667
gL,2.0,gL_1,2.5,0.212995245806,1.81086420793,1.63128141236,0.0375432909985
gL,2.0,gL_1,3.5,0.186585432952,1.43511364388,1.49710071677,0.0301863048884
gL,2.0,gL_1,4.5,0.168868765194,1.01323860201,1.45096692593,0.0253936169378
gL,2.0,gL_1,5.5,0.156175855822,0.77084818936,1.41743949679,0.0221541341394
gL,2.0,gL_1,6.5,0.147327207819,0.437345355742,1.44682997863,0.0174529457637
gL,2.0,gL_1,7.5,0.140070516853,0.195588689266,1.45982328008,0.0148213770393
gL,2.0,gL_1,8.5,0.133242645284,0.00386137136833,1.46020218409,0.00627126743644
gL,2.0,gL_1,9.5,0.14210363613,0.0710013803387,1.48276501007,0.00314398536165
gL,2.0,gL_1,10.5,,,,0.0
gL,2.0,gL_1,11.5,,,,0.0
gL,2.0,gL_1,12.5,,,,0.0
gL,2.0,gL_1,13.5,,,,0.0
gL,2.0,gL_1,14.5,,,,0.0
gL,3.0,gL_1,0.5,0.267789709077,2.50352231617,2.06826751383,0.035767646695
gL,3.0,gL_1,1.5,0.233828082298,2.09011222202,1.80368830551,0.0368031459049
gL,3.0,gL_1,2.5,0.212787620413,1.82173592901,1.63935082036,0.0320015563159
gL,3.0,gL_1,3.5,0.187153568005,1.47032487725,1.50015633881,0.031050207846
gL,3.0,gL_1,4.5,0.168725179595,1.02234050674,1.45415715308,0.0248408497978
gL,3.0,gL_1,5.5,0.156352292358,0.785055009809,1.41731158564,0.0235435097912
gL,3.0,gL_1,6.5,0.147275356838,0.440502701466,1.4476185122,0.0184276463352
gL,3.0,gL_1,7.5,0.14010079914,0.194146815292,1.45985390113,0.0149293320247
gL,3.0,gL_1,8.5,0.133242645284,0.00386137136833,1.46020218409,0.00627126743644
gL,3.0,gL_1,9.5,0.14210363613,0.0710013803387,1.48276501007,0.00314398536165
gL,3.0,gL_1,10.5,,,,0.0
gL,3.0,gL_1,11.5,,,,0.0
gL,3.0,gL_1,12.5,,,,0.0
gL,3.0,gL_1,13.5,,,,0.0
gL,3.0,gL_1,14.5,,,,0.0
gL,4.0,gL_1,0.5,0.270411834098,2.42879609888,2.07620743796,0.03615136795
gL,4.0,gL_1,1.5,0.236402486886,2.12756722931,1.81882931462,0.0403985968075
gL,4.0,gL_1,2.5,0.214909339038,1.89477052612,1.64457873085,0.0330603350506
gL,4.0,gL_1,3.5,0.188704564933,1.47066970086,1.50095739503,0.031364294742
gL,4.0,gL_1,4.5,0.168793357648,1.00431717524,1.45347527914,0.0251190215698
gL,4.0,gL_1,5.5,0.156120668252,0.736044453439,1.41563264846,0.0225081878826
gL,4.0,gL_1,6.5,0.147300432286,0.386097266663,1.44530721812,0.0181297508509
gL,4.0,gL_1,7.5,0.14010079914,0.194146815292,1.45985390113,0.0149293320247
gL,4.0,gL_1,8.5,0.133242645284,0.00386137136833,1.46020218409,0.00627126743644
gL,4.0,gL_1,9.5,0.14210363613,0.0710013803387,1.48276501007,0.00314398536165
gL,4.0,gL_1,10.5,,,,0.0
gL,4.0,gL_1,11.5,,,,0.0
gL,4.0,gL_1,12.5,,,,0.0
gL,4.0,gL_1,13.5,,,,0.0
gL,4.0,gL_1,14.5,,,,0.0
gL,5.0,gL_1,0.5,0.269302939901,2.47774213741,2.05381955306,0.035904161804
