Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,MeanFR_NG1_L4_CI_SS_L4_mean,MeanFR_NG2_L4_CI_BC_L4_mean
gL,1.0,gL_1,0.5,2.09895833333,1.865
gL,1.0,gL_1,1.5,1.394375,1.28416666667
gL,1.0,gL_1,2.5,0.898958333333,0.774166666666
gL,1.0,gL_1,3.5,0.528125,0.408333333333
gL,1.0,gL_1,4.5,0.298125,0.2125
gL,1.0,gL_1,5.5,0.165833333333,0.0741666666666
gL,1.0,gL_1,6.5,0.0818750000001,0.0283333333333
gL,1.0,gL_1,7.5,0.0372916666666,0.0108333333333
gL,1.0,gL_1,8.5,0.0135416666667,0.0025
gL,1.0,gL_1,9.5,0.00270833333334,0.0
gL,1.0,gL_1,10.5,0.0,0.0
gL,1.0,gL_1,11.5,0.0,0.0
gL,1.0,gL_1,12.5,0.0,0.0
gL,1.0,gL_1,13.5,0.0,0.0
gL,1.0,gL_1,14.5,0.0,0.0
gL,2.0,gL_1,0.5,2.15979166667,1.49166666667
gL,2.0,gL_1,1.5,1.42229166667,0.989166666667
gL,2.0,gL_1,2.5,0.913958333334,0.593333333333
gL,2.0,gL_1,3.5,0.536458333334,0.315
gL,2.0,gL_1,4.5,0.30125,0.150833333333
gL,2.0,gL_1,5.5,0.166458333333,0.0508333333333
gL,2.0,gL_1,6.5,0.0825000000001,0.0175
gL,2.0,gL_1,7.5,0.036875,0.00666666666667
gL,2.0,gL_1,8.5,0.0135416666667,0.0
gL,2.0,gL_1,9.5,0.00270833333334,0.0
gL,2.0,gL_1,10.5,0.0,0.0
gL,2.0,gL_1,11.5,0.0,0.0
gL,2.0,gL_1,12.5,0.0,0.0
gL,2.0,gL_1,13.5,0.0,0.0
gL,2.0,gL_1,14.5,0.0,0.0
gL,3.0,gL_1,0.5,2.266875,1.19416666667
gL,3.0,gL_1,1.5,1.48166666667,0.786666666666
gL,3.0,gL_1,2.5,0.930833333333,0.445833333333
gL,3.0,gL_1,3.5,0.545625,0.2225
gL,3.0,gL_1,4.5,0.303541666667,0.1075
gL,3.0,gL_1,5.5,0.16875,0.0283333333333
gL,3.0,gL_1,6.5,0.0827083333334,0.00583333333333
gL,3.0,gL_1,7.5,0.036875,0.0
gL,3.0,gL_1,8.5,0.0135416666667,0.0
gL,3.0,gL_1,9.5,0.00270833333334,0.0
gL,3.0,gL_1,10.5,0.0,0.0
gL,3.0,gL_1,11.5,0.0,0.0
gL,3.0,gL_1,12.5,0.0,0.0
gL,3.0,gL_1,13.5,0.0,0.0
gL,3.0,gL_1,14.5,0.0,0.0
gL,4.0,gL_1,0.5,2.37666666667,0.91
gL,4.0,gL_1,1.5,1.535625,0.5525
gL,4.0,gL_1,2.5,0.952083333333,0.314166666667
gL,4.0,gL_1,3.5,0.555,0.1325
gL,4.0,gL_1,4.5,0.305625,0.0625
gL,4.0,gL_1,5.5,0.16875,0.0141666666667
gL,4.0,gL_1,6.5,0.0825000000001,0.000833333333333
gL,4.0,gL_1,7.5,0.036875,0.0
gL,4.0,gL_1,8.5,0.0135416666667,0.0
gL,4.0,gL_1,9.5,0.00270833333334,0.0
gL,4.0,gL_1,10.5,0.0,0.0
