Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,Coherence_NG3_L4_SS_L4_Mean_mean,GrCaus_NG3_L4_SS_L4_Information_mean,NormError_SimErr_mean,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_mean
C,30.0,C_1,30.0,10.431125015,3.18532569991,0.980728822171,0.110950166805
C,30.0,C_1,40.0,14.8627135993,4.13720016894,0.765897333916,0.187084597727
C,30.0,C_1,50.0,14.4781290676,4.11024609431,0.97069978518,0.136794159568
C,30.0,C_1,60.0,13.8927946042,3.93296625143,1.23728279779,0.0927973777127
C,30.0,C_1,70.0,13.1521561498,3.69386112036,1.40843589024,0.0570883028835
C,30.0,C_1,80.0,11.9421094975,3.43818074047,1.59093789881,0.0542427450407
C,30.0,C_1,90.0,11.0153412784,3.1346011783,1.68712982933,0.0413350760224
C,30.0,C_1,100.0,10.3453340284,2.95857240274,1.69626955411,0.0433942375031
C,30.0,C_1,110.0,9.73022997931,2.74634953473,1.78284543129,0.0404426188951
C,30.0,C_1,120.0,9.08764054929,2.54822537309,1.76936774495,0.0376421464483
C,40.0,C_1,30.0,9.23387142222,3.16650347395,1.13377841598,0.0956944613277
C,40.0,C_1,40.0,13.155861527,3.69386167095,0.823280849743,0.146409152507
C,40.0,C_1,50.0,13.9597488575,4.01817941362,0.945980758091,0.14572841984
C,40.0,C_1,60.0,14.0235562675,3.92896266782,1.19071275659,0.102011994584
C,40.0,C_1,70.0,13.3719201452,3.76977593564,1.35955241329,0.0692852751966
C,40.0,C_1,80.0,12.2020450753,3.42308022753,1.51945769558,0.0579511747777
C,40.0,C_1,90.0,11.5662994053,3.20351094479,1.65408147971,0.0455981850769
C,40.0,C_1,100.0,10.8052930916,3.01309718232,1.69714338792,0.0449523685199
C,40.0,C_1,110.0,9.87422828121,2.83136243827,1.74814021214,0.0420518568377
C,40.0,C_1,120.0,9.12773780367,2.55376071757,1.76063639167,0.0357313244524
C,50.0,C_1,30.0,9.12938320187,3.35739922945,1.0659054366,0.0810242116458
C,50.0,C_1,40.0,11.2028659033,3.34392666586,0.946269076603,0.120067170273
C,50.0,C_1,50.0,13.3854659236,3.85739203623,0.961363814149,0.151397141116
C,50.0,C_1,60.0,13.5471707395,3.85141065431,1.18893417402,0.101428316459
C,50.0,C_1,70.0,13.1929578847,3.7030033679,1.345809485,0.0742118657778
C,50.0,C_1,80.0,12.6541045253,3.41019877103,1.50034386332,0.0602289699025
C,50.0,C_1,90.0,11.8083882843,3.25748548936,1.603670995,0.0464530329822
C,50.0,C_1,100.0,11.1053730891,3.08686825479,1.68762581146,0.0427880453189
C,50.0,C_1,110.0,9.85382929461,2.86134154523,1.72621721725,0.0403132390268
C,50.0,C_1,120.0,9.10020264513,2.62762301117,1.75320413561,0.0360945643365
C,60.0,C_1,30.0,9.42263564144,3.09174052432,1.21802660905,0.0592021993667
C,60.0,C_1,40.0,10.3834933302,3.30940709337,0.954967238008,0.102845069548
C,60.0,C_1,50.0,11.9946774334,3.54078448405,0.961111730856,0.139064464123
C,60.0,C_1,60.0,13.1453615073,3.69435252415,1.11584650698,0.107774609588
C,60.0,C_1,70.0,13.1244571568,3.6930479974,1.32336916497,0.0764916848978
C,60.0,C_1,80.0,12.5509041912,3.45921089772,1.47527057238,0.0586035158659
C,60.0,C_1,90.0,12.0057856419,3.22589416218,1.61085639002,0.0475796921189
C,60.0,C_1,100.0,11.145271951,3.13433438224,1.66639097567,0.0412976766148
C,60.0,C_1,110.0,9.96818850012,2.92932371744,1.71031890289,0.03754929069
C,60.0,C_1,120.0,9.12177877698,2.64416335422,1.76164552982,0.040224567948
C,70.0,C_1,30.0,8.31084183129,3.07371406206,1.36640026772,0.0562615042986
C,70.0,C_1,40.0,10.0133174704,3.33250984447,1.01766737315,0.085182152894
C,70.0,C_1,50.0,10.8005227798,3.22668152095,0.984385805051,0.121112282028
