Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,MeanFR_NG1_L4_CI_SS_L4_mean,MeanFR_NG2_L4_CI_BC_L4_mean
C,30.0,C_1,30.0,56.9110416667,61.93
C,30.0,C_1,40.0,18.410625,23.1358333333
C,30.0,C_1,50.0,11.9204166667,16.5475
C,30.0,C_1,60.0,8.52958333333,13.0966666667
C,30.0,C_1,70.0,6.205625,10.4416666667
C,30.0,C_1,80.0,4.70125,8.71666666667
C,30.0,C_1,90.0,3.64916666667,6.97583333333
C,30.0,C_1,100.0,2.85833333333,5.615
C,30.0,C_1,110.0,2.319375,4.685
C,30.0,C_1,120.0,1.91604166667,3.63166666667
C,40.0,C_1,30.0,68.7454166667,72.2883333333
C,40.0,C_1,40.0,23.988125,27.4966666667
C,40.0,C_1,50.0,13.5197916667,16.0858333333
C,40.0,C_1,60.0,9.50270833333,11.8866666667
C,40.0,C_1,70.0,6.78979166667,8.91333333333
C,40.0,C_1,80.0,5.14208333333,7.21583333333
C,40.0,C_1,90.0,3.884375,5.66416666667
C,40.0,C_1,100.0,3.04875,4.40666666667
C,40.0,C_1,110.0,2.48583333333,3.54
C,40.0,C_1,120.0,2.03,2.78
C,50.0,C_1,30.0,75.9004166667,76.2733333333
C,50.0,C_1,40.0,36.5685416667,39.7475
C,50.0,C_1,50.0,16.0454166667,17.8533333334
C,50.0,C_1,60.0,10.3270833333,11.7991666667
C,50.0,C_1,70.0,7.47770833333,8.52083333333
C,50.0,C_1,80.0,5.595,6.555
C,50.0,C_1,90.0,4.11791666667,4.9575
C,50.0,C_1,100.0,3.19520833333,3.78916666667
C,50.0,C_1,110.0,2.56,2.87583333333
C,50.0,C_1,120.0,2.08125,2.2575
C,60.0,C_1,30.0,77.1322916667,72.3333333333
C,60.0,C_1,40.0,45.3335416667,47.6083333333
C,60.0,C_1,50.0,18.9825,20.6066666667
C,60.0,C_1,60.0,10.9652083333,11.6158333333
C,60.0,C_1,70.0,7.86854166667,8.24416666667
C,60.0,C_1,80.0,5.80270833333,6.07583333333
C,60.0,C_1,90.0,4.31375,4.5075
C,60.0,C_1,100.0,3.33875,3.36916666667
C,60.0,C_1,110.0,2.67541666667,2.54
C,60.0,C_1,120.0,2.13604166667,1.89166666667
C,70.0,C_1,30.0,92.8285416667,81.8266666667
C,70.0,C_1,40.0,56.1064583333,55.1525
C,70.0,C_1,50.0,25.8558333333,27.195
C,70.0,C_1,60.0,12.603125,12.7358333333
C,70.0,C_1,70.0,8.44333333333,8.39583333333
C,70.0,C_1,80.0,6.16083333333,6.09583333333
C,70.0,C_1,90.0,4.405,4.11833333333
C,70.0,C_1,100.0,3.465,3.15666666667
C,70.0,C_1,110.0,2.733125,2.26333333333
C,70.0,C_1,120.0,2.19708333333,1.65916666667
C,80.0,C_1,30.0,93.2972916666,78.2658333334
C,80.0,C_1,40.0,60.5297916667,56.3175
C,80.0,C_1,50.0,31.14,31.7383333333
C,80.0,C_1,60.0,14.5235416667,14.175
C,80.0,C_1,70.0,8.94604166667,8.57166666667
C,80.0,C_1,80.0,6.30416666667,5.79833333333
C,80.0,C_1,90.0,4.60604166667,4.02166666667
C,80.0,C_1,100.0,3.59354166667,2.8675
C,80.0,C_1,110.0,2.84270833333,2.04916666667
C,80.0,C_1,120.0,2.26083333333,1.43666666667
C,90.0,C_1,30.0,97.4297916667,78.4358333333
C,90.0,C_1,40.0,65.1497916667,57.5408333333
C,90.0,C_1,50.0,39.2195833333,38.2475
C,90.0,C_1,60.0,17.748125,17.275
C,90.0,C_1,70.0,9.26270833334,8.54833333333
C,90.0,C_1,80.0,6.59395833333,5.8375
C,90.0,C_1,90.0,4.74604166667,3.81666666667
C,90.0,C_1,100.0,3.668125,2.66416666667
C,90.0,C_1,110.0,2.89,1.8725
C,90.0,C_1,120.0,2.32125,1.25666666667
C,100.0,C_1,30.0,107.063333333,83.0158333333
C,100.0,C_1,40.0,75.5239583333,63.3641666667
C,100.0,C_1,50.0,42.5935416667,39.6508333333
C,100.0,C_1,60.0,23.035,22.1783333333
C,100.0,C_1,70.0,10.1795833333,8.89083333334
C,100.0,C_1,80.0,6.92666666667,5.905
C,100.0,C_1,90.0,5.1175,3.96166666667
C,100.0,C_1,100.0,3.77979166667,2.58833333333
C,100.0,C_1,110.0,2.92229166667,1.68833333333
C,100.0,C_1,120.0,2.37375,1.1675
C,110.0,C_1,30.0,113.90875,85.3325
C,110.0,C_1,40.0,80.2839583333,64.1416666667
C,110.0,C_1,50.0,46.3520833333,41.1391666667
C,110.0,C_1,60.0,27.26125,25.635
C,110.0,C_1,70.0,12.5302083333,11.4316666667
C,110.0,C_1,80.0,7.52208333333,6.32416666667
C,110.0,C_1,90.0,5.18479166667,3.8825
C,110.0,C_1,100.0,3.85104166667,2.46083333333
C,110.0,C_1,110.0,2.99958333333,1.62666666667
C,110.0,C_1,120.0,2.43645833333,1.07083333333
C,120.0,C_1,30.0,117.043541667,84.95
C,120.0,C_1,40.0,81.555,62.7766666667
C,120.0,C_1,50.0,48.8204166667,41.4008333333
C,120.0,C_1,60.0,30.709375,27.8558333333
C,120.0,C_1,70.0,15.7739583333,14.2575
C,120.0,C_1,80.0,7.95729166666,6.49833333333
C,120.0,C_1,90.0,5.42395833333,4.01416666667
C,120.0,C_1,100.0,3.95375,2.45833333333
C,120.0,C_1,110.0,3.07270833333,1.55166666667
C,120.0,C_1,120.0,2.48020833333,1.03583333333
C,130.0,C_1,30.0,119.359583333,83.7541666667
C,130.0,C_1,40.0,81.9722916667,60.9691666667
C,130.0,C_1,50.0,58.4160416667,47.2233333333
C,130.0,C_1,60.0,32.6877083333,28.5941666667
C,130.0,C_1,70.0,19.8939583333,17.835
C,130.0,C_1,80.0,9.01979166667,7.31083333333
C,130.0,C_1,90.0,5.860625,4.26416666667
C,130.0,C_1,100.0,4.15229166666,2.60833333333
C,130.0,C_1,110.0,3.13645833333,1.5
C,130.0,C_1,120.0,2.50979166667,0.949166666667
C,140.0,C_1,30.0,118.026875,80.7541666667
C,140.0,C_1,40.0,85.565,61.6841666667
C,140.0,C_1,50.0,61.7989583333,47.3791666667
C,140.0,C_1,60.0,33.7779166667,28.4158333333
C,140.0,C_1,70.0,21.7010416667,18.7758333333
C,140.0,C_1,80.0,10.1602083333,8.3625
C,140.0,C_1,90.0,6.00416666667,4.18916666667
C,140.0,C_1,100.0,4.22291666667,2.52083333334
C,140.0,C_1,110.0,3.213125,1.50083333333
C,140.0,C_1,120.0,2.52270833333,0.859999999999
C,150.0,C_1,30.0,119.799375,80.1708333333
C,150.0,C_1,40.0,91.341875,63.7433333333
C,150.0,C_1,50.0,63.3470833333,46.905
C,150.0,C_1,60.0,38.0416666666,30.835
C,150.0,C_1,70.0,24.46625,20.7533333333
C,150.0,C_1,80.0,12.054375,9.76916666667
C,150.0,C_1,90.0,6.34895833333,4.51166666667
C,150.0,C_1,100.0,4.38,2.69583333333
C,150.0,C_1,110.0,3.27,1.52833333333
C,150.0,C_1,120.0,2.53770833333,0.795833333333
C,160.0,C_1,30.0,120.191875,78.66
C,160.0,C_1,40.0,93.1558333333,63.5041666666
C,160.0,C_1,50.0,65.1691666667,46.655
C,160.0,C_1,60.0,43.7195833333,33.9941666667
C,160.0,C_1,70.0,25.5352083333,20.95
C,160.0,C_1,80.0,15.454375,12.6658333333
C,160.0,C_1,90.0,7.30375,5.12166666667
C,160.0,C_1,100.0,4.5275,2.71833333333
C,160.0,C_1,110.0,3.401875,1.54083333333
C,160.0,C_1,120.0,2.58583333333,0.750833333333
C,170.0,C_1,30.0,124.005416666,79.2333333333
C,170.0,C_1,40.0,100.129791667,66.7166666667
C,170.0,C_1,50.0,67.5097916666,47.03
C,170.0,C_1,60.0,48.3410416666,35.785
C,170.0,C_1,70.0,27.5239583333,21.7766666667
C,170.0,C_1,80.0,16.1129166667,12.9541666667
C,170.0,C_1,90.0,7.57020833333,5.39833333333
C,170.0,C_1,100.0,4.62729166667,2.72916666667
C,170.0,C_1,110.0,3.45083333333,1.4875
C,170.0,C_1,120.0,2.625,0.7075
C,180.0,C_1,30.0,128.474791667,80.1425
C,180.0,C_1,40.0,100.00875,64.8616666667
C,180.0,C_1,50.0,70.57,47.7841666667
C,180.0,C_1,60.0,48.6895833333,34.815
C,180.0,C_1,70.0,31.1760416667,23.8808333333
C,180.0,C_1,80.0,18.8979166667,14.8758333333
C,180.0,C_1,90.0,8.221875,5.4475
C,180.0,C_1,100.0,4.85645833333,2.92166666667
C,180.0,C_1,110.0,3.62666666666,1.70833333333
C,180.0,C_1,120.0,2.70520833333,0.775833333334
C,190.0,C_1,30.0,133.285,81.4166666667
C,190.0,C_1,40.0,101.478125,64.2475
C,190.0,C_1,50.0,72.7170833333,48.0916666667
C,190.0,C_1,60.0,50.6633333333,35.1708333333
C,190.0,C_1,70.0,34.3222916667,25.3941666667
C,190.0,C_1,80.0,20.8691666667,15.8625
C,190.0,C_1,90.0,9.48770833333,6.47833333333
C,190.0,C_1,100.0,5.06729166667,3.00583333333
C,190.0,C_1,110.0,3.69729166667,1.70083333333
C,190.0,C_1,120.0,2.7475,0.828333333334
C,200.0,C_1,30.0,137.225625,81.9991666667
C,200.0,C_1,40.0,101.525625,62.8183333333
C,200.0,C_1,50.0,75.221875,48.5775
C,200.0,C_1,60.0,54.999375,37.0058333333
C,200.0,C_1,70.0,35.8852083334,25.6458333333
C,200.0,C_1,80.0,22.4039583333,16.6633333333
C,200.0,C_1,90.0,11.8983333333,8.53083333333
C,200.0,C_1,100.0,5.34041666667,3.09583333333
C,200.0,C_1,110.0,3.76541666667,1.72833333333
C,200.0,C_1,120.0,2.78375,0.8125
C,210.0,C_1,30.0,142.929791667,83.5008333333
C,210.0,C_1,40.0,102.768958333,62.1916666667
C,210.0,C_1,50.0,78.4541666667,49.4375
C,210.0,C_1,60.0,56.1175,36.8808333333
C,210.0,C_1,70.0,34.28875,23.9291666667
C,210.0,C_1,80.0,22.9910416667,16.5316666667
C,210.0,C_1,90.0,13.9458333333,10.13
C,210.0,C_1,100.0,5.625,3.28583333333
C,210.0,C_1,110.0,3.853125,1.76916666667
C,210.0,C_1,120.0,2.82375,0.82
C,220.0,C_1,30.0,146.8075,83.9858333333
C,220.0,C_1,40.0,101.667708333,60.2975
C,220.0,C_1,50.0,80.8360416667,49.8058333333
C,220.0,C_1,60.0,58.9170833333,37.7783333333
C,220.0,C_1,70.0,38.9464583334,26.3225
C,220.0,C_1,80.0,24.1158333333,16.9775
C,220.0,C_1,90.0,14.5770833333,10.3575
C,220.0,C_1,100.0,6.27604166667,3.82083333333
C,220.0,C_1,110.0,3.926875,1.80916666667
C,220.0,C_1,120.0,2.838125,0.800000000001
C,230.0,C_1,30.0,147.07125,82.4058333333
C,230.0,C_1,40.0,99.068125,57.6083333333
C,230.0,C_1,50.0,83.211875,50.1916666667
C,230.0,C_1,60.0,60.9685416667,38.1675
C,230.0,C_1,70.0,42.7991666667,27.9891666667
C,230.0,C_1,80.0,25.191875,17.2775
C,230.0,C_1,90.0,15.8314583333,10.9908333333
C,230.0,C_1,100.0,7.11583333333,4.33833333333
C,230.0,C_1,110.0,4.01395833333,1.8875
C,230.0,C_1,120.0,2.91729166667,0.934166666666
C,240.0,C_1,30.0,149.829791667,82.2991666667
C,240.0,C_1,40.0,101.993541667,57.9516666667
C,240.0,C_1,50.0,85.9785416667,50.6325
C,240.0,C_1,60.0,61.5591666667,37.7925
C,240.0,C_1,70.0,43.4647916667,27.8
C,240.0,C_1,80.0,26.6075,17.835
C,240.0,C_1,90.0,17.5795833333,11.8558333333
C,240.0,C_1,100.0,8.25041666667,5.1775
C,240.0,C_1,110.0,4.12645833333,2.0225
C,240.0,C_1,120.0,2.963125,0.943333333334
C,250.0,C_1,30.0,149.307708333,80.5916666667
C,250.0,C_1,40.0,101.003333333,56.445
C,250.0,C_1,50.0,85.0397916667,48.9225
C,250.0,C_1,60.0,65.0277083333,38.9841666666
C,250.0,C_1,70.0,45.29125,28.3666666666
C,250.0,C_1,80.0,28.9775,19.0316666667
C,250.0,C_1,90.0,18.78625,12.5025
C,250.0,C_1,100.0,9.47541666666,5.90833333333
C,250.0,C_1,110.0,4.39958333333,2.23416666667
C,250.0,C_1,120.0,3.05041666667,1.00666666667
C,260.0,C_1,30.0,149.703958333,79.3375
C,260.0,C_1,40.0,103.027916667,56.7191666667
C,260.0,C_1,50.0,85.73875,48.3583333333
C,260.0,C_1,60.0,67.6454166667,39.6875
C,260.0,C_1,70.0,48.1495833333,29.435
C,260.0,C_1,80.0,30.8120833333,19.7433333333
C,260.0,C_1,90.0,20.1902083333,13.3058333333
C,260.0,C_1,100.0,9.94375,6.08916666667
C,260.0,C_1,110.0,4.92666666667,2.5825
C,260.0,C_1,120.0,3.03833333333,1.00833333333
