Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,Coherence_NG3_L4_SS_L4_Mean_mean,GrCaus_NG3_L4_SS_L4_Information_mean,NormError_SimErr_mean,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_mean
VT,-65.0,VT_1,-67.0,12.3072132964,3.42056119838,1.68901416602,0.0918055584704
VT,-65.0,VT_1,-64.0,12.8097087825,3.41728657645,1.7814456493,0.0655374198374
VT,-65.0,VT_1,-61.0,11.8863608984,3.28415846059,1.80373829575,0.0488880918717
VT,-65.0,VT_1,-58.0,10.6211066615,2.97614479881,1.81219009063,0.0384293253105
VT,-65.0,VT_1,-55.0,8.50284509975,2.42790378165,1.73044209611,0.0365805570255
VT,-65.0,VT_1,-52.0,7.52013902635,1.91789598835,1.64550256441,0.0384966994914
VT,-65.0,VT_1,-49.0,6.48751839216,1.40799398505,1.54648509789,0.0352314265156
VT,-65.0,VT_1,-46.0,5.67499443209,0.860056749922,1.49406826335,0.0265425982641
VT,-65.0,VT_1,-43.0,5.23108968488,0.477613742063,1.5195991907,0.0227627425944
VT,-65.0,VT_1,-40.0,4.91767272454,0.030818662595,1.53010161981,0.0183014398793
VT,-65.0,VT_1,-37.0,4.75027550965,-0.0542928605439,1.51760607153,0.0121585874918
VT,-62.0,VT_1,-67.0,9.56114677534,2.7160557693,1.47302960126,0.0909179655367
VT,-62.0,VT_1,-64.0,12.303597823,3.35745248498,1.72447825771,0.0674429471064
VT,-62.0,VT_1,-61.0,11.7653644646,3.23639959189,1.79529786875,0.0473037061578
VT,-62.0,VT_1,-58.0,10.6135191776,3.01200112941,1.78377830451,0.0401080256894
VT,-62.0,VT_1,-55.0,8.75601388788,2.53285680445,1.75062222121,0.0391160687186
VT,-62.0,VT_1,-52.0,7.53825227036,1.97917793289,1.66796912809,0.0363373802476
VT,-62.0,VT_1,-49.0,6.49650507864,1.41975833491,1.55630296975,0.0320544061056
VT,-62.0,VT_1,-46.0,5.67892748921,0.903941754833,1.49879662389,0.0253417433969
VT,-62.0,VT_1,-43.0,5.27481166644,0.444879253416,1.51447339112,0.0216706187177
VT,-62.0,VT_1,-40.0,4.91312537274,0.0557290729318,1.53013712494,0.0183647267154
VT,-62.0,VT_1,-37.0,4.74561970065,-0.0568086540028,1.517169444,0.0119123764114
VT,-59.0,VT_1,-67.0,9.13101888609,2.63219166265,1.44076553877,0.0917973434311
VT,-59.0,VT_1,-64.0,11.3490208353,3.06829481448,1.65637641573,0.0718717525015
VT,-59.0,VT_1,-61.0,11.6306306445,3.25451324729,1.74329615453,0.0472007638993
VT,-59.0,VT_1,-58.0,10.5972063318,2.99175324709,1.78731387164,0.042098399487
VT,-59.0,VT_1,-55.0,8.95917291129,2.59838489065,1.76465353545,0.0408868530032
VT,-59.0,VT_1,-52.0,7.69586995015,2.07799513943,1.67090855032,0.0361939240421
VT,-59.0,VT_1,-49.0,6.52431621803,1.42117698897,1.55325385592,0.0312024494196
VT,-59.0,VT_1,-46.0,5.68947403203,0.873521242031,1.50342334904,0.0259711622726
VT,-59.0,VT_1,-43.0,5.2803281443,0.493468690074,1.50814320819,0.0226386198908
VT,-59.0,VT_1,-40.0,4.91652353526,0.0386180272644,1.53299302235,0.0185026897721
VT,-59.0,VT_1,-37.0,4.74681401499,-0.0563489655726,1.51714370214,0.0120758907121
VT,-56.0,VT_1,-67.0,8.70195931991,2.40315079322,1.46106102257,0.0779176275101
VT,-56.0,VT_1,-64.0,9.93511894367,2.69915414404,1.5397171449,0.0804729683588
VT,-56.0,VT_1,-61.0,11.0793402179,3.13957662835,1.75027141101,0.0464163902555
VT,-56.0,VT_1,-58.0,10.3865389736,2.93994944893,1.77178786412,0.0421543163405
VT,-56.0,VT_1,-55.0,9.10446096932,2.66394080743,1.77949294644,0.040908835343
VT,-56.0,VT_1,-52.0,7.73677837728,2.07524149034,1.6749824941,0.035849701509
VT,-56.0,VT_1,-49.0,6.57878244176,1.46870222549,1.55404726827,0.0319613090615
VT,-56.0,VT_1,-46.0,5.72696511252,0.883612655059,1.49844597954,0.0266483718906
VT,-56.0,VT_1,-43.0,5.29938345751,0.521226713418,1.49576713815,0.0233643770658
VT,-56.0,VT_1,-40.0,4.9201340381,0.0401642738947,1.53299487871,0.0185407396026
VT,-56.0,VT_1,-37.0,4.74684218391,-0.0563190363735,1.51714366722,0.0118990810544
VT,-53.0,VT_1,-67.0,8.40548731581,2.37520839222,1.46579714031,0.0768337278865
