Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,MeanFR_NG1_L4_CI_SS_L4_mean,MeanFR_NG2_L4_CI_BC_L4_mean
VT,-65.0,VT_1,-67.0,13.9302083333,14.2725
VT,-65.0,VT_1,-64.0,8.26354166666,8.95083333333
VT,-65.0,VT_1,-61.0,5.02645833333,5.8125
VT,-65.0,VT_1,-58.0,3.08895833333,3.74583333333
VT,-65.0,VT_1,-55.0,1.84208333333,2.13083333333
VT,-65.0,VT_1,-52.0,1.06125,1.06083333333
VT,-65.0,VT_1,-49.0,0.615833333333,0.5675
VT,-65.0,VT_1,-46.0,0.336041666667,0.299166666667
VT,-65.0,VT_1,-43.0,0.194583333333,0.1525
VT,-65.0,VT_1,-40.0,0.101666666667,0.0641666666666
VT,-65.0,VT_1,-37.0,0.0504166666666,0.03
VT,-62.0,VT_1,-67.0,20.97125,21.4291666667
VT,-62.0,VT_1,-64.0,9.15916666667,8.7275
VT,-62.0,VT_1,-61.0,5.50479166667,5.36416666667
VT,-62.0,VT_1,-58.0,3.36020833333,3.14166666667
VT,-62.0,VT_1,-55.0,1.97479166667,1.54083333333
VT,-62.0,VT_1,-52.0,1.11104166667,0.698333333333
VT,-62.0,VT_1,-49.0,0.634375,0.354166666667
VT,-62.0,VT_1,-46.0,0.341458333333,0.1775
VT,-62.0,VT_1,-43.0,0.197291666667,0.0699999999999
VT,-62.0,VT_1,-40.0,0.102291666667,0.0283333333333
VT,-62.0,VT_1,-37.0,0.0502083333333,0.0166666666667
VT,-59.0,VT_1,-67.0,27.553125,26.5341666667
VT,-59.0,VT_1,-64.0,10.92375,9.6475
VT,-59.0,VT_1,-61.0,6.005625,5.00166666667
VT,-59.0,VT_1,-58.0,3.56833333333,2.54833333333
VT,-59.0,VT_1,-55.0,2.07833333333,1.15916666667
VT,-59.0,VT_1,-52.0,1.154375,0.458333333333
VT,-59.0,VT_1,-49.0,0.645,0.199166666667
VT,-59.0,VT_1,-46.0,0.3475,0.0866666666667
VT,-59.0,VT_1,-43.0,0.197916666667,0.0308333333333
VT,-59.0,VT_1,-40.0,0.1025,0.0191666666667
VT,-59.0,VT_1,-37.0,0.0502083333333,0.0025
VT,-56.0,VT_1,-67.0,30.2627083333,27.3433333333
VT,-56.0,VT_1,-64.0,14.1404166667,12.3766666667
VT,-56.0,VT_1,-61.0,6.495625,4.74416666667
VT,-56.0,VT_1,-58.0,3.81229166667,2.29083333333
VT,-56.0,VT_1,-55.0,2.20854166667,0.836666666666
VT,-56.0,VT_1,-52.0,1.17458333333,0.248333333333
VT,-56.0,VT_1,-49.0,0.660625,0.0975
VT,-56.0,VT_1,-46.0,0.351666666667,0.0358333333333
VT,-56.0,VT_1,-43.0,0.199166666667,0.015
VT,-56.0,VT_1,-40.0,0.1025,0.0025
VT,-56.0,VT_1,-37.0,0.0502083333333,0.0
VT,-53.0,VT_1,-67.0,31.53625,27.0283333333
VT,-53.0,VT_1,-64.0,19.34625,16.9066666667
VT,-53.0,VT_1,-61.0,8.07208333333,5.91666666667
VT,-53.0,VT_1,-58.0,4.07854166667,2.04083333333
VT,-53.0,VT_1,-55.0,2.27520833333,0.601666666667
VT,-53.0,VT_1,-52.0,1.19479166667,0.1475
