Dimension-1 Parameter,Dimension-1 Value,Coherence_NG3_L4_SS_L4_Sum_accuracy,GrCaus_NG3_L4_SS_L4_Information_accuracy,NormError_SimErr_accuracy,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_accuracy,Coherence_NG3_L4_SS_L4_Sum_p,GrCaus_NG3_L4_SS_L4_Information_p,NormError_SimErr_p,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_p,Coherence_NG3_L4_SS_L4_Sum_conf_min,GrCaus_NG3_L4_SS_L4_Information_conf_min,NormError_SimErr_conf_min,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_conf_min,Coherence_NG3_L4_SS_L4_Sum_conf_max,GrCaus_NG3_L4_SS_L4_Information_conf_max,NormError_SimErr_conf_max,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_conf_max
delay_CI_CI,0.5,1.0,1.0,0.4,0.866666666667,0.0,0.0,0.166,0.0,0.884,0.884,0.227,0.693,1.0,1.0,0.594,0.962
delay_CI_CI,0.75,1.0,1.0,0.4,0.833333333333,0.0,0.0,0.166,0.0,0.884,0.884,0.227,0.653,1.0,1.0,0.594,0.944
delay_CI_CI,1.0,1.0,1.0,0.4,0.833333333333,0.0,0.0,0.166,0.0,0.884,0.884,0.227,0.653,1.0,1.0,0.594,0.944
delay_CI_CI,1.25,1.0,1.0,0.4,0.866666666667,0.0,0.0,0.166,0.0,0.884,0.884,0.227,0.693,1.0,1.0,0.594,0.962
delay_CI_CI,1.5,1.0,1.0,0.4,0.9,0.0,0.0,0.166,0.0,0.884,0.884,0.227,0.735,1.0,1.0,0.594,0.979
delay_CI_CI,1.75,1.0,1.0,0.433333333333,0.9,0.0,0.0,0.09,0.0,0.884,0.884,0.255,0.735,1.0,1.0,0.626,0.979
delay_CI_CI,2.0,1.0,1.0,0.4,0.933333333333,0.0,0.0,0.166,0.0,0.884,0.884,0.227,0.779,1.0,1.0,0.594,0.992
delay_CI_CI,2.25,1.0,1.0,0.433333333333,0.966666666667,0.0,0.0,0.09,0.0,0.884,0.884,0.255,0.828,1.0,1.0,0.626,0.999
delay_CI_CI,2.5,1.0,1.0,0.466666666667,0.9,0.0,0.0,0.043,0.0,0.884,0.884,0.283,0.735,1.0,1.0,0.657,0.979
delay_CI_CI,2.75,1.0,1.0,0.5,0.866666666667,0.0,0.0,0.019,0.0,0.884,0.884,0.313,0.693,1.0,1.0,0.687,0.962
delay_CI_CI,3.0,1.0,1.0,0.366666666667,0.9,0.0,0.0,0.276,0.0,0.884,0.884,0.199,0.735,1.0,1.0,0.561,0.979
delay_CI_CI,3.25,1.0,1.0,0.433333333333,0.833333333333,0.0,0.0,0.09,0.0,0.884,0.884,0.255,0.653,1.0,1.0,0.626,0.944
delay_CI_CI,3.5,1.0,1.0,0.433333333333,0.9,0.0,0.0,0.09,0.0,0.884,0.884,0.255,0.735,1.0,1.0,0.626,0.979
delay_CI_CI,3.75,1.0,1.0,0.4,0.833333333333,0.0,0.0,0.166,0.0,0.884,0.884,0.227,0.653,1.0,1.0,0.594,0.944
delay_CI_CI,4.0,1.0,1.0,0.4,0.833333333333,0.0,0.0,0.166,0.0,0.884,0.884,0.227,0.653,1.0,1.0,0.594,0.944
delay_CI_CI,4.25,1.0,1.0,0.4,0.833333333333,0.0,0.0,0.166,0.0,0.884,0.884,0.227,0.653,1.0,1.0,0.594,0.944
delay_CI_CI,4.5,1.0,1.0,0.366666666667,0.766666666667,0.0,0.0,0.276,0.0,0.884,0.884,0.199,0.577,1.0,1.0,0.561,0.901
