Dimension-1 Parameter,Dimension-1 Value,MeanFR_NG1_L4_CI_SS_L4_mean,MeanFR_NG2_L4_CI_BC_L4_mean
delay_CI_CI,0.5,2.05854166667,0.514166666667
delay_CI_CI,0.75,2.08458333333,0.555833333333
delay_CI_CI,1.0,2.09604166667,0.57
delay_CI_CI,1.25,2.116875,0.595
delay_CI_CI,1.5,2.128125,0.613333333333
delay_CI_CI,1.75,2.148125,0.628333333334
delay_CI_CI,2.0,2.15020833333,0.639166666667
delay_CI_CI,2.25,2.17083333333,0.675
delay_CI_CI,2.5,2.18958333333,0.694166666667
delay_CI_CI,2.75,2.20979166667,0.734166666667
delay_CI_CI,3.0,2.22,0.7475
delay_CI_CI,3.25,2.24145833333,0.774166666667
delay_CI_CI,3.5,2.27020833333,0.8175
delay_CI_CI,3.75,2.29854166666,0.872499999999
delay_CI_CI,4.0,2.31333333333,0.896666666666
delay_CI_CI,4.25,2.31479166667,0.903333333334
delay_CI_CI,4.5,2.33583333333,0.913333333333
delay_CI_CI,4.75,2.35125,0.953333333333
delay_CI_CI,5.0,2.36979166667,0.97
delay_CI_CI,5.25,2.39520833333,1.00333333333
delay_CI_CI,5.5,2.41,1.01333333333
delay_CI_CI,5.75,2.45229166667,1.0525
delay_CI_CI,6.0,2.48854166667,1.095
delay_CI_CI,6.25,2.49166666667,1.10333333333
delay_CI_CI,6.5,2.54229166667,1.1725
delay_CI_CI,6.75,2.555,1.16166666667
delay_CI_CI,7.0,2.56625,1.18166666667
delay_CI_CI,7.25,2.61625,1.2175
delay_CI_CI,7.5,2.6175,1.21333333333
delay_CI_CI,7.75,2.645625,1.25666666667
delay_CI_CI,8.0,2.68229166667,1.25833333333
delay_CI_CI,8.25,2.69520833333,1.2925
delay_CI_CI,8.5,2.70833333333,1.325
delay_CI_CI,8.75,2.72520833333,1.37083333333
delay_CI_CI,9.0,2.72333333333,1.39083333333
delay_CI_CI,9.25,2.73833333333,1.375
delay_CI_CI,9.5,2.79458333333,1.44333333333
delay_CI_CI,9.75,2.80916666667,1.4425
delay_CI_CI,10.0,2.85,1.4775
delay_CI_CI,10.25,2.854375,1.47416666667
delay_CI_CI,10.5,2.88854166667,1.52583333333
delay_CI_CI,10.75,2.91770833333,1.6
delay_CI_CI,11.0,2.93041666667,1.60833333333
delay_CI_CI,11.25,2.94458333333,1.5925
delay_CI_CI,11.5,3.028125,1.63333333333
delay_CI_CI,11.75,3.05604166667,1.66166666667
delay_CI_CI,12.0,3.07979166667,1.68
delay_CI_CI,12.25,3.140625,1.72916666667
delay_CI_CI,12.5,3.15291666667,1.73583333333
delay_CI_CI,12.75,3.21895833333,1.82083333333
delay_CI_CI,13.0,3.265625,1.83916666667
delay_CI_CI,13.25,3.32083333333,1.91916666667
delay_CI_CI,13.5,3.3275,1.87583333333
delay_CI_CI,13.75,3.31,1.88083333333
delay_CI_CI,14.0,3.34729166667,1.93833333333
delay_CI_CI,14.25,3.37145833333,1.94
delay_CI_CI,14.5,3.394375,1.9775
delay_CI_CI,14.75,3.43270833333,1.99083333333
delay_CI_CI,15.0,3.42729166667,1.97916666667
delay_CI_CI,15.25,3.471875,1.99666666667
delay_CI_CI,15.5,3.46291666667,1.97083333333
delay_CI_CI,15.75,3.524375,2.0175
delay_CI_CI,16.0,3.52041666667,1.99583333333
delay_CI_CI,16.25,3.5175,2.05333333333
delay_CI_CI,16.5,3.56375,2.0925
delay_CI_CI,16.75,3.569375,2.0875
delay_CI_CI,17.0,3.59708333333,2.11916666667
delay_CI_CI,17.25,3.65729166667,2.11666666667
delay_CI_CI,17.5,3.73375,2.16583333333
delay_CI_CI,17.75,3.760625,2.1575
delay_CI_CI,18.0,3.78979166667,2.17
delay_CI_CI,18.25,3.79145833333,2.16833333334
delay_CI_CI,18.5,3.815,2.17083333333
delay_CI_CI,18.75,3.79083333333,2.13083333333
delay_CI_CI,19.0,3.80833333333,2.18583333333
delay_CI_CI,19.25,3.84354166667,2.20916666667
delay_CI_CI,19.5,3.82291666667,2.21333333333
delay_CI_CI,19.75,3.86916666667,2.24666666667
delay_CI_CI,20.0,3.87479166666,2.19166666667
delay_CI_CI,20.25,3.85083333333,2.21916666667
delay_CI_CI,20.5,3.87645833333,2.16166666667
delay_CI_CI,20.75,3.9,2.17583333333
delay_CI_CI,21.0,3.92875,2.18083333333
delay_CI_CI,21.25,3.96958333333,2.24416666667
delay_CI_CI,21.5,3.95604166667,2.14666666667
delay_CI_CI,21.75,4.01708333333,2.19916666667
delay_CI_CI,22.0,4.01,2.19583333333
delay_CI_CI,22.25,4.03291666667,2.245
delay_CI_CI,22.5,4.04104166667,2.21333333333
delay_CI_CI,22.75,4.02354166667,2.20333333333
delay_CI_CI,23.0,4.05145833333,2.27166666667
delay_CI_CI,23.25,4.11395833333,2.27
delay_CI_CI,23.5,4.108125,2.32916666667
delay_CI_CI,23.75,4.17166666667,2.3225
delay_CI_CI,24.0,4.16958333333,2.32416666667
delay_CI_CI,24.25,4.19125,2.28916666667
delay_CI_CI,24.5,4.15145833333,2.27916666667
delay_CI_CI,24.75,4.181875,2.29083333333
