Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,MeanFR_NG1_L4_CI_SS_L4_mean,MeanFR_NG2_L4_CI_BC_L4_mean
gL,1.0,gL_1,0.5,3.87666666667,2.81083333333
gL,1.0,gL_1,1.5,3.421875,2.4925
gL,1.0,gL_1,2.5,2.84083333333,2.04166666667
gL,1.0,gL_1,3.5,2.33729166667,1.45833333334
gL,1.0,gL_1,4.5,1.87333333333,1.01916666667
gL,1.0,gL_1,5.5,1.4075,0.5875
gL,1.0,gL_1,6.5,1.045625,0.369166666667
gL,1.0,gL_1,7.5,0.775416666666,0.2525
gL,1.0,gL_1,8.5,0.560625,0.1575
gL,1.0,gL_1,9.5,0.400208333333,0.0833333333333
gL,1.0,gL_1,10.5,0.284166666666,0.0375
gL,1.0,gL_1,11.5,0.194375,0.0183333333333
gL,1.0,gL_1,12.5,0.130416666667,0.01
gL,1.0,gL_1,13.5,0.08125,0.000833333333333
gL,1.0,gL_1,14.5,0.05375,0.0
gL,2.0,gL_1,0.5,4.05625,2.47833333333
gL,2.0,gL_1,1.5,3.53229166667,2.18666666667
gL,2.0,gL_1,2.5,2.915625,1.7275
gL,2.0,gL_1,3.5,2.41145833333,1.26916666667
gL,2.0,gL_1,4.5,1.90541666667,0.8575
gL,2.0,gL_1,5.5,1.41458333333,0.463333333333
gL,2.0,gL_1,6.5,1.04625,0.298333333333
gL,2.0,gL_1,7.5,0.775208333333,0.193333333333
gL,2.0,gL_1,8.5,0.562708333333,0.1175
gL,2.0,gL_1,9.5,0.401041666667,0.055
gL,2.0,gL_1,10.5,0.284375,0.0333333333333
gL,2.0,gL_1,11.5,0.194375,0.0133333333333
gL,2.0,gL_1,12.5,0.130416666667,0.005
gL,2.0,gL_1,13.5,0.08125,0.0
gL,2.0,gL_1,14.5,0.05375,0.0
gL,3.0,gL_1,0.5,4.21458333333,2.36166666667
gL,3.0,gL_1,1.5,3.6575,2.0075
gL,3.0,gL_1,2.5,3.01770833333,1.55833333333
gL,3.0,gL_1,3.5,2.4475,1.06833333333
gL,3.0,gL_1,4.5,1.92104166667,0.705
gL,3.0,gL_1,5.5,1.43020833333,0.378333333333
gL,3.0,gL_1,6.5,1.048125,0.229166666666
gL,3.0,gL_1,7.5,0.777708333333,0.14
gL,3.0,gL_1,8.5,0.568958333333,0.0891666666667
gL,3.0,gL_1,9.5,0.406666666667,0.0375
gL,3.0,gL_1,10.5,0.284166666666,0.0183333333334
gL,3.0,gL_1,11.5,0.194375,0.00916666666667
gL,3.0,gL_1,12.5,0.130416666667,0.00166666666667
