Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,MeanFR_NG1_L4_CI_SS_L4_mean,MeanFR_NG2_L4_CI_BC_L4_mean
C,30.0,C_1,30.0,285.111041667,285.35
C,30.0,C_1,40.0,263.4625,264.324166667
C,30.0,C_1,50.0,8.230625,11.8308333334
C,30.0,C_1,60.0,4.43270833333,5.85916666667
C,30.0,C_1,70.0,2.75020833333,3.16916666667
C,30.0,C_1,80.0,1.85604166667,1.85
C,30.0,C_1,90.0,1.31770833333,1.12916666667
C,30.0,C_1,100.0,0.971875,0.739166666667
C,30.0,C_1,110.0,0.724375,0.505
C,30.0,C_1,120.0,0.546666666667,0.37
C,40.0,C_1,30.0,291.314791667,283.696666667
C,40.0,C_1,40.0,266.255833333,267.000833333
C,40.0,C_1,50.0,84.929375,88.7824999999
C,40.0,C_1,60.0,5.39916666667,6.1925
C,40.0,C_1,70.0,3.19041666667,3.0725
C,40.0,C_1,80.0,2.09020833333,1.57
C,40.0,C_1,90.0,1.430625,0.881666666667
C,40.0,C_1,100.0,1.03479166667,0.556666666667
C,40.0,C_1,110.0,0.759166666667,0.3675
C,40.0,C_1,120.0,0.567916666667,0.265
C,50.0,C_1,30.0,300.439375,274.501666667
C,50.0,C_1,40.0,267.327291667,261.698333333
C,50.0,C_1,50.0,240.986458333,242.743333333
C,50.0,C_1,60.0,7.82395833333,8.61666666667
C,50.0,C_1,70.0,3.63583333333,3.05666666667
C,50.0,C_1,80.0,2.30875,1.40166666667
C,50.0,C_1,90.0,1.54041666667,0.706666666667
C,50.0,C_1,100.0,1.07875,0.416666666667
C,50.0,C_1,110.0,0.790208333333,0.280833333333
C,50.0,C_1,120.0,0.593125,0.19
C,60.0,C_1,30.0,301.270416667,264.089166667
C,60.0,C_1,40.0,278.7725,257.308333333
C,60.0,C_1,50.0,242.384583333,239.865
C,60.0,C_1,60.0,172.33,174.964166667
C,60.0,C_1,70.0,4.09229166667,3.1975
C,60.0,C_1,80.0,2.48833333333,1.29
C,60.0,C_1,90.0,1.62791666667,0.5825
C,60.0,C_1,100.0,1.12,0.3275
C,60.0,C_1,110.0,0.8125,0.215
C,60.0,C_1,120.0,0.604583333333,0.135
C,70.0,C_1,30.0,301.927708333,255.62
C,70.0,C_1,40.0,287.439375,252.280833333
C,70.0,C_1,50.0,253.991666667,237.843333333
