Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,Coherence_NG3_L4_SS_L4_Mean_mean,GrCaus_NG3_L4_SS_L4_Information_mean,NormError_SimErr_mean,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_mean
VT,-65.0,VT_1,-67.0,0.138048943243,0.334149737204,4.25755344063,0.0113353923782
VT,-65.0,VT_1,-64.0,0.653366093165,5.38458661829,0.713046368684,0.43477330753
VT,-65.0,VT_1,-61.0,0.315615318931,2.96914936859,1.78967159595,0.0405857484463
VT,-65.0,VT_1,-58.0,0.273409429413,2.65140764361,1.77723122632,0.0407229812446
VT,-65.0,VT_1,-55.0,0.263252464868,2.41943738013,1.72966743471,0.0380579133903
VT,-65.0,VT_1,-52.0,0.245356231157,2.22711579822,1.65685762616,0.0377283561062
VT,-65.0,VT_1,-49.0,0.227066430984,2.01582728091,1.58526771419,0.0354193190176
VT,-65.0,VT_1,-46.0,0.209454174194,1.84801553642,1.57233080485,0.0351934625407
VT,-65.0,VT_1,-43.0,0.199611455582,1.65631434506,1.49825646625,0.0314610267553
VT,-65.0,VT_1,-40.0,0.179899998217,1.30551429168,1.46045954357,0.0296124048996
VT,-65.0,VT_1,-37.0,0.162209415608,0.863941862643,1.43822870788,0.0258894355759
VT,-62.0,VT_1,-67.0,0.152747845397,0.69322124717,4.31522960571,0.0102997120387
VT,-62.0,VT_1,-64.0,0.781147422096,6.64906888536,0.669401127359,0.439731417876
VT,-62.0,VT_1,-61.0,0.344358648537,3.19720308672,1.77571582984,0.0501617136591
VT,-62.0,VT_1,-58.0,0.296199748127,2.8665254089,1.81134603482,0.0392830536298
VT,-62.0,VT_1,-55.0,0.282019481995,2.65348305792,1.79935618799,0.0393034704649
VT,-62.0,VT_1,-52.0,0.266461930263,2.49184819635,1.68901262999,0.0347436113682
VT,-62.0,VT_1,-49.0,0.238374951202,2.17702616648,1.62369270426,0.0390264834205
VT,-62.0,VT_1,-46.0,0.220008345462,1.97679172084,1.569968171,0.0368695969044
VT,-62.0,VT_1,-43.0,0.207496283647,1.80552110308,1.50898458051,0.0311498161617
VT,-62.0,VT_1,-40.0,0.180946818494,1.37581953424,1.47423256627,0.0261811892615
VT,-62.0,VT_1,-37.0,0.164309140384,0.899222801711,1.43255310922,0.0240286799762
VT,-59.0,VT_1,-67.0,0.135294756357,0.176467239523,4.55502361063,0.00263726522469
VT,-59.0,VT_1,-64.0,0.537566536259,4.79173418121,0.90684177742,0.196469667471
VT,-59.0,VT_1,-61.0,0.326030760686,3.05696496588,1.88541985211,0.0648675240358
VT,-59.0,VT_1,-58.0,0.32244491463,3.18446176453,1.75359976275,0.0418733192295
VT,-59.0,VT_1,-55.0,0.303221839156,2.939409327,1.75478683601,0.042075399694
VT,-59.0,VT_1,-52.0,0.281133802944,2.67102724143,1.68815585887,0.0372852683653
VT,-59.0,VT_1,-49.0,0.256455021578,2.41627075446,1.62653349749,0.037906749057
VT,-59.0,VT_1,-46.0,0.230870603566,2.13752442087,1.56273897978,0.0371630939766
VT,-59.0,VT_1,-43.0,0.213070273479,1.90952964337,1.50784230855,0.0326442721633
VT,-59.0,VT_1,-40.0,0.184221650918,1.41480599455,1.46871572061,0.02810839717
VT,-59.0,VT_1,-37.0,0.166466611865,0.887905170801,1.41041965597,0.0245676445862
VT,-56.0,VT_1,-67.0,0.128067134637,0.235742029427,4.72361161985,0.00541955608001
VT,-56.0,VT_1,-64.0,0.461582958985,4.50930411465,1.14619829924,0.137878656163
VT,-56.0,VT_1,-61.0,0.706468711135,6.0675468071,1.11506002327,0.254079116044
VT,-56.0,VT_1,-58.0,0.363397229186,3.35859273125,1.75082701465,0.0520770313341
VT,-56.0,VT_1,-55.0,0.327895617897,3.10943461142,1.74132956582,0.041492639748
VT,-56.0,VT_1,-52.0,0.304699854229,2.94291353705,1.69138674809,0.0436768182462
VT,-56.0,VT_1,-49.0,0.270705738398,2.57655082694,1.65185366403,0.0405706429087
VT,-56.0,VT_1,-46.0,0.241011770906,2.28251075804,1.57711143476,0.0372314888824
VT,-56.0,VT_1,-43.0,0.218094157795,1.92412669751,1.51569629483,0.0345103577831
