Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,MeanFR_NG1_L4_CI_SS_L4_mean,MeanFR_NG2_L4_CI_BC_L4_mean
gL,1.0,gL_1,0.5,2.70291666667,4.3425
gL,1.0,gL_1,1.5,2.254375,3.63666666667
gL,1.0,gL_1,2.5,1.62708333333,2.5825
gL,1.0,gL_1,3.5,1.06875,1.51666666667
gL,1.0,gL_1,4.5,0.633541666667,0.814166666666
gL,1.0,gL_1,5.5,0.376666666667,0.48
gL,1.0,gL_1,6.5,0.207083333333,0.221666666667
gL,1.0,gL_1,7.5,0.107916666667,0.0908333333333
gL,1.0,gL_1,8.5,0.0535416666667,0.0316666666667
gL,1.0,gL_1,9.5,0.0210416666667,0.01
gL,1.0,gL_1,10.5,0.00395833333333,0.0
gL,1.0,gL_1,11.5,0.000416666666667,0.0
gL,1.0,gL_1,12.5,0.0,0.0
gL,1.0,gL_1,13.5,0.0,0.0
gL,1.0,gL_1,14.5,0.0,0.0
gL,2.0,gL_1,0.5,3.76916666667,5.26666666667
gL,2.0,gL_1,1.5,2.670625,3.55666666667
gL,2.0,gL_1,2.5,1.796875,2.26333333333
gL,2.0,gL_1,3.5,1.13833333333,1.22083333333
gL,2.0,gL_1,4.5,0.658333333333,0.630833333333
gL,2.0,gL_1,5.5,0.384375,0.368333333333
gL,2.0,gL_1,6.5,0.20875,0.165833333333
gL,2.0,gL_1,7.5,0.10875,0.0625
gL,2.0,gL_1,8.5,0.0545833333333,0.0216666666667
gL,2.0,gL_1,9.5,0.0210416666667,0.00416666666666
gL,2.0,gL_1,10.5,0.00395833333333,0.0
gL,2.0,gL_1,11.5,0.000416666666667,0.0
gL,2.0,gL_1,12.5,0.0,0.0
gL,2.0,gL_1,13.5,0.0,0.0
gL,2.0,gL_1,14.5,0.0,0.0
gL,3.0,gL_1,0.5,5.87666666667,7.66333333333
gL,3.0,gL_1,1.5,3.33895833333,3.8675
gL,3.0,gL_1,2.5,2.0375,2.03
gL,3.0,gL_1,3.5,1.213125,1.01166666667
gL,3.0,gL_1,4.5,0.68,0.505833333333
gL,3.0,gL_1,5.5,0.390416666667,0.278333333333
gL,3.0,gL_1,6.5,0.214791666667,0.120833333333
gL,3.0,gL_1,7.5,0.110416666667,0.0391666666667
gL,3.0,gL_1,8.5,0.0545833333333,0.0125
gL,3.0,gL_1,9.5,0.0210416666667,0.0
gL,3.0,gL_1,10.5,0.00395833333333,0.0
gL,3.0,gL_1,11.5,0.000416666666667,0.0
gL,3.0,gL_1,12.5,0.0,0.0
gL,3.0,gL_1,13.5,0.0,0.0
gL,3.0,gL_1,14.5,0.0,0.0
gL,4.0,gL_1,0.5,11.4916666667,14.6583333333
gL,4.0,gL_1,1.5,4.67395833333,4.8875
gL,4.0,gL_1,2.5,2.30166666667,1.86666666667
gL,4.0,gL_1,3.5,1.273125,0.834166666666
gL,4.0,gL_1,4.5,0.697916666667,0.380833333333
gL,4.0,gL_1,5.5,0.3975,0.206666666667
gL,4.0,gL_1,6.5,0.219166666667,0.085
gL,4.0,gL_1,7.5,0.111666666667,0.0266666666666
gL,4.0,gL_1,8.5,0.0545833333333,0.00583333333333
gL,4.0,gL_1,9.5,0.0210416666667,0.0
gL,4.0,gL_1,10.5,0.00395833333333,0.0
gL,4.0,gL_1,11.5,0.000416666666667,0.0
gL,4.0,gL_1,12.5,0.0,0.0
gL,4.0,gL_1,13.5,0.0,0.0
gL,4.0,gL_1,14.5,0.0,0.0
gL,5.0,gL_1,0.5,17.901875,22.6841666666
gL,5.0,gL_1,1.5,7.14166666667,7.4425
gL,5.0,gL_1,2.5,2.699375,1.78416666667
gL,5.0,gL_1,3.5,1.380625,0.675833333334
gL,5.0,gL_1,4.5,0.724166666667,0.295833333333
gL,5.0,gL_1,5.5,0.404791666667,0.150833333333
gL,5.0,gL_1,6.5,0.221875,0.0549999999999
gL,5.0,gL_1,7.5,0.1125,0.0125
gL,5.0,gL_1,8.5,0.0545833333333,0.000833333333333
gL,5.0,gL_1,9.5,0.0210416666667,0.0
gL,5.0,gL_1,10.5,0.00395833333333,0.0
gL,5.0,gL_1,11.5,0.000416666666667,0.0
gL,5.0,gL_1,12.5,0.0,0.0
gL,5.0,gL_1,13.5,0.0,0.0
gL,5.0,gL_1,14.5,0.0,0.0
gL,6.0,gL_1,0.5,24.1622916667,30.6766666667
gL,6.0,gL_1,1.5,12.196875,13.37
gL,6.0,gL_1,2.5,3.32375,1.97666666667
gL,6.0,gL_1,3.5,1.46145833333,0.53
gL,6.0,gL_1,4.5,0.746875,0.2225
