Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,MeanFR_NG1_L4_CI_SS_L4_mean,MeanFR_NG2_L4_CI_BC_L4_mean
C,30.0,C_1,30.0,299.822291667,299.8975
C,30.0,C_1,40.0,290.082916667,290.2175
C,30.0,C_1,50.0,271.178333333,272.748333333
C,30.0,C_1,60.0,11.6427083333,25.1041666667
C,30.0,C_1,70.0,6.79416666667,17.4133333333
C,30.0,C_1,80.0,4.94916666667,13.8716666667
C,30.0,C_1,90.0,3.85875,11.535
C,30.0,C_1,100.0,3.26666666667,9.7475
C,30.0,C_1,110.0,2.79,8.47333333334
C,30.0,C_1,120.0,2.45083333333,7.2625
C,40.0,C_1,30.0,301.51375,301.5625
C,40.0,C_1,40.0,289.326458333,289.321666667
C,40.0,C_1,50.0,279.123125,279.325
C,40.0,C_1,60.0,200.238541667,207.114166667
C,40.0,C_1,70.0,11.1997916667,21.2591666667
C,40.0,C_1,80.0,6.46791666667,14.275
C,40.0,C_1,90.0,5.08041666667,11.4266666667
C,40.0,C_1,100.0,4.05354166667,9.1975
C,40.0,C_1,110.0,3.48125,7.70833333333
C,40.0,C_1,120.0,2.97166666667,6.44333333333
C,50.0,C_1,30.0,308.555,302.099166667
C,50.0,C_1,40.0,288.779166667,288.9375
C,50.0,C_1,50.0,278.039583333,278.3125
C,50.0,C_1,60.0,267.50125,267.9375
C,50.0,C_1,70.0,57.64,68.64
C,50.0,C_1,80.0,9.79541666667,17.0016666667
C,50.0,C_1,90.0,6.63020833333,11.9883333333
C,50.0,C_1,100.0,4.96958333333,9.21916666666
C,50.0,C_1,110.0,4.12229166667,7.51333333333
C,50.0,C_1,120.0,3.46479166667,6.00833333333
C,60.0,C_1,30.0,310.57625,292.764166667
C,60.0,C_1,40.0,289.978333333,287.34
C,60.0,C_1,50.0,276.827708333,277.175833333
C,60.0,C_1,60.0,265.654166667,266.3475
C,60.0,C_1,70.0,247.73875,249.299166667
C,60.0,C_1,80.0,14.680625,23.0033333333
C,60.0,C_1,90.0,8.86666666667,14.2425
C,60.0,C_1,100.0,6.24125,10.0416666667
C,60.0,C_1,110.0,4.83020833333,7.66666666666
C,60.0,C_1,120.0,3.868125,5.87666666667
C,70.0,C_1,30.0,310.940416667,285.931666667
C,70.0,C_1,40.0,301.366666667,286.708333333
C,70.0,C_1,50.0,274.346458333,274.114166666
C,70.0,C_1,60.0,263.716041667,264.5
C,70.0,C_1,70.0,252.911041667,254.054166667
C,70.0,C_1,80.0,215.239166667,218.38
C,70.0,C_1,90.0,12.0547916667,17.8216666667
C,70.0,C_1,100.0,7.505625,11.1033333333
C,70.0,C_1,110.0,5.59354166667,8.00916666667
C,70.0,C_1,120.0,4.38458333333,5.98
C,80.0,C_1,30.0,310.9375,279.391666667
C,80.0,C_1,40.0,302.523541667,278.8625
C,80.0,C_1,50.0,282.379166667,273.095
C,80.0,C_1,60.0,259.593541667,260.7675
C,80.0,C_1,70.0,250.761458333,251.983333333
C,80.0,C_1,80.0,236.378333333,238.4475
C,80.0,C_1,90.0,93.4414583333,99.1683333333
C,80.0,C_1,100.0,9.27895833334,12.99
C,80.0,C_1,110.0,6.36041666667,8.5525
C,80.0,C_1,120.0,5.079375,6.51333333333
C,90.0,C_1,30.0,311.305833333,273.32
C,90.0,C_1,40.0,302.802916667,272.1575
C,90.0,C_1,50.0,289.052708333,269.340833333
C,90.0,C_1,60.0,263.470208333,258.3375
C,90.0,C_1,70.0,246.991875,248.638333333
C,90.0,C_1,80.0,237.43875,239.256666667
C,90.0,C_1,90.0,211.414583333,214.905
C,90.0,C_1,100.0,12.4725,16.6958333333
C,90.0,C_1,110.0,7.305,9.48
C,90.0,C_1,120.0,5.48270833333,6.685
C,100.0,C_1,30.0,311.312916667,267.813333333
C,100.0,C_1,40.0,302.819375,266.473333334
C,100.0,C_1,50.0,294.044166667,265.774166667
C,100.0,C_1,60.0,271.380416667,256.760833333
C,100.0,C_1,70.0,246.518958333,244.820833333
C,100.0,C_1,80.0,233.722708333,235.915
C,100.0,C_1,90.0,220.7375,223.6025
C,100.0,C_1,100.0,132.559791667,138.209166667
C,100.0,C_1,110.0,7.68104166667,9.68749999999
C,100.0,C_1,120.0,6.255,7.43583333334
C,110.0,C_1,30.0,311.623958333,263.036666667
C,110.0,C_1,40.0,302.947708333,261.193333333
