Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,Coherence_NG3_L4_SS_L4_Mean_mean,GrCaus_NG3_L4_SS_L4_Information_mean,NormError_SimErr_mean,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_mean
EL,-85.0,EL_1,-85.0,0.177334527269,1.14751731836,1.48917809418,0.0297514217841
EL,-85.0,EL_1,-80.0,0.258811111799,2.42625010844,1.59498556199,0.0375818916196
EL,-85.0,EL_1,-75.0,0.5415102685,4.9664054157,1.31310723996,0.226134352008
EL,-85.0,EL_1,-70.0,0.67707208489,5.99378275188,1.29602438962,0.176158126142
EL,-85.0,EL_1,-65.0,0.727089702422,6.49331926668,1.35537039303,0.138416096389
EL,-85.0,EL_1,-60.0,0.763354311107,6.70421002806,1.37547952738,0.14670290627
EL,-85.0,EL_1,-55.0,0.758119489324,6.89265425893,1.344326754,0.146810231175
EL,-85.0,EL_1,-50.0,0.766185573723,7.06276218572,1.31817469932,0.167405690941
EL,-85.0,EL_1,-45.0,0.812146058962,7.4729877639,1.30884935029,0.151235701174
EL,-85.0,EL_1,-40.0,0.820873793657,7.70405853957,1.29256050058,0.161203614631
EL,-85.0,EL_1,-35.0,0.843048324845,7.92534284838,1.26327870355,0.167685805806
EL,-85.0,EL_1,-30.0,0.855401396864,8.00950678617,1.27085899012,0.162806017496
EL,-85.0,EL_1,-25.0,0.891855389419,8.47184602714,1.25555447833,0.159748539779
EL,-80.0,EL_1,-85.0,0.176822722178,1.16108685371,1.49859157856,0.0311326578217
EL,-80.0,EL_1,-80.0,0.256734859317,2.42220009995,1.60699803989,0.0382826865101
EL,-80.0,EL_1,-75.0,0.380941570177,3.45271633655,1.59410679028,0.0655888288246
EL,-80.0,EL_1,-70.0,0.641169675901,5.73527949307,1.3050044766,0.192248525032
EL,-80.0,EL_1,-65.0,0.753321451427,6.50769691966,1.38106734464,0.149196771223
EL,-80.0,EL_1,-60.0,0.75307510426,6.81652711909,1.38280204358,0.134738658638
EL,-80.0,EL_1,-55.0,0.761430768405,6.99315929918,1.34287581817,0.14572883798
EL,-80.0,EL_1,-50.0,0.787539051345,7.31405266775,1.32239460838,0.155762631478
EL,-80.0,EL_1,-45.0,0.811736921883,7.48469256495,1.32188302355,0.159466473331
EL,-80.0,EL_1,-40.0,0.838245604287,7.79454658022,1.31470639204,0.165905690825
EL,-80.0,EL_1,-35.0,0.858411946307,8.00728741932,1.28067775517,0.174772529003
EL,-80.0,EL_1,-30.0,0.866604472807,8.17415771817,1.27213623525,0.17201417211
EL,-80.0,EL_1,-25.0,0.871164746139,8.24093031845,1.2586640407,0.171334104441
EL,-75.0,EL_1,-85.0,0.17520873225,1.12633928876,1.490431027,0.0305142235156
EL,-75.0,EL_1,-80.0,0.250981442514,2.38227692071,1.61787606342,0.0382663219255
EL,-75.0,EL_1,-75.0,0.354716795462,3.35242279402,1.75553400771,0.0419503788172
EL,-75.0,EL_1,-70.0,0.584172190479,5.40413944432,1.28332546544,0.217518298934
EL,-75.0,EL_1,-65.0,0.739172006566,6.53817807371,1.3966064454,0.138058020896
EL,-75.0,EL_1,-60.0,0.753447197692,6.83838950175,1.36673455894,0.137075176438
EL,-75.0,EL_1,-55.0,0.766701733671,7.06333626704,1.35364008923,0.145864417661
EL,-75.0,EL_1,-50.0,0.810268311249,7.44268916554,1.32944462297,0.150149347282
EL,-75.0,EL_1,-45.0,0.8115157605,7.42600460256,1.32264650282,0.158609218363
EL,-75.0,EL_1,-40.0,0.821428542132,7.64275055232,1.29580363809,0.168370409884
EL,-75.0,EL_1,-35.0,0.878477029526,8.2029561039,1.28696840678,0.181224501785
EL,-75.0,EL_1,-30.0,0.884490871718,8.27307938134,1.27680663254,0.184853636863
EL,-75.0,EL_1,-25.0,0.869868783671,8.27099793979,1.24315153553,0.177384930754
EL,-70.0,EL_1,-85.0,0.172667093312,1.05316309308,1.48401717476,0.0314038395236
EL,-70.0,EL_1,-80.0,0.237857983083,2.2109686699,1.62452150688,0.0387849236609
EL,-70.0,EL_1,-75.0,0.343874791791,3.26757348244,1.78777020758,0.0438886051844
EL,-70.0,EL_1,-70.0,0.455260456441,4.12570700654,1.58856372323,0.116939295215
EL,-70.0,EL_1,-65.0,0.726057161646,6.29545812175,1.38067546251,0.127424000535
EL,-70.0,EL_1,-60.0,0.769967241562,6.90102570072,1.38128738483,0.131487785457
EL,-70.0,EL_1,-55.0,0.775484424099,7.09370186013,1.35491146538,0.151773039966
EL,-70.0,EL_1,-50.0,0.806901435858,7.43517483443,1.33610904455,0.154349182594
EL,-70.0,EL_1,-45.0,0.809904564316,7.43354030651,1.32229642865,0.166377375653
EL,-70.0,EL_1,-40.0,0.81079874581,7.58236845783,1.29814837918,0.171999030192
EL,-70.0,EL_1,-35.0,0.843378327909,7.85686695599,1.29682821292,0.170807407852
EL,-70.0,EL_1,-30.0,0.86407368435,8.08692856264,1.25533679523,0.171759663045
EL,-70.0,EL_1,-25.0,0.864641177039,8.16888560252,1.24699959826,0.187449008584
EL,-65.0,EL_1,-85.0,0.170061692407,1.01534201065,1.47364095884,0.0292645231141
EL,-65.0,EL_1,-80.0,0.225360380264,2.06410296137,1.5984596815,0.0369322971921
EL,-65.0,EL_1,-75.0,0.299109247184,2.86422180708,1.7354569479,0.042398238635
EL,-65.0,EL_1,-70.0,0.388733231554,3.75214754909,1.76946997514,0.0507335317696
EL,-65.0,EL_1,-65.0,0.666954891815,5.73302671791,1.37506741409,0.126038689024
EL,-65.0,EL_1,-60.0,0.755575006947,6.89356289081,1.39690824939,0.135203641864
EL,-65.0,EL_1,-55.0,0.762788617609,7.01105063165,1.35091621086,0.142976295655
EL,-65.0,EL_1,-50.0,0.805761875276,7.35770922212,1.34840812617,0.154706924905
EL,-65.0,EL_1,-45.0,0.809499690439,7.59518829752,1.30405854232,0.161735900986
EL,-65.0,EL_1,-40.0,0.812511597964,7.51393163872,1.2924421951,0.169484937359
EL,-65.0,EL_1,-35.0,0.828894212115,7.80490928355,1.28569391314,0.182072046244
EL,-65.0,EL_1,-30.0,0.862314688359,8.0194779368,1.26838981896,0.185592562491
EL,-65.0,EL_1,-25.0,0.867912658869,8.159477547,1.25850415596,0.189343967974
EL,-60.0,EL_1,-85.0,0.167802299924,0.938251654993,1.46424421253,0.0268123238866
EL,-60.0,EL_1,-80.0,0.213574575213,1.83028052147,1.5545869061,0.0374646671781
EL,-60.0,EL_1,-75.0,0.2582610645,2.41502434209,1.68680223673,0.0404587394408
EL,-60.0,EL_1,-70.0,0.327993898671,3.03703768683,1.83518744439,0.0435924625219
EL,-60.0,EL_1,-65.0,0.464597858332,4.1880306068,1.54292557008,0.154552724409
EL,-60.0,EL_1,-60.0,0.756138658224,6.77212155505,1.36528638304,0.127606313465
EL,-60.0,EL_1,-55.0,0.791435173695,7.24310542066,1.35399868969,0.144160514515
EL,-60.0,EL_1,-50.0,0.803325255113,7.35535075377,1.34654484478,0.150687247523
EL,-60.0,EL_1,-45.0,0.808135391946,7.407841102,1.33179388091,0.148078086464
EL,-60.0,EL_1,-40.0,0.811005234519,7.56736301652,1.30676559502,0.171591828826
EL,-60.0,EL_1,-35.0,0.846142469382,7.95625711951,1.29513815459,0.183065605101
EL,-60.0,EL_1,-30.0,0.862088407186,8.08907342923,1.26225731266,0.18013134162
EL,-60.0,EL_1,-25.0,0.866097694007,8.20809499959,1.24924845632,0.196398422089
EL,-55.0,EL_1,-85.0,0.163929249444,0.754537752444,1.48436092544,0.0244096480344
EL,-55.0,EL_1,-80.0,0.193450414996,1.53201636916,1.53155030021,0.0295763874337
EL,-55.0,EL_1,-75.0,0.224137021476,1.90712985838,1.66705510379,0.0361119414112
EL,-55.0,EL_1,-70.0,0.272164920208,2.63095200772,1.80157790486,0.0408333444182
EL,-55.0,EL_1,-65.0,0.384323852832,3.56806001791,1.82972821253,0.0495523929472
EL,-55.0,EL_1,-60.0,0.73772628524,6.55737340499,1.35186314325,0.117217999379
EL,-55.0,EL_1,-55.0,0.756209920093,7.01883834988,1.3575842641,0.141393349613
EL,-55.0,EL_1,-50.0,0.805494452514,7.4136743384,1.33806825491,0.151915801152
EL,-55.0,EL_1,-45.0,0.807356672297,7.34706909936,1.32239398234,0.161049313686
EL,-55.0,EL_1,-40.0,0.829256528615,7.60113318559,1.30443413907,0.173379243499
EL,-55.0,EL_1,-35.0,0.856817254507,7.9497893337,1.30710837657,0.173169191022
EL,-55.0,EL_1,-30.0,0.861474272052,8.0766971325,1.26814712492,0.181215678717
EL,-55.0,EL_1,-25.0,0.865434766435,8.15864020983,1.25266528446,0.191230193175
EL,-50.0,EL_1,-85.0,0.154531523171,0.15110149995,1.4968114947,0.019335057098
EL,-50.0,EL_1,-80.0,0.171205301049,0.910228500205,1.47332038421,0.0251027158204
EL,-50.0,EL_1,-75.0,0.205010154561,1.65985139343,1.54149401836,0.0338513876103
EL,-50.0,EL_1,-70.0,0.253060008985,2.29323754839,1.74560979623,0.0371236399306
EL,-50.0,EL_1,-65.0,0.333372508719,3.14186257792,1.90367245111,0.0399433092201
EL,-50.0,EL_1,-60.0,0.521026340659,4.54499646727,1.49153085717,0.116376931728
EL,-50.0,EL_1,-55.0,0.792242713833,7.18031917912,1.36927230727,0.133940207076
EL,-50.0,EL_1,-50.0,0.802274048842,7.32417226271,1.3307003232,0.138551258292
EL,-50.0,EL_1,-45.0,0.822262052757,7.53334467191,1.33276350731,0.166097654705
EL,-50.0,EL_1,-40.0,0.840331513725,7.71184372182,1.31079626421,0.178749977802
EL,-50.0,EL_1,-35.0,0.858698326733,8.00269964662,1.29749988189,0.17522911739
EL,-50.0,EL_1,-30.0,0.860879607868,7.94059208033,1.27278661451,0.182011099408
EL,-50.0,EL_1,-25.0,0.882178956756,8.26039718401,1.26347661115,0.189435574155
EL,-45.0,EL_1,-85.0,0.143178679544,-0.144773355257,1.56297929053,0.0142106714381
EL,-45.0,EL_1,-80.0,0.15699789904,0.477620177902,1.45742683562,0.0200118403741
EL,-45.0,EL_1,-75.0,0.18217271008,1.1257462379,1.51661694623,0.0296235604714
EL,-45.0,EL_1,-70.0,0.228393870189,1.99468472452,1.63627436081,0.0322762695534
EL,-45.0,EL_1,-65.0,0.29419109874,2.85747449469,1.86780436616,0.0399257261704
EL,-45.0,EL_1,-60.0,0.416658839506,3.85951623027,1.81997488929,0.0612144980599
EL,-45.0,EL_1,-55.0,0.800058752315,7.26894259489,1.36406578096,0.132416566628
EL,-45.0,EL_1,-50.0,0.822104621293,7.43496412095,1.34913657067,0.145658615011
EL,-45.0,EL_1,-45.0,0.837916451403,7.7200602941,1.33379734353,0.151797205704
EL,-45.0,EL_1,-40.0,0.828085960846,7.66030001871,1.30465063011,0.178168370624
EL,-45.0,EL_1,-35.0,0.85512484966,8.00734111637,1.3013145914,0.182016529688
EL,-45.0,EL_1,-30.0,0.859875357821,8.05614171886,1.27659455577,0.181968621535
EL,-45.0,EL_1,-25.0,0.861134461714,8.05789115311,1.25033264724,0.196217840431
EL,-40.0,EL_1,-85.0,0.146153339647,-0.167598872174,1.60136536624,0.0117415348486
EL,-40.0,EL_1,-80.0,0.143605770903,0.194896081722,1.52780615133,0.019566125966
EL,-40.0,EL_1,-75.0,0.166409754099,0.769742615496,1.48750044541,0.0286441032419
EL,-40.0,EL_1,-70.0,0.211530301384,1.77340678567,1.6226347632,0.0323748795068
EL,-40.0,EL_1,-65.0,0.252778432123,2.45064674989,1.74264721295,0.0352674941774
EL,-40.0,EL_1,-60.0,0.35090676803,3.36806987538,1.91776129576,0.0435711045234
EL,-40.0,EL_1,-55.0,0.617431880149,5.38555532707,1.36485362578,0.116782225794
EL,-40.0,EL_1,-50.0,0.804539850645,7.26597000127,1.33695651246,0.151860031074
EL,-40.0,EL_1,-45.0,0.808322467341,7.37899409757,1.32867877206,0.155917350578
EL,-40.0,EL_1,-40.0,0.841017556766,7.85708167868,1.31917005359,0.162026034438
EL,-40.0,EL_1,-35.0,0.855898130695,7.87088076869,1.3012699382,0.173150770461
EL,-40.0,EL_1,-30.0,0.861209814532,7.99721540958,1.27201549052,0.187559763751
EL,-40.0,EL_1,-25.0,0.882171810266,8.2342431665,1.25501252916,0.192832038173
