Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,Coherence_NG3_L4_SS_L4_Mean_mean,GrCaus_NG3_L4_SS_L4_Information_mean,NormError_SimErr_mean,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_mean
VT,-65.0,VT_1,-67.0,0.812794205284,7.70423818161,1.1729413857,0.308815195829
VT,-65.0,VT_1,-64.0,0.865771207095,8.37199168485,0.961518458238,0.43914804673
VT,-65.0,VT_1,-61.0,0.434913359092,4.06497195754,1.61833960506,0.0779372242197
VT,-65.0,VT_1,-58.0,0.364451914309,3.5131264181,1.76378110455,0.0455229622961
VT,-65.0,VT_1,-55.0,0.318279237124,2.96308670863,1.77797136494,0.0455607079736
VT,-65.0,VT_1,-52.0,0.264732033285,2.54717100201,1.71226653758,0.0369009825075
VT,-65.0,VT_1,-49.0,0.231508215519,2.09670154548,1.62226603906,0.0357346065225
VT,-65.0,VT_1,-46.0,0.195538372164,1.61258833367,1.53390243361,0.0303011024737
VT,-65.0,VT_1,-43.0,0.169972372206,0.976524991112,1.47097791468,0.0298123686193
VT,-65.0,VT_1,-40.0,0.159421507634,0.560956496275,1.44375290342,0.0229215961911
VT,-65.0,VT_1,-37.0,0.14903709015,0.116674711927,1.51599580982,0.0182364261201
VT,-62.0,VT_1,-67.0,0.740851076221,6.45037957023,0.819550783691,0.465053781001
VT,-62.0,VT_1,-64.0,0.891586249019,8.8029338745,0.999758128327,0.422912666458
VT,-62.0,VT_1,-61.0,0.709033870344,6.64575518552,1.23519676202,0.152483558046
VT,-62.0,VT_1,-58.0,0.398727733676,3.6990000166,1.73022471896,0.0584741808909
VT,-62.0,VT_1,-55.0,0.351209780468,3.25289571502,1.79788344672,0.0413779031193
VT,-62.0,VT_1,-52.0,0.281800532707,2.67958874199,1.72535257335,0.040897321341
VT,-62.0,VT_1,-49.0,0.236199591583,2.22412585339,1.65433446387,0.035609936925
VT,-62.0,VT_1,-46.0,0.203375402756,1.69034248674,1.53308044981,0.0319974818045
VT,-62.0,VT_1,-43.0,0.170380455875,1.05237231254,1.47103569818,0.0286869079469
VT,-62.0,VT_1,-40.0,0.159603620887,0.565121744343,1.44783926932,0.023452260911
VT,-62.0,VT_1,-37.0,0.149058625056,0.131902844332,1.52798338455,0.017401074701
VT,-59.0,VT_1,-67.0,0.708063611624,5.73623629892,0.699183555489,0.406104732803
VT,-59.0,VT_1,-64.0,0.899840975612,8.35457213437,1.43644797644,0.0598699845749
VT,-59.0,VT_1,-61.0,0.855582517846,8.12245488623,1.14766544418,0.294332112889
VT,-59.0,VT_1,-58.0,0.454845184088,4.13940345101,1.62577045547,0.101489697082
VT,-59.0,VT_1,-55.0,0.375187824291,3.45783095183,1.78582924337,0.044335836471
VT,-59.0,VT_1,-52.0,0.299537744367,2.91335376211,1.75512709504,0.0415996521609
VT,-59.0,VT_1,-49.0,0.241693890947,2.29413077404,1.66224685887,0.0349233451394
VT,-59.0,VT_1,-46.0,0.2055492401,1.71248676065,1.54011363864,0.0315040359854
VT,-59.0,VT_1,-43.0,0.171044849889,1.04825851832,1.46954124592,0.0304377489333
VT,-59.0,VT_1,-40.0,0.161593852725,0.608910084523,1.44895931277,0.0253552282631
VT,-59.0,VT_1,-37.0,0.14972216846,0.146740399384,1.53329242356,0.0188147191332
VT,-56.0,VT_1,-67.0,0.649877256643,5.24622807884,0.772354324612,0.309613946326
VT,-56.0,VT_1,-64.0,0.84892404883,7.41533180884,1.43983465208,0.155469244135
VT,-56.0,VT_1,-61.0,0.899906649678,9.38507120005,1.31960218049,0.0784282323876
VT,-56.0,VT_1,-58.0,0.754632619065,6.90881732359,1.32772147238,0.147692221703
VT,-56.0,VT_1,-55.0,0.389091702522,3.73866289385,1.71808216274,0.0531640178916
VT,-56.0,VT_1,-52.0,0.312907808412,3.06286285616,1.73486919189,0.0392634047534
VT,-56.0,VT_1,-49.0,0.253961831782,2.49364018861,1.6729118859,0.0384032093857
VT,-56.0,VT_1,-46.0,0.207240179181,1.74221066714,1.5353821588,0.0323154120036
VT,-56.0,VT_1,-43.0,0.172376550252,1.07717054545,1.47800540753,0.0301496091013
VT,-56.0,VT_1,-40.0,0.161653528486,0.637529913665,1.45617669543,0.0255142823423
VT,-56.0,VT_1,-37.0,0.149153030684,0.167273918882,1.54618749158,0.0200290283787
VT,-53.0,VT_1,-67.0,0.599728938801,5.15430647332,0.811230210869,0.2635186504
VT,-53.0,VT_1,-64.0,0.732270756828,6.46398433874,1.40990115408,0.260026812323
VT,-53.0,VT_1,-61.0,0.840855950069,8.28864565745,1.50760518993,0.0431731955575
VT,-53.0,VT_1,-58.0,0.854994663179,8.4039154646,1.2654194574,0.111245523191
VT,-53.0,VT_1,-55.0,0.40710402565,3.7630514006,1.643131506,0.0815408402529
VT,-53.0,VT_1,-52.0,0.335748697956,3.28316592169,1.76044601545,0.0414665085016
VT,-53.0,VT_1,-49.0,0.263773282203,2.56836024807,1.68040101013,0.0387353857509
VT,-53.0,VT_1,-46.0,0.20880020644,1.82005280039,1.5402220953,0.0315226788536
VT,-53.0,VT_1,-43.0,0.174121041739,1.1014685031,1.48757416813,0.0284788638236
VT,-53.0,VT_1,-40.0,0.161745351379,0.630590056417,1.4585168111,0.025178729102
