Dimension-1 Parameter,Dimension-1 Value,Coherence_NG3_L4_SS_L4_Mean_accuracy,GrCaus_NG3_L4_SS_L4_Information_accuracy,NormError_SimErr_accuracy,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_accuracy,Coherence_NG3_L4_SS_L4_Mean_p,GrCaus_NG3_L4_SS_L4_Information_p,NormError_SimErr_p,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_p,Coherence_NG3_L4_SS_L4_Mean_conf_min,GrCaus_NG3_L4_SS_L4_Information_conf_min,NormError_SimErr_conf_min,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_conf_min,Coherence_NG3_L4_SS_L4_Mean_conf_max,GrCaus_NG3_L4_SS_L4_Information_conf_max,NormError_SimErr_conf_max,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_conf_max
delay_CI_CI,0.5,1.0,1.0,0.7,0.833333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.506,0.653,1.0,1.0,0.853,0.944
delay_CI_CI,0.75,1.0,1.0,0.7,0.733333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.506,0.541,1.0,1.0,0.853,0.877
delay_CI_CI,1.0,1.0,1.0,0.7,0.9,0.0,0.0,0.0,0.0,0.884,0.884,0.506,0.735,1.0,1.0,0.853,0.979
delay_CI_CI,1.25,1.0,1.0,0.7,0.866666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.506,0.693,1.0,1.0,0.853,0.962
delay_CI_CI,1.5,1.0,1.0,0.766666666667,0.866666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.577,0.693,1.0,1.0,0.901,0.962
delay_CI_CI,1.75,1.0,1.0,0.733333333333,0.833333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.541,0.653,1.0,1.0,0.877,0.944
delay_CI_CI,2.0,1.0,1.0,0.733333333333,0.866666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.541,0.693,1.0,1.0,0.877,0.962
delay_CI_CI,2.25,1.0,1.0,0.633333333333,0.866666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.439,0.693,1.0,1.0,0.801,0.962
delay_CI_CI,2.5,1.0,1.0,0.666666666667,0.9,0.0,0.0,0.0,0.0,0.884,0.884,0.472,0.735,1.0,1.0,0.827,0.979
delay_CI_CI,2.75,1.0,1.0,0.733333333333,0.866666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.541,0.693,1.0,1.0,0.877,0.962
