Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,Coherence_NG3_L4_SS_L4_Mean_mean,GrCaus_NG3_L4_SS_L4_Information_mean,NormError_SimErr_mean,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_mean
EL,-85.0,EL_1,-85.0,0.184685221501,1.31545549958,1.02030407777,0.0366512603466
EL,-85.0,EL_1,-80.0,0.27283617172,2.54250788219,0.948398331722,0.0564112438087
EL,-85.0,EL_1,-75.0,0.567482086762,5.13990358827,1.04162376732,0.19219446067
EL,-85.0,EL_1,-70.0,0.747700124092,6.38636948574,0.971202633004,0.197537449835
EL,-85.0,EL_1,-65.0,0.849072755096,7.06274334031,0.665280087188,0.332095288992
EL,-85.0,EL_1,-60.0,0.888791070686,7.3697729603,0.607504982601,0.52586779883
EL,-85.0,EL_1,-55.0,0.899612745969,7.55338151378,0.575837675228,0.601434544465
EL,-85.0,EL_1,-50.0,0.91157131903,7.70243160285,0.563150268965,0.651600383359
EL,-85.0,EL_1,-45.0,0.916111488925,7.81430654386,0.561168161559,0.658549302642
EL,-85.0,EL_1,-40.0,0.925860397437,7.89419838219,0.557605425128,0.707990009361
EL,-85.0,EL_1,-35.0,0.931218354147,8.10008894337,0.556803605892,0.732957717051
EL,-85.0,EL_1,-30.0,0.935036826316,7.97093098511,0.558050786652,0.733326862343
EL,-85.0,EL_1,-25.0,0.939175801932,8.0092510367,0.558080061621,0.761006373163
EL,-80.0,EL_1,-85.0,0.183923633881,1.30623216546,1.01832745532,0.0369132903111
EL,-80.0,EL_1,-80.0,0.269596007971,2.52621126789,0.957023266806,0.0556125115935
EL,-80.0,EL_1,-75.0,0.402988198817,3.51382940944,0.812225367504,0.137276260754
EL,-80.0,EL_1,-70.0,0.695712847835,6.02524949202,1.08156447856,0.170165024271
EL,-80.0,EL_1,-65.0,0.854964547412,7.15413430665,0.676555418727,0.340481914489
EL,-80.0,EL_1,-60.0,0.893997341336,7.46871715289,0.588704229568,0.542172837108
EL,-80.0,EL_1,-55.0,0.898842229544,7.62027689205,0.566506315617,0.620628354213
EL,-80.0,EL_1,-50.0,0.910854762752,7.73299824193,0.556701316256,0.637500434152
EL,-80.0,EL_1,-45.0,0.918497659106,7.73339237342,0.559214584944,0.684256257379
EL,-80.0,EL_1,-40.0,0.923735513268,7.85481231857,0.556951803096,0.713081024555
EL,-80.0,EL_1,-35.0,0.928793356923,7.94794223118,0.556406843648,0.723598082601
EL,-80.0,EL_1,-30.0,0.931705812702,7.98466344422,0.558758637203,0.74184235927
EL,-80.0,EL_1,-25.0,0.937136450808,7.98036629088,0.555165513362,0.748644705741
EL,-75.0,EL_1,-85.0,0.182293742435,1.24937048504,1.01789705519,0.0359473036281
EL,-75.0,EL_1,-80.0,0.26239194231,2.51145285063,0.961711568378,0.0499446310411
EL,-75.0,EL_1,-75.0,0.376993721737,3.30763820639,0.863790699452,0.0905464945021
EL,-75.0,EL_1,-70.0,0.623959156996,5.63662030739,1.03604338333,0.179125452423
EL,-75.0,EL_1,-65.0,0.866100106938,7.10296975638,0.611202312407,0.392097192382
EL,-75.0,EL_1,-60.0,0.885905591036,7.48715075701,0.568912152924,0.52136762541
EL,-75.0,EL_1,-55.0,0.899956011891,7.53117381787,0.556637814358,0.612819427373
EL,-75.0,EL_1,-50.0,0.910837117702,7.64328813677,0.54882337702,0.66592704961
EL,-75.0,EL_1,-45.0,0.919418003193,7.7819408982,0.552552930444,0.680277706068
EL,-75.0,EL_1,-40.0,0.92338375139,7.8018490207,0.551141002128,0.718576850421
EL,-75.0,EL_1,-35.0,0.927901873683,7.9769690413,0.551299881363,0.721885688544
EL,-75.0,EL_1,-30.0,0.931223607173,7.97125315306,0.555084963509,0.758316446563
EL,-75.0,EL_1,-25.0,0.936386711947,7.94196153959,0.555415030798,0.766282826654
EL,-70.0,EL_1,-85.0,0.179291414281,1.15618374631,1.01677098272,0.03095210931
EL,-70.0,EL_1,-80.0,0.248676046893,2.31978373115,0.971547325551,0.0481267016271
EL,-70.0,EL_1,-75.0,0.358645289108,3.17705214349,0.905953208675,0.0745813680638
EL,-70.0,EL_1,-70.0,0.475178880183,4.14369728372,0.762396336885,0.206806001039
EL,-70.0,EL_1,-65.0,0.839664423716,6.921169061,0.645493165736,0.330352223355
EL,-70.0,EL_1,-60.0,0.896337941286,7.47457269444,0.547420396791,0.579632876588
EL,-70.0,EL_1,-55.0,0.905971805127,7.6956133656,0.547514922322,0.64526599432
EL,-70.0,EL_1,-50.0,0.912767497935,7.6112960535,0.548477388102,0.667655802404
EL,-70.0,EL_1,-45.0,0.916847585596,7.83183537013,0.546585479893,0.70716896084
EL,-70.0,EL_1,-40.0,0.921930256264,7.91586430041,0.550531133929,0.720515661545
EL,-70.0,EL_1,-35.0,0.92599124365,7.86415884369,0.554678737683,0.730484908857
EL,-70.0,EL_1,-30.0,0.930964279369,7.85311158437,0.551878562703,0.757902600777
EL,-70.0,EL_1,-25.0,0.932949841059,7.83925338463,0.557366548206,0.758948558333
EL,-65.0,EL_1,-85.0,0.17580723417,1.10595386809,1.01872513328,0.0309607706587
EL,-65.0,EL_1,-80.0,0.235536724013,2.14114724535,0.978882452591,0.0432757174103
EL,-65.0,EL_1,-75.0,0.31286115257,2.82566444498,0.926802374463,0.0640694108734
EL,-65.0,EL_1,-70.0,0.404888414551,3.72811546259,0.845597944307,0.106607028297
EL,-65.0,EL_1,-65.0,0.778613631195,6.31221544665,0.687029967487,0.310719010711
EL,-65.0,EL_1,-60.0,0.892137396317,7.49671585865,0.539335213709,0.583241382597
EL,-65.0,EL_1,-55.0,0.908772269278,7.61409912608,0.534665711492,0.627097954485
EL,-65.0,EL_1,-50.0,0.912319820217,7.6394803126,0.543350792446,0.670323937293
EL,-65.0,EL_1,-45.0,0.917259167717,7.82882471715,0.542339132187,0.699807207603
EL,-65.0,EL_1,-40.0,0.922104833938,7.92320560006,0.546940599335,0.714831733388
EL,-65.0,EL_1,-35.0,0.927084462399,7.87541732385,0.550390558727,0.751802443871
EL,-65.0,EL_1,-30.0,0.929351986526,7.83575253806,0.555631557933,0.749079323789
EL,-65.0,EL_1,-25.0,0.934126443441,7.82279184784,0.555016132309,0.773775690018
EL,-60.0,EL_1,-85.0,0.173494615153,1.04543398085,1.01434238281,0.0300304835317
EL,-60.0,EL_1,-80.0,0.223811248183,1.92515271884,0.990546242433,0.0406717059031
EL,-60.0,EL_1,-75.0,0.270446108739,2.43972227851,0.951591591714,0.0560555246834
EL,-60.0,EL_1,-70.0,0.341727019058,3.11563525056,0.911868098935,0.0812806827405
EL,-60.0,EL_1,-65.0,0.484345150155,4.34870757464,0.772765387944,0.219824976401
EL,-60.0,EL_1,-60.0,0.89313617338,7.43926462331,0.549888364578,0.53047212545
EL,-60.0,EL_1,-55.0,0.907237951454,7.70074677465,0.537672876982,0.648509673314
EL,-60.0,EL_1,-50.0,0.912193271726,7.68254610627,0.538740855928,0.685846183224
EL,-60.0,EL_1,-45.0,0.917740557462,7.7432540492,0.540343738687,0.707338608633
EL,-60.0,EL_1,-40.0,0.922244451662,7.81384049188,0.545897146354,0.717873627877
EL,-60.0,EL_1,-35.0,0.925965626098,7.82443267681,0.547664237971,0.734506651556
EL,-60.0,EL_1,-30.0,0.929595832041,7.89990877831,0.548796906956,0.748998432669
EL,-60.0,EL_1,-25.0,0.932656705284,7.82940463298,0.553673798132,0.767081258459
EL,-55.0,EL_1,-85.0,0.168584174207,0.967015165956,1.0344091471,0.0310297329323
EL,-55.0,EL_1,-80.0,0.202104601471,1.61985602848,0.996175990195,0.0374038946554
EL,-55.0,EL_1,-75.0,0.234303414519,1.95179135211,0.975193654257,0.0469329089724
EL,-55.0,EL_1,-70.0,0.283489248716,2.58765328604,0.951211898341,0.0692195975115
EL,-55.0,EL_1,-65.0,0.402887529912,3.57395423905,0.84558545536,0.110476418124
EL,-55.0,EL_1,-60.0,0.852069735232,6.96551207295,0.601744546664,0.417194187446
EL,-55.0,EL_1,-55.0,0.90798624046,7.63289336974,0.529746727348,0.668463319631
EL,-55.0,EL_1,-50.0,0.911935881239,7.69014748095,0.537238291497,0.697188972393
EL,-55.0,EL_1,-45.0,0.918795829244,7.7423533013,0.54061048707,0.700198781224
EL,-55.0,EL_1,-40.0,0.919527946157,7.7612412454,0.543978057164,0.721329756222
EL,-55.0,EL_1,-35.0,0.923979069591,7.73587920487,0.549748732695,0.737024051881
EL,-55.0,EL_1,-30.0,0.928672545564,7.85407324123,0.550440251989,0.767449778541
EL,-55.0,EL_1,-25.0,0.932886627066,7.924240551,0.554468754884,0.783604106489
EL,-50.0,EL_1,-85.0,0.158034371682,0.4848095249,1.06077928736,0.0232140351591
EL,-50.0,EL_1,-80.0,0.176750469418,1.12132692322,1.01080113517,0.0307177934864
EL,-50.0,EL_1,-75.0,0.2148649599,1.79097181247,0.98059568847,0.0439309147573
EL,-50.0,EL_1,-70.0,0.264685271537,2.28846782,0.95329566965,0.0584318526731
EL,-50.0,EL_1,-65.0,0.354367280525,3.15680900821,0.92136720749,0.0830370447495
EL,-50.0,EL_1,-60.0,0.597223134404,4.96306731604,0.720542871866,0.278279081666
EL,-50.0,EL_1,-55.0,0.909821744941,7.62144503669,0.528040022083,0.643481943734
EL,-50.0,EL_1,-50.0,0.912486409725,7.76005836584,0.533492140886,0.688423647969
EL,-50.0,EL_1,-45.0,0.917888313586,7.75125537122,0.539959254277,0.716844186148
EL,-50.0,EL_1,-40.0,0.920764067259,7.67732236942,0.543573206457,0.733015210782
EL,-50.0,EL_1,-35.0,0.925083832949,7.83906647214,0.547146572771,0.742634632372
EL,-50.0,EL_1,-30.0,0.928236596166,7.64377806415,0.550303532122,0.75639963251
EL,-50.0,EL_1,-25.0,0.931086686438,7.8285610864,0.550897094489,0.797570927138
EL,-45.0,EL_1,-85.0,0.14622310451,0.291032766886,1.09944107701,0.0215471216563
EL,-45.0,EL_1,-80.0,0.160680121256,0.687804824214,1.03876296723,0.0259221492765
EL,-45.0,EL_1,-75.0,0.189124078685,1.2782883993,1.01764805655,0.0347165734596
EL,-45.0,EL_1,-70.0,0.239457631962,2.10461341806,0.973913099644,0.0501429675857
EL,-45.0,EL_1,-65.0,0.308254521538,2.93302443306,0.949817342236,0.062898819746
EL,-45.0,EL_1,-60.0,0.433867044351,3.9116763111,0.837040828637,0.126990358929
EL,-45.0,EL_1,-55.0,0.909064981111,7.63651566083,0.534142299664,0.618931806349
EL,-45.0,EL_1,-50.0,0.914213492685,7.7256458219,0.531572796641,0.687028977625
EL,-45.0,EL_1,-45.0,0.917057798562,7.64231128818,0.532528961509,0.714293285339
EL,-45.0,EL_1,-40.0,0.918944875853,7.70397526302,0.540073595646,0.717199132176
EL,-45.0,EL_1,-35.0,0.923067554908,7.79591455317,0.54679515017,0.755058612867
EL,-45.0,EL_1,-30.0,0.927531222919,7.83005439831,0.547614254434,0.780265907886
EL,-45.0,EL_1,-25.0,0.929859389699,7.78246498619,0.553248108002,0.76544802585
EL,-40.0,EL_1,-85.0,0.147704646778,0.130692954071,1.12434687166,0.0138804556696
EL,-40.0,EL_1,-80.0,0.146842036255,0.292340933216,1.07719437454,0.021301837129
EL,-40.0,EL_1,-75.0,0.172035740646,0.974526879654,1.02051544503,0.0313608373363
EL,-40.0,EL_1,-70.0,0.22120145294,1.95995950538,1.00123167399,0.0418515654197
EL,-40.0,EL_1,-65.0,0.265399890235,2.49301178734,0.953687930131,0.0553740866288
EL,-40.0,EL_1,-60.0,0.366223753103,3.4221861945,0.909638983164,0.0868592867917
EL,-40.0,EL_1,-55.0,0.699799713878,5.74354432988,0.650659089151,0.287653840229
EL,-40.0,EL_1,-50.0,0.91537823727,7.70188642374,0.530911871436,0.682275593272
EL,-40.0,EL_1,-45.0,0.91686055034,7.70435350971,0.534171230855,0.707709637082
EL,-40.0,EL_1,-40.0,0.920788951016,7.72475111877,0.539842698594,0.72297356899
EL,-40.0,EL_1,-35.0,0.923751671619,7.68478614788,0.540381624091,0.738501492676
EL,-40.0,EL_1,-30.0,0.928410178487,7.76466833207,0.546003890579,0.783538932619
EL,-40.0,EL_1,-25.0,0.9308089946,7.73162910048,0.551124481015,0.777963030233
