Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,Coherence_NG3_L4_SS_L4_Mean_mean,GrCaus_NG3_L4_SS_L4_Information_mean,NormError_SimErr_mean,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_mean
VT,-65.0,VT_1,-67.0,0.815561252153,6.38447283568,0.623958976196,0.67396771614
VT,-65.0,VT_1,-64.0,0.874471538921,6.72949405208,0.662767875804,0.761937802667
VT,-65.0,VT_1,-61.0,0.458331164156,4.10201066363,0.762666878208,0.167853646921
VT,-65.0,VT_1,-58.0,0.380975977108,3.4141777324,0.869949906146,0.084756007263
VT,-65.0,VT_1,-55.0,0.331723381727,2.90239465009,0.917395326448,0.0781248845302
VT,-65.0,VT_1,-52.0,0.276822396987,2.55409429882,0.953618132317,0.0547842455151
VT,-65.0,VT_1,-49.0,0.24175657545,2.19332512722,0.977975734932,0.0469032249243
VT,-65.0,VT_1,-46.0,0.203521372156,1.73484169131,0.994730756737,0.0363852237412
VT,-65.0,VT_1,-43.0,0.175810428438,1.13055141068,1.01449550272,0.027917087926
VT,-65.0,VT_1,-40.0,0.163719364309,0.704287215404,1.03265321102,0.028876298633
VT,-65.0,VT_1,-37.0,0.15211064371,0.345818034792,1.07171330125,0.0226327851149
VT,-62.0,VT_1,-67.0,0.742185309217,5.34006903937,0.82411634053,0.487164420803
VT,-62.0,VT_1,-64.0,0.901947534568,7.17511964087,0.606807682414,0.779780438901
VT,-62.0,VT_1,-61.0,0.761604625414,6.39147861716,0.667642986738,0.453242206437
VT,-62.0,VT_1,-58.0,0.417559806793,3.67268225267,0.816111353938,0.116048566072
VT,-62.0,VT_1,-55.0,0.365254950728,3.20814779901,0.896849103416,0.0809209625454
VT,-62.0,VT_1,-52.0,0.294738474312,2.70418441665,0.937355270965,0.0603432990448
VT,-62.0,VT_1,-49.0,0.247106460267,2.26250502349,0.969676345414,0.0465781108761
VT,-62.0,VT_1,-46.0,0.211507912221,1.81348039509,0.989068856941,0.0389176276705
VT,-62.0,VT_1,-43.0,0.17639173425,1.1359452438,1.01555143746,0.0309785595154
VT,-62.0,VT_1,-40.0,0.164288314757,0.711547618017,1.03422721372,0.0268224519429
VT,-62.0,VT_1,-37.0,0.152363903121,0.369506742094,1.07592169003,0.0244910604091
VT,-59.0,VT_1,-67.0,0.701033854415,4.8911131334,0.815770818626,0.413128711898
VT,-59.0,VT_1,-64.0,0.937512095249,7.11306542587,0.391877667097,0.614494633377
VT,-59.0,VT_1,-61.0,0.92484117008,7.40916112566,0.532772186757,0.816524576334
VT,-59.0,VT_1,-58.0,0.473006816437,4.22755077723,0.772533677261,0.181702950004
VT,-59.0,VT_1,-55.0,0.389678986678,3.426377972,0.864594256645,0.09335244099
VT,-59.0,VT_1,-52.0,0.313037500791,2.87739726669,0.927180294223,0.0679519383092
VT,-59.0,VT_1,-49.0,0.252780907582,2.34318423111,0.962625130193,0.0491934342619
VT,-59.0,VT_1,-46.0,0.213860699553,1.85541861508,0.989571326191,0.039704956215
VT,-59.0,VT_1,-43.0,0.177644408581,1.17796226413,1.01270773262,0.0318434153865
VT,-59.0,VT_1,-40.0,0.166439700679,0.743133177905,1.03129914721,0.0271460030606
VT,-59.0,VT_1,-37.0,0.15313348486,0.366795714057,1.07357485298,0.0237636720789
VT,-56.0,VT_1,-67.0,0.639713631905,4.58306552716,0.807599838208,0.350870770939
VT,-56.0,VT_1,-64.0,0.863899077004,6.19045346769,0.478123757231,0.641494756571
VT,-56.0,VT_1,-61.0,0.968334071214,8.20013637439,0.383187125863,0.715964424061
VT,-56.0,VT_1,-58.0,0.856889340027,7.15942957832,0.582233758191,0.458608287737
VT,-56.0,VT_1,-55.0,0.41114629966,3.61314353853,0.821611408971,0.111095651366
VT,-56.0,VT_1,-52.0,0.32731199702,3.00836042514,0.909809511668,0.0679756641709
VT,-56.0,VT_1,-49.0,0.265738538809,2.47700217256,0.959085989784,0.0539056815812
VT,-56.0,VT_1,-46.0,0.215605730249,1.85263353814,0.986475155099,0.0403945092603
VT,-56.0,VT_1,-43.0,0.179137265537,1.19245480468,1.01349391185,0.0330372492386
VT,-56.0,VT_1,-40.0,0.166726392347,0.788637722632,1.03304202073,0.0266073649691
VT,-56.0,VT_1,-37.0,0.152449425026,0.367334622495,1.07425176389,0.0243727814287
VT,-53.0,VT_1,-67.0,0.591980232473,4.32358693468,0.819017036069,0.301965405231
VT,-53.0,VT_1,-64.0,0.741530309295,5.66649852189,0.694294181087,0.537716910859
VT,-53.0,VT_1,-61.0,0.952985104949,7.80200874546,0.433717033758,0.605397734867
VT,-53.0,VT_1,-58.0,0.952669226492,8.23826400602,0.458362977651,0.73331774155
VT,-53.0,VT_1,-55.0,0.425688126164,3.77698500431,0.809953894751,0.149480270802
VT,-53.0,VT_1,-52.0,0.356443123248,3.30376065252,0.893667174738,0.0771210969739
VT,-53.0,VT_1,-49.0,0.276009992685,2.57018236222,0.955345094241,0.0529008005932
VT,-53.0,VT_1,-46.0,0.217569576728,1.91507027434,0.98353620586,0.0412311860988
VT,-53.0,VT_1,-43.0,0.180996938415,1.22563848405,1.01653102403,0.0349983364422
VT,-53.0,VT_1,-40.0,0.166648479717,0.824035694824,1.03322793247,0.0275596518082
VT,-53.0,VT_1,-37.0,0.152390229806,0.36760981756,1.07436022312,0.0246497882505
VT,-50.0,VT_1,-67.0,0.499731751059,3.72224212652,0.860456001669,0.233733189208
VT,-50.0,VT_1,-64.0,0.756784489792,5.99948142229,0.754140908924,0.507138248315
VT,-50.0,VT_1,-61.0,0.936590760358,7.0650222104,0.388557892433,0.645112969389
VT,-50.0,VT_1,-58.0,0.949535051448,8.31887937481,0.695592299287,0.675234068259
VT,-50.0,VT_1,-55.0,0.734540779073,6.361558106,1.00947451563,0.176773720858
VT,-50.0,VT_1,-52.0,0.364155804801,3.32674249099,0.881539690625,0.0852859830813
VT,-50.0,VT_1,-49.0,0.287056448206,2.66308665695,0.947932265118,0.0562870831919
