Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,MeanFR_NG1_L4_CI_SS_L4_mean,MeanFR_NG2_L4_CI_BC_L4_mean
VT,-65.0,VT_1,-67.0,286.404166667,286.445833333
VT,-65.0,VT_1,-64.0,264.712083333,265.4375
VT,-65.0,VT_1,-61.0,10.025,17.3275
VT,-65.0,VT_1,-58.0,4.75041666667,9.00833333333
VT,-65.0,VT_1,-55.0,2.91875,5.585
VT,-65.0,VT_1,-52.0,1.83645833333,3.3175
VT,-65.0,VT_1,-49.0,1.125,1.8225
VT,-65.0,VT_1,-46.0,0.677291666667,0.984166666667
VT,-65.0,VT_1,-43.0,0.390625,0.54
VT,-65.0,VT_1,-40.0,0.233125,0.306666666667
VT,-65.0,VT_1,-37.0,0.134166666667,0.158333333333
VT,-62.0,VT_1,-67.0,301.654166667,281.781666667
VT,-62.0,VT_1,-64.0,260.677916666,261.575
VT,-62.0,VT_1,-61.0,232.225,234.770833333
VT,-62.0,VT_1,-58.0,6.67125,10.2508333333
VT,-62.0,VT_1,-55.0,3.67520833333,5.38
VT,-62.0,VT_1,-52.0,2.14020833333,2.7675
VT,-62.0,VT_1,-49.0,1.26479166667,1.33083333333
VT,-62.0,VT_1,-46.0,0.744375,0.661666666666
VT,-62.0,VT_1,-43.0,0.4175,0.355833333334
VT,-62.0,VT_1,-40.0,0.244166666667,0.183333333333
VT,-62.0,VT_1,-37.0,0.140416666667,0.0791666666666
VT,-59.0,VT_1,-67.0,302.189375,268.1175
VT,-59.0,VT_1,-64.0,263.986666667,255.0025
VT,-59.0,VT_1,-61.0,232.946041667,234.984166667
VT,-59.0,VT_1,-58.0,11.6808333333,15.7483333334
VT,-59.0,VT_1,-55.0,4.52541666667,5.59416666667
VT,-59.0,VT_1,-52.0,2.4825,2.44833333333
VT,-59.0,VT_1,-49.0,1.38479166667,1.03583333333
VT,-59.0,VT_1,-46.0,0.78375,0.475833333333
