Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,MeanFR_NG1_L4_CI_SS_L4_mean,MeanFR_NG2_L4_CI_BC_L4_mean
gL,1.0,gL_1,0.5,140.655625,152.150833333
gL,1.0,gL_1,1.5,8.98875,11.9525
gL,1.0,gL_1,2.5,5.80333333333,7.65083333333
gL,1.0,gL_1,3.5,4.37416666667,5.715
gL,1.0,gL_1,4.5,3.51854166667,4.5025
gL,1.0,gL_1,5.5,2.6975,3.38
gL,1.0,gL_1,6.5,2.00020833333,2.39833333333
gL,1.0,gL_1,7.5,1.51,1.6925
gL,1.0,gL_1,8.5,1.13229166667,1.12666666667
gL,1.0,gL_1,9.5,0.819791666667,0.7275
gL,1.0,gL_1,10.5,0.5875,0.434166666667
gL,1.0,gL_1,11.5,0.4,0.249166666667
gL,1.0,gL_1,12.5,0.274375,0.130833333333
gL,1.0,gL_1,13.5,0.183958333333,0.0541666666667
gL,1.0,gL_1,14.5,0.120833333333,0.0258333333333
gL,2.0,gL_1,0.5,167.474166667,176.529166667
gL,2.0,gL_1,1.5,34.7064583334,44.4475
gL,2.0,gL_1,2.5,7.36020833333,9.32166666666
gL,2.0,gL_1,3.5,5.30375,6.51583333333
gL,2.0,gL_1,4.5,3.98875,4.74416666667
gL,2.0,gL_1,5.5,3.00416666667,3.31916666667
gL,2.0,gL_1,6.5,2.191875,2.20083333333
gL,2.0,gL_1,7.5,1.62145833333,1.38916666667
gL,2.0,gL_1,8.5,1.18125,0.845833333334
gL,2.0,gL_1,9.5,0.833333333333,0.489166666666
gL,2.0,gL_1,10.5,0.595,0.2975
gL,2.0,gL_1,11.5,0.40625,0.175
gL,2.0,gL_1,12.5,0.277916666667,0.0825
gL,2.0,gL_1,13.5,0.18625,0.0341666666666
gL,2.0,gL_1,14.5,0.121875,0.0166666666667
gL,3.0,gL_1,0.5,166.292291667,175.87
gL,3.0,gL_1,1.5,124.789583333,139.440833333
gL,3.0,gL_1,2.5,12.3179166667,15.165
gL,3.0,gL_1,3.5,6.49229166666,7.4875
gL,3.0,gL_1,4.5,4.54979166667,5.01333333333
gL,3.0,gL_1,5.5,3.291875,3.2
gL,3.0,gL_1,6.5,2.43645833334,2.08166666667
gL,3.0,gL_1,7.5,1.71520833333,1.16416666667
gL,3.0,gL_1,8.5,1.21291666667,0.668333333333
gL,3.0,gL_1,9.5,0.849375,0.379166666667
gL,3.0,gL_1,10.5,0.606458333333,0.2275
gL,3.0,gL_1,11.5,0.414166666667,0.121666666667
gL,3.0,gL_1,12.5,0.281875,0.0550000000001
gL,3.0,gL_1,13.5,0.19,0.025
gL,3.0,gL_1,14.5,0.121875,0.0116666666667
gL,4.0,gL_1,0.5,174.174583333,182.135
gL,4.0,gL_1,1.5,152.233958333,163.535833333
gL,4.0,gL_1,2.5,60.2358333333,73.9825
gL,4.0,gL_1,3.5,8.95791666666,10.1208333333
gL,4.0,gL_1,4.5,5.10979166667,5.19083333333
gL,4.0,gL_1,5.5,3.64291666667,3.21833333333
gL,4.0,gL_1,6.5,2.60854166667,1.93
gL,4.0,gL_1,7.5,1.78354166667,0.994166666667
gL,4.0,gL_1,8.5,1.24770833333,0.539166666667
gL,4.0,gL_1,9.5,0.868333333333,0.2975
gL,4.0,gL_1,10.5,0.613541666667,0.1775
gL,4.0,gL_1,11.5,0.419791666667,0.0766666666667
gL,4.0,gL_1,12.5,0.285416666667,0.0408333333333
gL,4.0,gL_1,13.5,0.191041666667,0.0216666666667
gL,4.0,gL_1,14.5,0.121875,0.00666666666667
gL,5.0,gL_1,0.5,173.490208333,181.518333333
gL,5.0,gL_1,1.5,148.638333333,160.988333333
gL,5.0,gL_1,2.5,88.3647916666,105.67
gL,5.0,gL_1,3.5,17.13375,19.9916666666
gL,5.0,gL_1,4.5,6.256875,6.0775
gL,5.0,gL_1,5.5,4.11916666667,3.34166666667
gL,5.0,gL_1,6.5,2.77625,1.77583333333
gL,5.0,gL_1,7.5,1.8675,0.863333333334
gL,5.0,gL_1,8.5,1.28541666667,0.4725
gL,5.0,gL_1,9.5,0.876875,0.235833333333
gL,5.0,gL_1,10.5,0.621875,0.133333333333
gL,5.0,gL_1,11.5,0.426458333333,0.0600000000001
gL,5.0,gL_1,12.5,0.286458333334,0.0316666666667
gL,5.0,gL_1,13.5,0.191041666667,0.0166666666667
gL,5.0,gL_1,14.5,0.121875,0.0025
gL,6.0,gL_1,0.5,170.816666667,179.1925
gL,6.0,gL_1,1.5,150.602083333,162.788333333
gL,6.0,gL_1,2.5,109.146875,125.731666667
gL,6.0,gL_1,3.5,51.8266666667,62.5141666667
gL,6.0,gL_1,4.5,9.01604166666,8.94833333333
gL,6.0,gL_1,5.5,4.61104166667,3.53083333334
gL,6.0,gL_1,6.5,3.00604166667,1.7975
gL,6.0,gL_1,7.5,1.95354166667,0.759166666667
gL,6.0,gL_1,8.5,1.310625,0.376666666667
gL,6.0,gL_1,9.5,0.893124999999,0.1875
gL,6.0,gL_1,10.5,0.628125,0.101666666667
gL,6.0,gL_1,11.5,0.431041666667,0.045
gL,6.0,gL_1,12.5,0.286875,0.0216666666667
gL,6.0,gL_1,13.5,0.191041666667,0.0125
gL,6.0,gL_1,14.5,0.121875,0.0
gL,7.0,gL_1,0.5,174.12875,181.85
gL,7.0,gL_1,1.5,153.609791667,165.291666667
gL,7.0,gL_1,2.5,125.479166667,140.920833333
gL,7.0,gL_1,3.5,80.335,95.2941666667
gL,7.0,gL_1,4.5,20.149375,22.3216666667
gL,7.0,gL_1,5.5,5.531875,4.22666666667
gL,7.0,gL_1,6.5,3.25020833333,1.7825
gL,7.0,gL_1,7.5,2.01895833333,0.673333333333
gL,7.0,gL_1,8.5,1.34229166667,0.311666666666
gL,7.0,gL_1,9.5,0.909375,0.153333333333
gL,7.0,gL_1,10.5,0.643958333333,0.0775
gL,7.0,gL_1,11.5,0.435416666667,0.0375
gL,7.0,gL_1,12.5,0.287291666667,0.0175
gL,7.0,gL_1,13.5,0.191041666667,0.01
gL,7.0,gL_1,14.5,0.121875,0.0
gL,8.0,gL_1,0.5,170.6425,179.0875
gL,8.0,gL_1,1.5,156.763125,167.955
gL,8.0,gL_1,2.5,134.673333333,148.776666667
gL,8.0,gL_1,3.5,94.4285416667,109.821666667
gL,8.0,gL_1,4.5,50.4783333333,58.9583333333
gL,8.0,gL_1,5.5,7.60708333334,6.26416666667
gL,8.0,gL_1,6.5,3.515625,1.79833333333
gL,8.0,gL_1,7.5,2.11479166667,0.631666666667
gL,8.0,gL_1,8.5,1.36958333333,0.2425
gL,8.0,gL_1,9.5,0.923541666667,0.125
