Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,Coherence_NG3_L4_SS_L4_Mean_mean,GrCaus_NG3_L4_SS_L4_Information_mean,NormError_SimErr_mean,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_mean
gL,1.0,gL_1,0.5,0.141383796908,0.106087563409,1.90971623237,0.0506559259848
gL,1.0,gL_1,1.5,0.151839860761,0.365068638803,1.94994670055,0.0530883782313
gL,1.0,gL_1,2.5,0.142431111595,0.414795920937,1.87993128151,0.0466125922329
gL,1.0,gL_1,3.5,0.147561543086,0.138801229179,1.78364425759,0.0505967128941
gL,1.0,gL_1,4.5,0.14649779967,0.437869905937,1.74920078849,0.0435839040748
gL,1.0,gL_1,5.5,0.1436446129,0.244819330241,1.62973847374,0.0409023271449
gL,1.0,gL_1,6.5,0.146250497245,0.405285192646,1.63372284902,0.0398391936961
gL,1.0,gL_1,7.5,0.150761557993,0.397467861368,1.55570012111,0.0346692156659
gL,1.0,gL_1,8.5,0.147759022434,0.267912083354,1.50967075964,0.034797775067
gL,1.0,gL_1,9.5,0.145457044172,-0.062950806661,1.5000935335,0.0352262371373
gL,1.0,gL_1,10.5,0.138449860635,0.295119849516,1.47016356175,0.0296663630183
gL,1.0,gL_1,11.5,0.136015384581,0.190116521047,1.45394756743,0.0220400353803
gL,1.0,gL_1,12.5,0.142182616699,0.426704522819,1.41032332477,0.0168288996502
gL,1.0,gL_1,13.5,0.131938109633,0.249539627544,1.38036521598,0.00947410931123
gL,1.0,gL_1,14.5,0.14318423619,0.176481098383,1.37711340891,0.00557696080015
gL,2.0,gL_1,0.5,0.139193378788,0.336762462026,1.95222989397,0.050705488814
gL,2.0,gL_1,1.5,0.146034285589,0.00714357317304,1.89974479237,0.0475388479955
gL,2.0,gL_1,2.5,0.151141179313,0.379841218778,1.85206163908,0.0500911411816
gL,2.0,gL_1,3.5,0.145762195375,0.400449451515,1.8011153352,0.0486918321697
gL,2.0,gL_1,4.5,0.153045269496,0.487790680005,1.74151903252,0.0445038078093
gL,2.0,gL_1,5.5,0.143076614642,0.416168880039,1.63180501835,0.0351436878854
gL,2.0,gL_1,6.5,0.143983002169,0.507650483178,1.58833528542,0.0353730523371
gL,2.0,gL_1,7.5,0.152665335737,0.4363924112,1.55608503054,0.0360975807475
gL,2.0,gL_1,8.5,0.148382810348,0.289857874005,1.50912386043,0.034797775067
gL,2.0,gL_1,9.5,0.145459778217,-0.062845238655,1.50008434529,0.0352262371373
gL,2.0,gL_1,10.5,0.138449860635,0.295119849516,1.47016356175,0.0296663630183
gL,2.0,gL_1,11.5,0.136015384581,0.190116521047,1.45394756743,0.0220400353803
gL,2.0,gL_1,12.5,0.142182616699,0.426704522819,1.41032332477,0.0168288996502
gL,2.0,gL_1,13.5,0.131938109633,0.249539627544,1.38036521598,0.00947410931123
gL,2.0,gL_1,14.5,0.14318423619,0.176481098383,1.37711340891,0.00557696080015
gL,3.0,gL_1,0.5,0.132082140073,-0.00543858542125,2.00833830785,0.0441459180284
gL,3.0,gL_1,1.5,0.148391221746,0.229419010622,1.97999860375,0.0459819530649
gL,3.0,gL_1,2.5,0.153619052736,0.584344346962,1.86131318124,0.049545290755
gL,3.0,gL_1,3.5,0.147503938841,0.339960519232,1.84966398306,0.0467160416752
gL,3.0,gL_1,4.5,0.151955155007,0.57751418201,1.71928441962,0.0408539764992
gL,3.0,gL_1,5.5,0.14263542744,0.36791176925,1.63513702894,0.0337850723067
gL,3.0,gL_1,6.5,0.143580383359,0.32247182362,1.58312184046,0.0327844058211
gL,3.0,gL_1,7.5,0.152586793328,0.416386997993,1.54936526177,0.0372649684821
gL,3.0,gL_1,8.5,0.148517807912,0.273673134966,1.51046713145,0.0346367695342
gL,3.0,gL_1,9.5,0.145459778217,-0.062845238655,1.50008434529,0.0352262371373
gL,3.0,gL_1,10.5,0.138449860635,0.295119849516,1.47016356175,0.0296663630183
gL,3.0,gL_1,11.5,0.136015384581,0.190116521047,1.45394756743,0.0220400353803
gL,3.0,gL_1,12.5,0.142182616699,0.426704522819,1.41032332477,0.0168288996502
gL,3.0,gL_1,13.5,0.131938109633,0.249539627544,1.38036521598,0.00947410931123
gL,3.0,gL_1,14.5,0.14318423619,0.176481098383,1.37711340891,0.00557696080015
gL,4.0,gL_1,0.5,0.140283843198,0.436387069715,2.04672178027,0.0502336499059
gL,4.0,gL_1,1.5,0.147199042565,0.312290070509,2.01397261733,0.0474713244479
gL,4.0,gL_1,2.5,0.150378703836,0.273386456682,1.90276939322,0.0475115051194
gL,4.0,gL_1,3.5,0.148323617703,0.411402388738,1.7871887501,0.0490275798732
gL,4.0,gL_1,4.5,0.147242037782,0.564294920659,1.73863355014,0.0432735005678
gL,4.0,gL_1,5.5,0.143235157299,0.470819995234,1.63369174768,0.0334262552805
gL,4.0,gL_1,6.5,0.144744889105,0.433582116222,1.58253654944,0.0368109474725
gL,4.0,gL_1,7.5,0.152625487615,0.412959418524,1.54191004752,0.0382814984763
gL,4.0,gL_1,8.5,0.148519067664,0.27387611586,1.51070857782,0.0346367695342
gL,4.0,gL_1,9.5,0.145459778217,-0.062845238655,1.50008434529,0.0352262371373
gL,4.0,gL_1,10.5,0.138449860635,0.295119849516,1.47016356175,0.0296663630183
gL,4.0,gL_1,11.5,0.136015384581,0.190116521047,1.45394756743,0.0220400353803
gL,4.0,gL_1,12.5,0.142182616699,0.426704522819,1.41032332477,0.0168288996502
gL,4.0,gL_1,13.5,0.131938109633,0.249539627544,1.38036521598,0.00947410931123
gL,4.0,gL_1,14.5,0.14318423619,0.176481098383,1.37711340891,0.00557696080015
gL,5.0,gL_1,0.5,0.143041522495,0.235361981596,2.09918632998,0.0541459959653
gL,5.0,gL_1,1.5,0.149308158625,0.265610884687,2.0589526562,0.0579446431222
gL,5.0,gL_1,2.5,0.153673062285,0.286665978183,1.95557531434,0.0501051619201
