Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,MeanFR_NG1_L4_CI_SS_L4_mean,MeanFR_NG2_L4_CI_BC_L4_mean
gL,1.0,gL_1,0.5,2.43666666667,6.225
gL,1.0,gL_1,1.5,2.84895833333,7.31416666667
gL,1.0,gL_1,2.5,2.390625,6.49333333333
gL,1.0,gL_1,3.5,1.84333333333,4.84083333333
gL,1.0,gL_1,4.5,1.29166666667,2.94166666667
gL,1.0,gL_1,5.5,0.868125,1.7925
gL,1.0,gL_1,6.5,0.536041666667,1.0775
gL,1.0,gL_1,7.5,0.32875,0.345833333333
gL,1.0,gL_1,8.5,0.19875,0.151666666667
gL,1.0,gL_1,9.5,0.115625,0.0891666666667
gL,1.0,gL_1,10.5,0.0641666666667,0.000833333333333
gL,1.0,gL_1,11.5,0.0347916666667,0.0
gL,1.0,gL_1,12.5,0.0191666666667,0.0
gL,1.0,gL_1,13.5,0.00708333333334,0.0
gL,1.0,gL_1,14.5,0.00333333333334,0.0
gL,2.0,gL_1,0.5,2.715625,6.49583333333
gL,2.0,gL_1,1.5,2.92625,7.51583333333
gL,2.0,gL_1,2.5,2.54,6.4275
gL,2.0,gL_1,3.5,2.01145833333,4.6
gL,2.0,gL_1,4.5,1.38729166667,2.51
gL,2.0,gL_1,5.5,0.892083333333,1.53583333333
gL,2.0,gL_1,6.5,0.57375,0.778333333333
gL,2.0,gL_1,7.5,0.346875,0.1825
gL,2.0,gL_1,8.5,0.200416666667,0.153333333333
gL,2.0,gL_1,9.5,0.115625,0.00833333333334
gL,2.0,gL_1,10.5,0.0641666666667,0.0
gL,2.0,gL_1,11.5,0.0347916666667,0.0
gL,2.0,gL_1,12.5,0.0191666666667,0.0
gL,2.0,gL_1,13.5,0.00708333333334,0.0
gL,2.0,gL_1,14.5,0.00333333333334,0.0
gL,3.0,gL_1,0.5,3.47604166667,7.05833333333
gL,3.0,gL_1,1.5,3.45145833333,7.59
gL,3.0,gL_1,2.5,2.95291666667,6.11583333333
gL,3.0,gL_1,3.5,2.29020833333,4.02166666667
gL,3.0,gL_1,4.5,1.51479166667,2.25916666667
gL,3.0,gL_1,5.5,0.933125,1.315
gL,3.0,gL_1,6.5,0.593125,0.4875
gL,3.0,gL_1,7.5,0.352708333333,0.184166666667
gL,3.0,gL_1,8.5,0.200833333333,0.110833333333
gL,3.0,gL_1,9.5,0.115625,0.0
gL,3.0,gL_1,10.5,0.0641666666667,0.0
gL,3.0,gL_1,11.5,0.0347916666667,0.0
gL,3.0,gL_1,12.5,0.0191666666667,0.0
gL,3.0,gL_1,13.5,0.00708333333334,0.0
gL,3.0,gL_1,14.5,0.00333333333334,0.0
gL,4.0,gL_1,0.5,4.584375,8.2025
gL,4.0,gL_1,1.5,4.25729166667,7.89416666667
gL,4.0,gL_1,2.5,3.41145833333,6.25166666667
gL,4.0,gL_1,3.5,2.606875,3.765
gL,4.0,gL_1,4.5,1.6075,1.83916666667
gL,4.0,gL_1,5.5,0.988541666667,0.960833333333
gL,4.0,gL_1,6.5,0.610416666667,0.280833333333
gL,4.0,gL_1,7.5,0.35625,0.135
gL,4.0,gL_1,8.5,0.200833333333,0.0491666666666
gL,4.0,gL_1,9.5,0.115625,0.0
gL,4.0,gL_1,10.5,0.0641666666667,0.0
