Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,Coherence_NG3_L4_SS_L4_Sum_mean,GrCaus_NG3_L4_SS_L4_Information_mean,NormError_SimErr_mean,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_mean
EL,-85.0,EL_1,-85.0,4.96726500628,-0.117998661387,1.50633921601,0.0175588168977
EL,-85.0,EL_1,-80.0,5.43813987175,0.691607446689,1.43678885234,0.0231997648708
EL,-85.0,EL_1,-75.0,6.51454855245,1.5835449684,1.4686107511,0.0317967723854
EL,-85.0,EL_1,-70.0,9.48317227734,2.72150705117,1.58401039451,0.0399343759863
EL,-85.0,EL_1,-65.0,13.1996337298,3.60603987449,1.51326138672,0.0787640029602
EL,-85.0,EL_1,-60.0,14.9479842238,4.16111074125,1.31825203851,0.180687740441
EL,-85.0,EL_1,-55.0,16.1508861382,4.53475721446,1.25119722041,0.201105244665
EL,-85.0,EL_1,-50.0,18.0725518105,4.78664639539,1.21830323455,0.212881893939
EL,-85.0,EL_1,-45.0,19.3866429363,5.03759452286,1.1747852846,0.211626839516
EL,-85.0,EL_1,-40.0,20.8384432995,5.45398714391,1.18827175462,0.198732253122
EL,-85.0,EL_1,-35.0,23.7055584828,5.99564295536,1.31279236595,0.10699972157
EL,-85.0,EL_1,-30.0,27.6527687783,7.3987189311,1.36362863249,0.0771797506517
EL,-85.0,EL_1,-25.0,28.1795805393,7.46893514149,1.34763249976,0.0872832335133
EL,-80.0,EL_1,-85.0,4.96733023296,-0.116996400213,1.50666779851,0.0174168163883
EL,-80.0,EL_1,-80.0,5.42807244376,0.672889169528,1.42890328712,0.0250164846791
EL,-80.0,EL_1,-75.0,6.50398501241,1.56245027023,1.46397299204,0.031384473018
EL,-80.0,EL_1,-70.0,9.12537635576,2.61572092865,1.60126514668,0.0401884475746
EL,-80.0,EL_1,-65.0,13.0802215058,3.55736699722,1.57236834951,0.0562403401477
EL,-80.0,EL_1,-60.0,14.9682877024,4.12253244935,1.38919442704,0.160845345821
EL,-80.0,EL_1,-55.0,15.8284758306,4.35304497553,1.33377916371,0.187051959186
EL,-80.0,EL_1,-50.0,17.1872284481,4.71739257783,1.20736703241,0.231243915891
EL,-80.0,EL_1,-45.0,18.9609088708,4.94172196632,1.1728325428,0.217164000874
EL,-80.0,EL_1,-40.0,19.9993990657,5.32325307091,1.16080519201,0.192971803139
EL,-80.0,EL_1,-35.0,21.5827044993,5.41686210365,1.27509063513,0.124663063794
EL,-80.0,EL_1,-30.0,27.9416636043,7.31803791691,1.3691101947,0.0836120349475
EL,-80.0,EL_1,-25.0,28.1625110264,7.37055297485,1.33945025613,0.0880607945253
EL,-75.0,EL_1,-85.0,4.96962737399,-0.1055290308,1.50389729507,0.0176035059856
EL,-75.0,EL_1,-80.0,5.40025665351,0.645327331641,1.43417428549,0.0226428217644
EL,-75.0,EL_1,-75.0,6.47195502179,1.53492729133,1.46219366837,0.0331083633482
EL,-75.0,EL_1,-70.0,8.74355199586,2.50563270857,1.60651759549,0.0377694140342
EL,-75.0,EL_1,-65.0,12.5443447371,3.39725297444,1.63263142562,0.0433750880335
EL,-75.0,EL_1,-60.0,14.8328448396,3.98840317048,1.44785333552,0.12184637493
EL,-75.0,EL_1,-55.0,15.8068573026,4.33240128311,1.32801284346,0.196071814109
EL,-75.0,EL_1,-50.0,16.5555966505,4.59700549769,1.23845596992,0.216421232434
EL,-75.0,EL_1,-45.0,18.5373645364,4.78712406619,1.16459907352,0.243125422687
EL,-75.0,EL_1,-40.0,19.8766529098,5.20601907445,1.20542222439,0.2137658568
EL,-75.0,EL_1,-35.0,21.2971092268,5.51440092104,1.21788738226,0.165303567094
EL,-75.0,EL_1,-30.0,28.0735918058,7.16012658577,1.34582222083,0.0788054544086
EL,-75.0,EL_1,-25.0,28.1288349995,7.37129286757,1.34749000228,0.0911587157112
EL,-70.0,EL_1,-85.0,4.96428182329,-0.161193364766,1.50336998992,0.0176842712464
EL,-70.0,EL_1,-80.0,5.37185374543,0.614907963721,1.42333778928,0.0225805733248
