Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,MeanFR_NG1_L4_CI_SS_L4_mean,MeanFR_NG2_L4_CI_BC_L4_mean
EL,-85.0,EL_1,-85.0,0.110833333333,0.0
EL,-85.0,EL_1,-80.0,0.272083333333,0.0266666666667
EL,-85.0,EL_1,-75.0,0.635208333333,0.108333333333
EL,-85.0,EL_1,-70.0,1.82166666667,0.515833333333
EL,-85.0,EL_1,-65.0,8.49708333333,7.57666666667
EL,-85.0,EL_1,-60.0,26.418125,32.59
EL,-85.0,EL_1,-55.0,43.4508333333,56.7866666667
EL,-85.0,EL_1,-50.0,60.8645833333,80.6133333333
EL,-85.0,EL_1,-45.0,77.7377083333,102.6325
EL,-85.0,EL_1,-40.0,92.974375,121.159166667
EL,-85.0,EL_1,-35.0,176.305416667,187.251666667
EL,-85.0,EL_1,-30.0,199.133541667,204.000833333
EL,-85.0,EL_1,-25.0,201.544583333,205.885
EL,-80.0,EL_1,-85.0,0.110833333333,0.00416666666667
EL,-80.0,EL_1,-80.0,0.266041666667,0.045
EL,-80.0,EL_1,-75.0,0.620833333333,0.164166666667
EL,-80.0,EL_1,-70.0,1.66270833333,0.650833333333
EL,-80.0,EL_1,-65.0,5.68416666667,5.065
EL,-80.0,EL_1,-60.0,19.8841666667,25.0075
EL,-80.0,EL_1,-55.0,35.0222916667,46.9958333333
EL,-80.0,EL_1,-50.0,52.6945833333,71.7783333333
EL,-80.0,EL_1,-45.0,71.3229166667,96.2833333333
EL,-80.0,EL_1,-40.0,86.3920833333,114.951666667
EL,-80.0,EL_1,-35.0,157.148333333,173.385
EL,-80.0,EL_1,-30.0,199.157916667,204.046666667
EL,-80.0,EL_1,-25.0,201.989375,206.184166667
EL,-75.0,EL_1,-85.0,0.110416666667,0.0225
EL,-75.0,EL_1,-80.0,0.256666666667,0.0658333333333
EL,-75.0,EL_1,-75.0,0.600833333333,0.255833333333
EL,-75.0,EL_1,-70.0,1.511875,0.8675
EL,-75.0,EL_1,-65.0,4.19333333333,3.99166666667
EL,-75.0,EL_1,-60.0,13.0966666667,16.9625
EL,-75.0,EL_1,-55.0,29.090625,40.3316666667
EL,-75.0,EL_1,-50.0,44.6222916667,62.7525
EL,-75.0,EL_1,-45.0,63.2741666667,87.78
EL,-75.0,EL_1,-40.0,80.7758333333,109.730833333
EL,-75.0,EL_1,-35.0,117.175625,143.575
EL,-75.0,EL_1,-30.0,199.900208333,204.573333333
EL,-75.0,EL_1,-25.0,202.465,206.6925
EL,-70.0,EL_1,-85.0,0.109791666667,0.0341666666666
EL,-70.0,EL_1,-80.0,0.247916666667,0.116666666667
EL,-70.0,EL_1,-75.0,0.573541666667,0.3675
EL,-70.0,EL_1,-70.0,1.380625,1.095
EL,-70.0,EL_1,-65.0,3.37291666667,3.78583333333
EL,-70.0,EL_1,-60.0,8.70229166667,12.0258333333
EL,-70.0,EL_1,-55.0,21.2377083333,31.0133333333
EL,-70.0,EL_1,-50.0,36.2195833333,53.1558333333
EL,-70.0,EL_1,-45.0,54.4975,78.3433333333
EL,-70.0,EL_1,-40.0,73.418125,102.614166667
EL,-70.0,EL_1,-35.0,88.9339583333,121.630833333
EL,-70.0,EL_1,-30.0,181.324583333,191.873333333
EL,-70.0,EL_1,-25.0,202.6525,207.191666667
EL,-65.0,EL_1,-85.0,0.105625,0.0616666666666
EL,-65.0,EL_1,-80.0,0.237916666667,0.21
EL,-65.0,EL_1,-75.0,0.547916666667,0.531666666667
EL,-65.0,EL_1,-70.0,1.26083333333,1.49583333333
EL,-65.0,EL_1,-65.0,2.775,4.025
EL,-65.0,EL_1,-60.0,5.7525,9.71916666667
EL,-65.0,EL_1,-55.0,14.2220833333,23.0583333333
EL,-65.0,EL_1,-50.0,28.0133333333,43.5308333333
EL,-65.0,EL_1,-45.0,45.8654166667,68.8633333333
EL,-65.0,EL_1,-40.0,65.5389583333,94.7566666667
EL,-65.0,EL_1,-35.0,82.89,116.031666667
EL,-65.0,EL_1,-30.0,123.720625,151.739166667
EL,-65.0,EL_1,-25.0,201.362916666,206.323333333
EL,-60.0,EL_1,-85.0,0.101458333333,0.106666666667
EL,-60.0,EL_1,-80.0,0.232083333333,0.330833333333
EL,-60.0,EL_1,-75.0,0.517291666667,0.7775
EL,-60.0,EL_1,-70.0,1.13791666667,2.07
EL,-60.0,EL_1,-65.0,2.26270833333,4.83166666667
EL,-60.0,EL_1,-60.0,4.13541666667,9.4125
EL,-60.0,EL_1,-55.0,7.99208333333,16.7283333333
EL,-60.0,EL_1,-50.0,19.6497916667,33.6908333333
EL,-60.0,EL_1,-45.0,36.36,57.765
EL,-60.0,EL_1,-40.0,57.1314583333,85.67
EL,-60.0,EL_1,-35.0,75.4297916667,108.955833333
EL,-60.0,EL_1,-30.0,97.8654166667,132.4525
EL,-60.0,EL_1,-25.0,203.513333333,207.683333333
EL,-55.0,EL_1,-85.0,0.0991666666667,0.193333333333
EL,-55.0,EL_1,-80.0,0.218125,0.588333333333
EL,-55.0,EL_1,-75.0,0.4725,1.28083333333
EL,-55.0,EL_1,-70.0,1.00166666667,3.17833333334
EL,-55.0,EL_1,-65.0,1.83854166667,6.21916666667
EL,-55.0,EL_1,-60.0,3.030625,10.0491666667
EL,-55.0,EL_1,-55.0,5.24854166667,15.2458333333
EL,-55.0,EL_1,-50.0,11.5072916667,25.2316666667
EL,-55.0,EL_1,-45.0,26.4883333333,46.2958333333
EL,-55.0,EL_1,-40.0,47.02,74.4858333333
EL,-55.0,EL_1,-35.0,68.4383333333,102.055833333
EL,-55.0,EL_1,-30.0,85.16,122.2325
EL,-55.0,EL_1,-25.0,178.488125,191.4025
EL,-50.0,EL_1,-85.0,0.0947916666667,0.505833333333
EL,-50.0,EL_1,-80.0,0.205,1.19916666667
EL,-50.0,EL_1,-75.0,0.421041666667,2.29083333333
EL,-50.0,EL_1,-70.0,0.835625,5.14416666667
EL,-50.0,EL_1,-65.0,1.45208333333,8.01
EL,-50.0,EL_1,-60.0,2.29416666667,11.6341666667
EL,-50.0,EL_1,-55.0,3.68604166667,15.6091666667
EL,-50.0,EL_1,-50.0,6.54458333333,21.3508333333
EL,-50.0,EL_1,-45.0,16.6791666667,35.1216666667
EL,-50.0,EL_1,-40.0,36.1897916667,61.9583333333
EL,-50.0,EL_1,-35.0,59.6191666667,92.9075
EL,-50.0,EL_1,-30.0,77.510625,115.24
EL,-50.0,EL_1,-25.0,128.425416667,157.328333333
EL,-45.0,EL_1,-85.0,0.09125,1.19333333333
EL,-45.0,EL_1,-80.0,0.180625,2.07666666667
EL,-45.0,EL_1,-75.0,0.372708333333,3.8775
EL,-45.0,EL_1,-70.0,0.721875,6.9825
EL,-45.0,EL_1,-65.0,1.188125,9.8375
EL,-45.0,EL_1,-60.0,1.864375,13.0883333333
EL,-45.0,EL_1,-55.0,2.899375,16.855
EL,-45.0,EL_1,-50.0,4.61708333333,21.0975
EL,-45.0,EL_1,-45.0,9.27333333333,28.0391666667
EL,-45.0,EL_1,-40.0,24.0389583333,48.0666666667
EL,-45.0,EL_1,-35.0,49.1827083333,81.2775
EL,-45.0,EL_1,-30.0,70.0604166667,107.984166667
EL,-45.0,EL_1,-25.0,103.135625,138.8475
EL,-40.0,EL_1,-85.0,0.00708333333333,17.5308333333
EL,-40.0,EL_1,-80.0,0.0241666666667,17.1333333333
EL,-40.0,EL_1,-75.0,0.0685416666667,16.9958333333
EL,-40.0,EL_1,-70.0,0.144583333333,16.5691666667
EL,-40.0,EL_1,-65.0,0.390833333333,16.0733333333
EL,-40.0,EL_1,-60.0,0.852916666667,17.0175
EL,-40.0,EL_1,-55.0,1.93125,18.27
EL,-40.0,EL_1,-50.0,3.33854166667,21.38
EL,-40.0,EL_1,-45.0,5.646875,25.8316666667
EL,-40.0,EL_1,-40.0,14.238125,37.2566666667
EL,-40.0,EL_1,-35.0,36.8502083333,67.0058333333
EL,-40.0,EL_1,-30.0,61.563125,99.2258333334
EL,-40.0,EL_1,-25.0,79.0275,120.884166667
