Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,Coherence_NG3_L4_SS_L4_Mean_mean,GrCaus_NG3_L4_SS_L4_Information_mean,NormError_SimErr_mean,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_mean
VT,-65.0,VT_1,-67.0,4.69366407025,0.334149737204,4.25755344063,0.0113353923782
VT,-65.0,VT_1,-64.0,22.2144471676,5.38458661829,0.713046368684,0.43477330753
VT,-65.0,VT_1,-61.0,10.7309208437,2.96914936859,1.78967159595,0.0405857484463
VT,-65.0,VT_1,-58.0,9.29592060004,2.65140764361,1.77723122632,0.0407229812446
VT,-65.0,VT_1,-55.0,8.95058380551,2.41943738013,1.72966743471,0.0380579133903
VT,-65.0,VT_1,-52.0,8.34211185933,2.22711579822,1.65685762616,0.0377283561062
VT,-65.0,VT_1,-49.0,7.72025865347,2.01582728091,1.58526771419,0.0354193190176
VT,-65.0,VT_1,-46.0,7.1214419226,1.84801553642,1.57233080485,0.0351934625407
VT,-65.0,VT_1,-43.0,6.7867894898,1.65631434506,1.49825646625,0.0314610267553
VT,-65.0,VT_1,-40.0,6.11659993938,1.30551429168,1.46045954357,0.0296124048996
VT,-65.0,VT_1,-37.0,5.51512013068,0.863941862643,1.43822870788,0.0258894355759
VT,-62.0,VT_1,-67.0,5.1934267435,0.69322124717,4.31522960571,0.0102997120387
VT,-62.0,VT_1,-64.0,26.5590123513,6.64906888536,0.669401127359,0.439731417876
VT,-62.0,VT_1,-61.0,11.7081940502,3.19720308672,1.77571582984,0.0501617136591
VT,-62.0,VT_1,-58.0,10.0707914363,2.8665254089,1.81134603482,0.0392830536298
VT,-62.0,VT_1,-55.0,9.58866238781,2.65348305792,1.79935618799,0.0393034704649
VT,-62.0,VT_1,-52.0,9.05970562895,2.49184819635,1.68901262999,0.0347436113682
VT,-62.0,VT_1,-49.0,8.10474834088,2.17702616648,1.62369270426,0.0390264834205
VT,-62.0,VT_1,-46.0,7.48028374569,1.97679172084,1.569968171,0.0368695969044
VT,-62.0,VT_1,-43.0,7.05487364402,1.80552110308,1.50898458051,0.0311498161617
VT,-62.0,VT_1,-40.0,6.15219182881,1.37581953424,1.47423256627,0.0261811892615
VT,-62.0,VT_1,-37.0,5.58651077305,0.899222801711,1.43255310922,0.0240286799762
VT,-59.0,VT_1,-67.0,4.60002171615,0.176467239523,4.55502361063,0.00263726522469
VT,-59.0,VT_1,-64.0,18.2772622328,4.79173418121,0.90684177742,0.196469667471
VT,-59.0,VT_1,-61.0,11.0850458633,3.05696496588,1.88541985211,0.0648675240358
VT,-59.0,VT_1,-58.0,10.9631270974,3.18446176453,1.75359976275,0.0418733192295
VT,-59.0,VT_1,-55.0,10.3095425313,2.939409327,1.75478683601,0.042075399694
VT,-59.0,VT_1,-52.0,9.5585493001,2.67102724143,1.68815585887,0.0372852683653
VT,-59.0,VT_1,-49.0,8.71947073364,2.41627075446,1.62653349749,0.037906749057
VT,-59.0,VT_1,-46.0,7.84960052124,2.13752442087,1.56273897978,0.0371630939766
VT,-59.0,VT_1,-43.0,7.24438929827,1.90952964337,1.50784230855,0.0326442721633
VT,-59.0,VT_1,-40.0,6.26353613123,1.41480599455,1.46871572061,0.02810839717
VT,-59.0,VT_1,-37.0,5.65986480341,0.887905170801,1.41041965597,0.0245676445862
VT,-56.0,VT_1,-67.0,4.35428257767,0.235742029427,4.72361161985,0.00541955608001
VT,-56.0,VT_1,-64.0,15.6938206055,4.50930411465,1.14619829924,0.137878656163
VT,-56.0,VT_1,-61.0,24.0199361786,6.0675468071,1.11506002327,0.254079116044
VT,-56.0,VT_1,-58.0,12.3555057923,3.35859273125,1.75082701465,0.0520770313341
VT,-56.0,VT_1,-55.0,11.1484510085,3.10943461142,1.74132956582,0.041492639748
VT,-56.0,VT_1,-52.0,10.3597950438,2.94291353705,1.69138674809,0.0436768182462
VT,-56.0,VT_1,-49.0,9.20399510554,2.57655082694,1.65185366403,0.0405706429087
VT,-56.0,VT_1,-46.0,8.19440021081,2.28251075804,1.57711143476,0.0372314888824
VT,-56.0,VT_1,-43.0,7.41520136503,1.92412669751,1.51569629483,0.0345103577831
VT,-56.0,VT_1,-40.0,6.34332084084,1.46547970559,1.46280959157,0.0313937077522
VT,-56.0,VT_1,-37.0,5.71914734014,0.917861099636,1.41195765729,0.0256187676961
VT,-53.0,VT_1,-67.0,4.40854851028,0.116839491271,4.76586689929,0.00609243702929
VT,-53.0,VT_1,-64.0,21.3645358015,5.60239862044,0.885519443761,0.34968660018
VT,-53.0,VT_1,-61.0,29.273558684,7.78411825804,0.644948120611,0.570705064713
VT,-53.0,VT_1,-58.0,13.2410142532,3.70572068859,1.59146984726,0.0801840462796
VT,-53.0,VT_1,-55.0,12.4876600274,3.46328361214,1.69837936173,0.0501535864542
VT,-53.0,VT_1,-52.0,11.1070008363,3.14342951363,1.70690782949,0.0433098035836
VT,-53.0,VT_1,-49.0,9.86584830124,2.72720480572,1.67689120962,0.0425856265081
VT,-53.0,VT_1,-46.0,8.46218311956,2.46388449902,1.60620753511,0.039659041169
