Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,MeanFR_NG1_L4_CI_SS_L4_mean,MeanFR_NG2_L4_CI_BC_L4_mean
VT,-65.0,VT_1,-67.0,333.304791667,329.941666667
VT,-65.0,VT_1,-64.0,309.065833333,313.905833333
VT,-65.0,VT_1,-61.0,4.71541666667,19.0216666667
VT,-65.0,VT_1,-58.0,3.06416666667,15.5191666667
VT,-65.0,VT_1,-55.0,2.25979166667,13.07
VT,-65.0,VT_1,-52.0,1.71208333333,10.5475
VT,-65.0,VT_1,-49.0,1.2975,8.63416666667
VT,-65.0,VT_1,-46.0,0.964583333334,6.94083333334
VT,-65.0,VT_1,-43.0,0.671666666667,4.92416666667
VT,-65.0,VT_1,-40.0,0.442083333334,3.23083333333
VT,-65.0,VT_1,-37.0,0.278958333333,1.94
VT,-62.0,VT_1,-67.0,333.270208333,321.98
VT,-62.0,VT_1,-64.0,308.950416667,309.345
VT,-62.0,VT_1,-61.0,6.02479166667,19.8058333334
VT,-62.0,VT_1,-58.0,3.67583333333,14.805
VT,-62.0,VT_1,-55.0,2.68541666666,12.2141666667
VT,-62.0,VT_1,-52.0,1.983125,9.52333333334
VT,-62.0,VT_1,-49.0,1.455,7.56166666667
VT,-62.0,VT_1,-46.0,1.07458333333,5.86916666667
VT,-62.0,VT_1,-43.0,0.741875,3.78416666667
VT,-62.0,VT_1,-40.0,0.481041666667,2.28
VT,-62.0,VT_1,-37.0,0.301875,1.42333333333
VT,-59.0,VT_1,-67.0,333.304375,317.453333333
VT,-59.0,VT_1,-64.0,312.09,312.146666666
VT,-59.0,VT_1,-61.0,160.402083333,168.7475
VT,-59.0,VT_1,-58.0,4.67229166667,14.9583333333
VT,-59.0,VT_1,-55.0,3.138125,11.5816666667
VT,-59.0,VT_1,-52.0,2.34083333333,8.86083333333
VT,-59.0,VT_1,-49.0,1.696875,6.51166666667
VT,-59.0,VT_1,-46.0,1.189375,4.6175
VT,-59.0,VT_1,-43.0,0.819166666667,2.80916666667
VT,-59.0,VT_1,-40.0,0.517916666667,1.66583333333
VT,-59.0,VT_1,-37.0,0.326666666667,0.990833333333
VT,-56.0,VT_1,-67.0,333.283125,311.721666667
VT,-56.0,VT_1,-64.0,312.883958334,312.463333333
VT,-56.0,VT_1,-61.0,285.985625,286.675
VT,-56.0,VT_1,-58.0,6.174375,15.8125
VT,-56.0,VT_1,-55.0,3.814375,11.0766666667
VT,-56.0,VT_1,-52.0,2.75770833333,8.07
VT,-56.0,VT_1,-49.0,1.924375,5.4675
VT,-56.0,VT_1,-46.0,1.33104166667,3.49583333333
VT,-56.0,VT_1,-43.0,0.887291666666,2.11833333334
VT,-56.0,VT_1,-40.0,0.551875,1.15666666667
VT,-56.0,VT_1,-37.0,0.340833333333,0.703333333333
VT,-53.0,VT_1,-67.0,333.286041667,308.010833333
VT,-53.0,VT_1,-64.0,315.251041667,309.7175
VT,-53.0,VT_1,-61.0,292.477708333,292.569166667
VT,-53.0,VT_1,-58.0,30.1116666667,39.8058333333
VT,-53.0,VT_1,-55.0,5.0175,11.07
VT,-53.0,VT_1,-52.0,3.24083333333,7.43833333333
VT,-53.0,VT_1,-49.0,2.21854166667,4.68166666667
VT,-53.0,VT_1,-46.0,1.47291666667,2.89416666667
VT,-53.0,VT_1,-43.0,0.958749999999,1.61583333333
VT,-53.0,VT_1,-40.0,0.579791666667,0.880833333334
VT,-53.0,VT_1,-37.0,0.358125,0.53
VT,-50.0,VT_1,-67.0,333.291666667,303.445833333
VT,-50.0,VT_1,-64.0,316.040833333,305.100833333
VT,-50.0,VT_1,-61.0,292.270833333,292.314166667
VT,-50.0,VT_1,-58.0,252.52375,254.764166667
VT,-50.0,VT_1,-55.0,6.63354166667,12.3591666667
VT,-50.0,VT_1,-52.0,3.843125,6.9675
VT,-50.0,VT_1,-49.0,2.49020833334,4.14416666667
VT,-50.0,VT_1,-46.0,1.57791666667,2.40083333333
VT,-50.0,VT_1,-43.0,1.013125,1.32166666667
VT,-50.0,VT_1,-40.0,0.60625,0.690833333333
VT,-50.0,VT_1,-37.0,0.368541666667,0.408333333334
VT,-47.0,VT_1,-67.0,333.298958333,299.546666667
VT,-47.0,VT_1,-64.0,316.091041667,300.749166667
VT,-47.0,VT_1,-61.0,292.308333333,292.475833333
VT,-47.0,VT_1,-58.0,270.7625,271.37
VT,-47.0,VT_1,-55.0,8.713125,14.3158333334
VT,-47.0,VT_1,-52.0,4.63520833333,7.095
VT,-47.0,VT_1,-49.0,2.801875,3.8025
VT,-47.0,VT_1,-46.0,1.71479166667,2.08083333333
VT,-47.0,VT_1,-43.0,1.06458333333,1.07666666667
VT,-47.0,VT_1,-40.0,0.623125,0.549166666667
VT,-47.0,VT_1,-37.0,0.375416666667,0.3325
VT,-44.0,VT_1,-67.0,333.297916667,295.65
VT,-44.0,VT_1,-64.0,316.039166667,295.19
VT,-44.0,VT_1,-61.0,296.722291667,292.728333333
