Dimension-1 Parameter,Dimension-1 Value,Coherence_NG3_L4_SS_L4_Sum_mean,GrCaus_NG3_L4_SS_L4_Information_mean,NormError_SimErr_mean,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_mean
delay_CI_CI,0.5,7.87222763154,2.12607640728,1.56580295898,0.0373045821056
delay_CI_CI,0.75,7.80674415484,2.10384866862,1.56331075075,0.0380816334449
delay_CI_CI,1.0,7.77718167014,2.09594620513,1.55671684426,0.0386203573305
delay_CI_CI,1.25,7.76394629017,2.07950188466,1.5523636327,0.03797538207
delay_CI_CI,1.5,7.78590747771,2.07091994728,1.55343854233,0.0376970020715
delay_CI_CI,1.75,7.79403012232,2.08856829612,1.5497726145,0.0387468544492
delay_CI_CI,2.0,7.79584505783,2.10537307355,1.54875674468,0.0367566029571
delay_CI_CI,2.25,7.78727990613,2.09828803973,1.55023074102,0.0368030337835
delay_CI_CI,2.5,7.77685604549,2.10417895119,1.54917576011,0.0366741657056
delay_CI_CI,2.75,7.73556164926,2.09888425675,1.55111417574,0.0364431528882
delay_CI_CI,3.0,7.74333005462,2.10939176428,1.54697040764,0.0355022446619
delay_CI_CI,3.25,7.73460739241,2.11014365635,1.54742401598,0.0361233029561
delay_CI_CI,3.5,7.74422541116,2.12116242748,1.5469927813,0.0355771116324
delay_CI_CI,3.75,7.795099201,2.1328806113,1.54201951469,0.0356396756547
delay_CI_CI,4.0,7.79570368906,2.14848914835,1.53712910425,0.0362077478503
delay_CI_CI,4.25,7.83036033414,2.16180082889,1.53932609368,0.035146568837
delay_CI_CI,4.5,7.84401093747,2.17063851783,1.53988227341,0.0351079501948
delay_CI_CI,4.75,7.87348891328,2.15956530135,1.53766196103,0.0364312416649
delay_CI_CI,5.0,7.89821023343,2.17059480697,1.53948971981,0.0366640070016
delay_CI_CI,5.25,7.91990345407,2.18624690027,1.54850111493,0.0354513095468
delay_CI_CI,5.5,7.9186817342,2.19615920174,1.54396528624,0.0342891834336
delay_CI_CI,5.75,7.91829816898,2.21210254704,1.54179179465,0.0356258979606
delay_CI_CI,6.0,7.96356798974,2.20903305926,1.544592102,0.0375117314891
delay_CI_CI,6.25,7.96788214929,2.21860951407,1.52919963347,0.0367788417662
delay_CI_CI,6.5,7.99375381937,2.22384433939,1.52631782029,0.0373457520526
delay_CI_CI,6.75,7.88132579554,2.19594135879,1.52088551839,0.0378422267723
delay_CI_CI,7.0,7.89503634592,2.19565079653,1.51857606709,0.0370114581434
delay_CI_CI,7.25,7.93167546228,2.21342830407,1.51791510799,0.0362043344671
delay_CI_CI,7.5,7.9396738595,2.21078778502,1.51307525875,0.0361196180938
delay_CI_CI,7.75,7.9395275155,2.21798891237,1.51389601747,0.0355538903747
delay_CI_CI,8.0,7.93437310682,2.20880092523,1.5116290154,0.0362067812167
delay_CI_CI,8.25,7.92222191432,2.22608917577,1.50783936643,0.0371533573981
delay_CI_CI,8.5,7.9365001349,2.21650475274,1.51129823275,0.037331548869
delay_CI_CI,8.75,7.94608626198,2.19592703993,1.5068430199,0.0354447347882
delay_CI_CI,9.0,7.99907815069,2.19718016453,1.5071834506,0.0347586480904
delay_CI_CI,9.25,7.98843257965,2.21875652069,1.50778643116,0.0335547610841
delay_CI_CI,9.5,8.03564839482,2.22579456169,1.50599556421,0.0347980956982
delay_CI_CI,9.75,8.03309309503,2.26533965406,1.50534588428,0.0345872935113
delay_CI_CI,10.0,8.03503150483,2.26361004941,1.50297113774,0.0356109454851
delay_CI_CI,10.25,8.0562572288,2.25509518519,1.5072376369,0.0342170790486
delay_CI_CI,10.5,8.08431932754,2.2562934768,1.50684507163,0.034257380236
delay_CI_CI,10.75,8.07991223073,2.25528137139,1.50072268108,0.0378030543051
delay_CI_CI,11.0,8.1007379343,2.27887334717,1.50194491606,0.0377306519759
delay_CI_CI,11.25,8.11626485718,2.2635649346,1.50319406765,0.0371854965826
delay_CI_CI,11.5,8.10186232763,2.26299158706,1.49621072748,0.0364728998674
delay_CI_CI,11.75,8.12238748888,2.25250868755,1.50093570967,0.037569196566
delay_CI_CI,12.0,8.12972165754,2.25473874996,1.49992660247,0.0366345594044
delay_CI_CI,12.25,8.10043784008,2.25524616126,1.50565970851,0.0366184057767
