Dimension-1 Parameter,Dimension-1 Value,MeanFR_NG1_L4_CI_SS_L4_mean,MeanFR_NG2_L4_CI_BC_L4_mean
delay_CI_CI,0.5,1.00041666667,0.354166666667
delay_CI_CI,0.75,1.00708333333,0.389166666667
delay_CI_CI,1.0,1.0025,0.415833333334
delay_CI_CI,1.25,1.00708333333,0.46
delay_CI_CI,1.5,1.01125,0.478333333333
delay_CI_CI,1.75,1.01604166667,0.511666666667
delay_CI_CI,2.0,1.01625,0.528333333334
delay_CI_CI,2.25,1.01416666667,0.565
delay_CI_CI,2.5,1.01729166667,0.580833333333
delay_CI_CI,2.75,1.01604166667,0.595
delay_CI_CI,3.0,1.01770833333,0.616666666667
delay_CI_CI,3.25,1.01729166667,0.649166666667
delay_CI_CI,3.5,1.02041666667,0.660833333333
delay_CI_CI,3.75,1.02645833333,0.675
delay_CI_CI,4.0,1.030625,0.6925
delay_CI_CI,4.25,1.03708333333,0.7125
delay_CI_CI,4.5,1.040625,0.725
delay_CI_CI,4.75,1.04479166667,0.74
delay_CI_CI,5.0,1.050625,0.754166666667
delay_CI_CI,5.25,1.05625,0.765833333333
delay_CI_CI,5.5,1.06166666667,0.784166666667
delay_CI_CI,5.75,1.068125,0.7875
delay_CI_CI,6.0,1.07979166667,0.811666666666
delay_CI_CI,6.25,1.1075,0.8575
delay_CI_CI,6.5,1.11708333333,0.870833333333
delay_CI_CI,6.75,1.113125,0.883333333334
delay_CI_CI,7.0,1.11791666667,0.894166666666
delay_CI_CI,7.25,1.12395833333,0.904166666668
delay_CI_CI,7.5,1.1275,0.921666666666
delay_CI_CI,7.75,1.13333333333,0.93
delay_CI_CI,8.0,1.13833333334,0.935833333334
delay_CI_CI,8.25,1.14583333333,0.961666666666
delay_CI_CI,8.5,1.14791666667,0.963333333334
delay_CI_CI,8.75,1.164375,0.985833333333
delay_CI_CI,9.0,1.174375,0.998333333334
delay_CI_CI,9.25,1.17270833333,0.99
delay_CI_CI,9.5,1.18729166667,1.0025
delay_CI_CI,9.75,1.19416666667,0.999166666668
delay_CI_CI,10.0,1.20375,1.01416666667
delay_CI_CI,10.25,1.21645833333,1.0225
delay_CI_CI,10.5,1.22895833333,1.0375
delay_CI_CI,10.75,1.23166666667,1.06
delay_CI_CI,11.0,1.23333333333,1.04166666667
delay_CI_CI,11.25,1.243125,1.065
delay_CI_CI,11.5,1.25604166667,1.0925
delay_CI_CI,11.75,1.24791666667,1.07833333333
delay_CI_CI,12.0,1.24979166667,1.0825
delay_CI_CI,12.25,1.254375,1.105
delay_CI_CI,12.5,1.25708333333,1.1175
delay_CI_CI,12.75,1.26395833333,1.12083333333
delay_CI_CI,13.0,1.26875,1.1275
delay_CI_CI,13.25,1.279375,1.15
delay_CI_CI,13.5,1.28645833333,1.15333333333
delay_CI_CI,13.75,1.29416666667,1.17166666667
delay_CI_CI,14.0,1.29625,1.19166666667
delay_CI_CI,14.25,1.30604166667,1.195
delay_CI_CI,14.5,1.308125,1.19166666667
delay_CI_CI,14.75,1.31333333334,1.20833333333
delay_CI_CI,15.0,1.31395833333,1.2125
delay_CI_CI,15.25,1.31229166667,1.215
delay_CI_CI,15.5,1.32041666667,1.22416666667
delay_CI_CI,15.75,1.32854166667,1.235
delay_CI_CI,16.0,1.333125,1.23416666667
delay_CI_CI,16.25,1.34833333333,1.24583333333
delay_CI_CI,16.5,1.35729166667,1.25666666667
delay_CI_CI,16.75,1.35833333333,1.24916666667
delay_CI_CI,17.0,1.37145833333,1.26083333333
delay_CI_CI,17.25,1.381875,1.2725
delay_CI_CI,17.5,1.38854166667,1.27
delay_CI_CI,17.75,1.40416666667,1.26833333333
delay_CI_CI,18.0,1.4175,1.27916666667
delay_CI_CI,18.25,1.44666666667,1.30416666667
delay_CI_CI,18.5,1.45708333333,1.3275
delay_CI_CI,18.75,1.47145833333,1.35416666667
delay_CI_CI,19.0,1.47375,1.36333333333
delay_CI_CI,19.25,1.47625,1.35916666667
delay_CI_CI,19.5,1.51333333334,1.415
delay_CI_CI,19.75,1.535,1.42416666667
delay_CI_CI,20.0,1.52645833333,1.415
delay_CI_CI,20.25,1.505625,1.40916666667
delay_CI_CI,20.5,1.53354166667,1.4425
delay_CI_CI,20.75,1.59104166667,1.51916666667
delay_CI_CI,21.0,1.60895833333,1.53333333333
delay_CI_CI,21.25,1.61041666667,1.52083333334
delay_CI_CI,21.5,1.62916666667,1.53916666667
delay_CI_CI,21.75,1.62541666667,1.5575
delay_CI_CI,22.0,1.628125,1.56083333333
delay_CI_CI,22.25,1.63729166667,1.5775
delay_CI_CI,22.5,1.62958333333,1.6075
delay_CI_CI,22.75,1.64,1.58
delay_CI_CI,23.0,1.663125,1.6125
delay_CI_CI,23.25,1.68333333333,1.62333333333
delay_CI_CI,23.5,1.68916666667,1.64333333333
delay_CI_CI,23.75,1.71333333333,1.67666666667
delay_CI_CI,24.0,1.73395833333,1.71833333333
delay_CI_CI,24.25,1.73125,1.74
delay_CI_CI,24.5,1.74770833333,1.75166666667
delay_CI_CI,24.75,1.76020833333,1.77166666667
