Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,Coherence_NG3_L4_SS_L4_Sum_accuracy,GrCaus_NG3_L4_SS_L4_Information_accuracy,NormError_SimErr_accuracy,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_accuracy,Coherence_NG3_L4_SS_L4_Sum_p,GrCaus_NG3_L4_SS_L4_Information_p,NormError_SimErr_p,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_p,Coherence_NG3_L4_SS_L4_Sum_conf_min,GrCaus_NG3_L4_SS_L4_Information_conf_min,NormError_SimErr_conf_min,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_conf_min,Coherence_NG3_L4_SS_L4_Sum_conf_max,GrCaus_NG3_L4_SS_L4_Information_conf_max,NormError_SimErr_conf_max,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_conf_max
gL,1.0,gL_1,0.5,1.0,1.0,0.233333333333,0.733333333333,0.0,0.0,0.833,0.0,0.884,0.884,0.099,0.541,1.0,1.0,0.423,0.877
gL,1.0,gL_1,1.5,1.0,1.0,0.333333333333,0.8,0.0,0.0,0.415,0.0,0.884,0.884,0.173,0.614,1.0,1.0,0.528,0.923
gL,1.0,gL_1,2.5,1.0,1.0,0.433333333333,0.766666666667,0.0,0.0,0.09,0.0,0.884,0.884,0.255,0.577,1.0,1.0,0.626,0.901
gL,1.0,gL_1,3.5,0.966666666667,1.0,0.466666666667,0.8,0.0,0.0,0.043,0.0,0.828,0.884,0.283,0.614,0.999,1.0,0.657,0.923
gL,1.0,gL_1,4.5,1.0,1.0,0.533333333333,0.8,0.0,0.0,0.007,0.0,0.884,0.884,0.343,0.614,1.0,1.0,0.717,0.923
gL,1.0,gL_1,5.5,0.933333333333,0.9,0.433333333333,0.666666666667,0.0,0.0,0.09,0.0,0.779,0.735,0.255,0.472,0.992,0.979,0.626,0.827
gL,1.0,gL_1,6.5,0.7,0.666666666667,0.433333333333,0.533333333333,0.0,0.0,0.09,0.007,0.506,0.472,0.255,0.343,0.853,0.827,0.626,0.717
gL,1.0,gL_1,7.5,0.633333333333,0.633333333333,0.533333333333,0.666666666667,0.0,0.0,0.007,0.0,0.439,0.439,0.343,0.472,0.801,0.801,0.717,0.827
gL,1.0,gL_1,8.5,0.433333333333,0.433333333333,0.533333333333,0.433333333333,0.09,0.09,0.007,0.09,0.255,0.255,0.343,0.255,0.626,0.626,0.717,0.626
gL,1.0,gL_1,9.5,0.2,0.466666666667,0.466666666667,0.466666666667,0.916,0.043,0.043,0.043,0.077,0.283,0.283,0.283,0.386,0.657,0.657,0.657
gL,1.0,gL_1,10.5,0.333333333333,0.3,0.366666666667,0.366666666667,0.415,0.568,0.276,0.276,0.173,0.147,0.199,0.199,0.528,0.494,0.561,0.561
gL,1.0,gL_1,11.5,0.333333333333,0.3,0.333333333333,0.366666666667,0.415,0.568,0.415,0.276,0.173,0.147,0.173,0.199,0.528,0.494,0.528,0.561
gL,1.0,gL_1,12.5,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.415,0.415,0.415,0.415,0.173,0.173,0.173,0.173,0.528,0.528,0.528,0.528
gL,1.0,gL_1,13.5,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.415,0.415,0.415,0.415,0.173,0.173,0.173,0.173,0.528,0.528,0.528,0.528
gL,1.0,gL_1,14.5,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.415,0.415,0.415,0.415,0.173,0.173,0.173,0.173,0.528,0.528,0.528,0.528
gL,2.0,gL_1,0.5,1.0,1.0,0.366666666667,0.833333333333,0.0,0.0,0.276,0.0,0.884,0.884,0.199,0.653,1.0,1.0,0.561,0.944
