Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,Coherence_NG3_L4_SS_L4_Sum_mean,GrCaus_NG3_L4_SS_L4_Information_mean,NormError_SimErr_mean,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_mean
gL,1.0,gL_1,0.5,10.0646749711,2.78623967275,2.18751530666,0.0379660279781
gL,1.0,gL_1,1.5,9.3345632958,2.54416316359,1.95376213118,0.0398680852208
gL,1.0,gL_1,2.5,8.44675012931,2.30497811093,1.78641799719,0.0383351611239
gL,1.0,gL_1,3.5,7.81519725819,2.10928583107,1.58682949564,0.0368288923565
gL,1.0,gL_1,4.5,6.65581855925,1.67515436925,1.43402254383,0.0312481011914
gL,1.0,gL_1,5.5,6.00746067293,1.2376640184,1.3537384774,0.0278252362231
gL,1.0,gL_1,6.5,5.4392980223,0.685321788642,1.3485737289,0.0211595956761
gL,1.0,gL_1,7.5,5.07538841725,0.45910536807,1.3707590704,0.0199112607645
gL,1.0,gL_1,8.5,4.75255872409,0.05211553615,1.44118008365,0.0165723543229
gL,1.0,gL_1,9.5,4.67957776971,0.0162333423842,1.4400632094,0.00945729354179
gL,1.0,gL_1,10.5,4.6992209111,-0.0497086864825,1.41527996336,0.0049470355459
gL,1.0,gL_1,11.5,4.65223390725,-0.197111652061,1.35640676111,0.000655032682436
gL,1.0,gL_1,12.5,,,,0.0
gL,1.0,gL_1,13.5,,,,0.0
gL,1.0,gL_1,14.5,,,,0.0
gL,2.0,gL_1,0.5,11.334145302,3.15514607518,2.18227736342,0.0404339782137
gL,2.0,gL_1,1.5,10.1743590847,2.8283631866,1.97549671407,0.0384009640368
gL,2.0,gL_1,2.5,8.76549100251,2.44166093696,1.80466937484,0.0384260380092
gL,2.0,gL_1,3.5,7.95994988185,2.15020880154,1.59383119514,0.0372424242714
gL,2.0,gL_1,4.5,6.75040788596,1.70406813963,1.44580393024,0.0302346719115
gL,2.0,gL_1,5.5,6.04961387132,1.25149378898,1.35408252005,0.0276606379222
gL,2.0,gL_1,6.5,5.43603969077,0.661804271053,1.34773761466,0.0221158407189
gL,2.0,gL_1,7.5,5.06840245356,0.457997561303,1.36925776568,0.0195383931246
gL,2.0,gL_1,8.5,4.74766604302,-0.00207848017774,1.45452802325,0.016396996423
gL,2.0,gL_1,9.5,4.67957776971,0.0162333423842,1.4400632094,0.00945729354179
gL,2.0,gL_1,10.5,4.6992209111,-0.0497086864825,1.41527996336,0.0049470355459
gL,2.0,gL_1,11.5,4.65223390725,-0.197111652061,1.35640676111,0.000655032682436
gL,2.0,gL_1,12.5,,,,0.0
gL,2.0,gL_1,13.5,,,,0.0
gL,2.0,gL_1,14.5,,,,0.0
gL,3.0,gL_1,0.5,13.0845792641,3.55157154014,2.15320688735,0.0482659902743
gL,3.0,gL_1,1.5,11.0591282157,3.00631539402,2.04701210303,0.040643049598
gL,3.0,gL_1,2.5,9.27945410431,2.58824761173,1.85521267674,0.0409500627759
gL,3.0,gL_1,3.5,8.0610283082,2.24500047181,1.61263696754,0.0396175433362
gL,3.0,gL_1,4.5,6.78542664842,1.72997403716,1.44213552972,0.0333627897551
gL,3.0,gL_1,5.5,6.04242178422,1.25555722255,1.35598184864,0.0279404687708
gL,3.0,gL_1,6.5,5.44152187334,0.742460616404,1.36122223853,0.0228407687015
gL,3.0,gL_1,7.5,5.04729611683,0.457599763479,1.37309375377,0.019096041855
gL,3.0,gL_1,8.5,4.74770591603,-0.00203908871124,1.45452361981,0.016396996423
gL,3.0,gL_1,9.5,4.67957776971,0.0162333423842,1.4400632094,0.00945729354179
gL,3.0,gL_1,10.5,4.6992209111,-0.0497086864825,1.41527996336,0.0049470355459
gL,3.0,gL_1,11.5,4.65223390725,-0.197111652061,1.35640676111,0.000655032682436
gL,3.0,gL_1,12.5,,,,0.0
gL,3.0,gL_1,13.5,,,,0.0
gL,3.0,gL_1,14.5,,,,0.0
gL,4.0,gL_1,0.5,14.8344960007,4.01612442577,2.15072241982,0.0678158474276
gL,4.0,gL_1,1.5,12.2108919073,3.34491362125,2.07142221999,0.042670057487
gL,4.0,gL_1,2.5,9.84476907715,2.75124194847,1.86091115635,0.0381735565483
gL,4.0,gL_1,3.5,8.2012626794,2.26381886601,1.60219016688,0.0377845851315
gL,4.0,gL_1,4.5,6.85459222783,1.77433247932,1.44182312263,0.0337525564836
gL,4.0,gL_1,5.5,6.04956526578,1.30124658705,1.3611063455,0.0271735413404
gL,4.0,gL_1,6.5,5.42764581444,0.744405866771,1.35983819138,0.0218234805508
gL,4.0,gL_1,7.5,5.04341055087,0.447227794586,1.37505910312,0.0196612501788
gL,4.0,gL_1,8.5,4.74770591603,-0.00203908871124,1.45452361981,0.016396996423
gL,4.0,gL_1,9.5,4.67957776971,0.0162333423842,1.4400632094,0.00945729354179
gL,4.0,gL_1,10.5,4.6992209111,-0.0497086864825,1.41527996336,0.0049470355459
gL,4.0,gL_1,11.5,4.65223390725,-0.197111652061,1.35640676111,0.000655032682436
gL,4.0,gL_1,12.5,,,,0.0
gL,4.0,gL_1,13.5,,,,0.0
gL,4.0,gL_1,14.5,,,,0.0
gL,5.0,gL_1,0.5,15.7310475742,4.11673945087,2.03381272195,0.109292849485
gL,5.0,gL_1,1.5,12.8163631517,3.5192469912,1.91706980105,0.0479335691996
gL,5.0,gL_1,2.5,10.456373081,2.95326365587,1.87189116421,0.0391847243165
gL,5.0,gL_1,3.5,8.56380335494,2.39571961966,1.60759678597,0.0391378048486
