Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,Coherence_NG3_L4_SS_L4_Mean_mean,GrCaus_NG3_L4_SS_L4_Information_mean,NormError_SimErr_mean,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_mean
C,30.0,C_1,30.0,29.3056554929,7.38524513294,0.651715544592,0.591241741378
C,30.0,C_1,40.0,29.2790951,7.97643897652,0.560352624201,0.610504313404
C,30.0,C_1,50.0,23.1052939753,6.61577317957,0.945127718537,0.404788193411
C,30.0,C_1,60.0,14.2982606713,3.96901922491,1.1453647538,0.101772179249
C,30.0,C_1,70.0,13.1846019259,3.73655643272,1.46918436239,0.0592036110703
C,30.0,C_1,80.0,12.110870046,3.41665153454,1.59814582873,0.055052133096
C,30.0,C_1,90.0,11.1239645754,3.1817039639,1.72083760282,0.0465129380723
C,30.0,C_1,100.0,10.8845038474,3.04376457431,1.72577804996,0.0431805847569
C,30.0,C_1,110.0,10.136875083,2.81129880431,1.72346339246,0.0425699488727
C,30.0,C_1,120.0,9.84939402947,2.71442754425,1.75474409053,0.042876281135
C,40.0,C_1,30.0,28.3912604907,7.74939211819,0.601811066996,0.575200036394
C,40.0,C_1,40.0,29.1868269507,8.157708982,0.567053832034,0.615172974256
C,40.0,C_1,50.0,28.9838749928,8.24895307526,0.650612686254,0.544534143811
C,40.0,C_1,60.0,16.3028742408,4.40368147017,1.53741336285,0.177926504745
C,40.0,C_1,70.0,14.7826061084,4.10506678167,1.23285692244,0.103740405499
C,40.0,C_1,80.0,13.1675511427,3.63487558786,1.47634701233,0.052524137625
C,40.0,C_1,90.0,12.440529163,3.49881757897,1.62329604697,0.0520085178387
C,40.0,C_1,100.0,11.6790697646,3.3243233511,1.68010405475,0.0492078260238
C,40.0,C_1,110.0,11.31231865,3.10307573013,1.72409898547,0.0466016472204
C,40.0,C_1,120.0,10.6578383543,3.0395875285,1.78165140729,0.0412131254282
C,50.0,C_1,30.0,25.0694291991,6.73736411482,0.918939880267,0.463740172397
C,50.0,C_1,40.0,28.3270891571,7.95966058148,0.583787361386,0.603166419412
C,50.0,C_1,50.0,29.055220152,8.36548659253,0.62721767058,0.521828097769
C,50.0,C_1,60.0,29.3237676197,8.27145988732,0.747457250602,0.413611276864
C,50.0,C_1,70.0,15.1998107375,4.20001468163,1.22904180098,0.169071215457
C,50.0,C_1,80.0,14.5337919074,4.02665464528,1.37036403922,0.0882080247179
C,50.0,C_1,90.0,13.6615021971,3.81337117941,1.5248413731,0.0660189122831
C,50.0,C_1,100.0,12.7403453705,3.45133929963,1.64590828142,0.0493890267659
C,50.0,C_1,110.0,11.9609065106,3.30621936686,1.70396855036,0.042386852625
C,50.0,C_1,120.0,11.4936408815,3.17179895619,1.76590890821,0.0437623057838
C,60.0,C_1,30.0,24.319837289,5.59702526977,0.713178715225,0.47020274201
C,60.0,C_1,40.0,29.0728083031,7.63578706954,0.775518369047,0.168998303223
C,60.0,C_1,50.0,29.4995513973,8.5115833097,0.627908291953,0.512076788326
C,60.0,C_1,60.0,29.4748590813,8.25725930448,0.753995723922,0.43748034329
C,60.0,C_1,70.0,26.768739507,7.4344167362,1.02736781671,0.244195762856
C,60.0,C_1,80.0,15.6826827758,4.30198658986,1.25982774955,0.137511037983
C,60.0,C_1,90.0,14.4061638072,4.04402145144,1.463247371,0.08292440632
C,60.0,C_1,100.0,13.4724370092,3.70079908309,1.57000712954,0.0589540274524
C,60.0,C_1,110.0,12.6183154216,3.50880567596,1.68978951107,0.0531657224663
C,60.0,C_1,120.0,11.9031021289,3.24090521835,1.74380589605,0.0426438596272
C,70.0,C_1,30.0,22.4805537318,5.38138352715,0.706753022177,0.408759935178
C,70.0,C_1,40.0,23.8416358104,6.61932688123,1.15416600733,0.379412439951
C,70.0,C_1,50.0,29.7297240655,8.23224734433,0.84714693902,0.190408690035
C,70.0,C_1,60.0,29.9693263371,8.4982865729,0.731730434164,0.429580506272
C,70.0,C_1,70.0,30.1052662815,8.39264504968,0.865259752582,0.364063237933
C,70.0,C_1,80.0,25.4270590453,6.83653910258,1.09381878694,0.168605010165
C,70.0,C_1,90.0,15.2313514495,4.24324389433,1.39310915177,0.116991856553
C,70.0,C_1,100.0,14.206540595,3.8703707425,1.57628458733,0.0717858177251
C,70.0,C_1,110.0,13.1938552306,3.62139172502,1.66188953996,0.0540617640296
C,70.0,C_1,120.0,12.6809986161,3.42047185845,1.74252184524,0.047489506648
C,80.0,C_1,30.0,22.3413466704,5.402020369,0.697146850084,0.407157419261
C,80.0,C_1,40.0,23.0109586008,5.75611977703,0.674197606532,0.319820711006
C,80.0,C_1,50.0,29.0128364977,7.50557860644,0.963221157586,0.103509709654
C,80.0,C_1,60.0,30.6967091892,8.59851159807,0.84886917408,0.275775523706
C,80.0,C_1,70.0,30.5076646776,8.69568033852,0.85159240699,0.371613231352
C,80.0,C_1,80.0,27.8331367176,7.82283344901,1.08124724266,0.232497935781
C,80.0,C_1,90.0,14.0202321013,3.7861123122,1.45533282629,0.123342787098
C,80.0,C_1,100.0,14.7579361161,4.02678346563,1.52248411799,0.0869120178433
C,80.0,C_1,110.0,13.6671852847,3.72669396493,1.63834203299,0.0605432218255
C,80.0,C_1,120.0,13.0716041787,3.53314544976,1.7495063386,0.0471353288335
C,90.0,C_1,30.0,21.255379216,5.17984080348,0.698057402976,0.364140596485
C,90.0,C_1,40.0,21.8956783227,5.40250248108,0.609644450858,0.284499095227
C,90.0,C_1,50.0,25.5551105888,6.77313225566,1.18527550088,0.198634014267
C,90.0,C_1,60.0,30.7495400492,8.47816187556,1.01378202359,0.0594201558149
C,90.0,C_1,70.0,30.5562484316,8.82945495622,0.837614893122,0.303528278522
C,90.0,C_1,80.0,29.5602736834,8.32672004033,0.953773251501,0.280685826688
C,90.0,C_1,90.0,21.4272564424,5.80660225881,1.26476308558,0.14124820274
C,90.0,C_1,100.0,14.8229798301,4.09966377776,1.44282086795,0.109720439574
C,90.0,C_1,110.0,13.9504229115,3.79150252062,1.59910820207,0.0692466005773
C,90.0,C_1,120.0,13.2351181541,3.67002533935,1.72718864684,0.0483849058066
C,100.0,C_1,30.0,20.7237382351,5.02295013253,0.712563746623,0.358223802019
