Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,Coherence_NG3_L4_SS_L4_Mean_mean,GrCaus_NG3_L4_SS_L4_Information_mean,NormError_SimErr_mean,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_mean
EL,-85.0,EL_1,-85.0,6.02937392716,1.14751731836,1.48917809418,0.0297514217841
EL,-85.0,EL_1,-80.0,8.79957780118,2.42625010844,1.59498556199,0.0375818916196
EL,-85.0,EL_1,-75.0,18.411349129,4.9664054157,1.31310723996,0.226134352008
EL,-85.0,EL_1,-70.0,23.0204508863,5.99378275188,1.29602438962,0.176158126142
EL,-85.0,EL_1,-65.0,24.7210498823,6.49331926668,1.35537039303,0.138416096389
EL,-85.0,EL_1,-60.0,25.9540465777,6.70421002806,1.37547952738,0.14670290627
EL,-85.0,EL_1,-55.0,25.776062637,6.89265425893,1.344326754,0.146810231175
EL,-85.0,EL_1,-50.0,26.0503095066,7.06276218572,1.31817469932,0.167405690941
EL,-85.0,EL_1,-45.0,27.6129660047,7.4729877639,1.30884935029,0.151235701174
EL,-85.0,EL_1,-40.0,27.9097089843,7.70405853957,1.29256050058,0.161203614631
EL,-85.0,EL_1,-35.0,28.6636430447,7.92534284838,1.26327870355,0.167685805806
EL,-85.0,EL_1,-30.0,29.0836474934,8.00950678617,1.27085899012,0.162806017496
EL,-85.0,EL_1,-25.0,30.3230832403,8.47184602714,1.25555447833,0.159748539779
EL,-80.0,EL_1,-85.0,6.01197255403,1.16108685371,1.49859157856,0.0311326578217
EL,-80.0,EL_1,-80.0,8.72898521676,2.42220009995,1.60699803989,0.0382826865101
EL,-80.0,EL_1,-75.0,12.952013386,3.45271633655,1.59410679028,0.0655888288246
EL,-80.0,EL_1,-70.0,21.7997689806,5.73527949307,1.3050044766,0.192248525032
EL,-80.0,EL_1,-65.0,25.6129293485,6.50769691966,1.38106734464,0.149196771223
EL,-80.0,EL_1,-60.0,25.6045535448,6.81652711909,1.38280204358,0.134738658638
EL,-80.0,EL_1,-55.0,25.8886461258,6.99315929918,1.34287581817,0.14572883798
EL,-80.0,EL_1,-50.0,26.7763277457,7.31405266775,1.32239460838,0.155762631478
EL,-80.0,EL_1,-45.0,27.599055344,7.48469256495,1.32188302355,0.159466473331
EL,-80.0,EL_1,-40.0,28.5003505457,7.79454658022,1.31470639204,0.165905690825
EL,-80.0,EL_1,-35.0,29.1860061744,8.00728741932,1.28067775517,0.174772529003
EL,-80.0,EL_1,-30.0,29.4645520754,8.17415771817,1.27213623525,0.17201417211
EL,-80.0,EL_1,-25.0,29.6196013687,8.24093031845,1.2586640407,0.171334104441
EL,-75.0,EL_1,-85.0,5.95709689651,1.12633928876,1.490431027,0.0305142235156
EL,-75.0,EL_1,-80.0,8.53336904547,2.38227692071,1.61787606342,0.0382663219255
EL,-75.0,EL_1,-75.0,12.0603710457,3.35242279402,1.75553400771,0.0419503788172
EL,-75.0,EL_1,-70.0,19.8618544763,5.40413944432,1.28332546544,0.217518298934
EL,-75.0,EL_1,-65.0,25.1318482233,6.53817807371,1.3966064454,0.138058020896
EL,-75.0,EL_1,-60.0,25.6172047216,6.83838950175,1.36673455894,0.137075176438
EL,-75.0,EL_1,-55.0,26.0678589448,7.06333626704,1.35364008923,0.145864417661
EL,-75.0,EL_1,-50.0,27.5491225825,7.44268916554,1.32944462297,0.150149347282
