Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,MeanFR_NG1_L4_CI_SS_L4_mean,MeanFR_NG2_L4_CI_BC_L4_mean
EL,-85.0,EL_1,-85.0,0.519375,0.0158333333333
EL,-85.0,EL_1,-80.0,1.66645833333,0.241666666667
EL,-85.0,EL_1,-75.0,54.891875,63.5375
EL,-85.0,EL_1,-70.0,129.179791667,143.611666667
EL,-85.0,EL_1,-65.0,166.788958333,175.809166667
EL,-85.0,EL_1,-60.0,178.117916667,184.926666667
EL,-85.0,EL_1,-55.0,183.414375,189.22
EL,-85.0,EL_1,-50.0,187.829166667,192.8775
EL,-85.0,EL_1,-45.0,190.849583333,195.440833333
EL,-85.0,EL_1,-40.0,193.259583333,197.5475
EL,-85.0,EL_1,-35.0,195.554375,199.435833333
EL,-85.0,EL_1,-30.0,197.493125,201.2475
EL,-85.0,EL_1,-25.0,199.144166667,202.671666667
EL,-80.0,EL_1,-85.0,0.512291666667,0.0508333333334
EL,-80.0,EL_1,-80.0,1.53770833333,0.3175
EL,-80.0,EL_1,-75.0,7.3875,6.2975
EL,-80.0,EL_1,-70.0,111.507708333,127.735
EL,-80.0,EL_1,-65.0,166.639166667,176.120833333
EL,-80.0,EL_1,-60.0,180.505833333,187.0425
EL,-80.0,EL_1,-55.0,185.836041667,191.374166667
EL,-80.0,EL_1,-50.0,189.371458333,194.180833333
EL,-80.0,EL_1,-45.0,192.28875,196.741666667
EL,-80.0,EL_1,-40.0,194.683541667,198.761666667
EL,-80.0,EL_1,-35.0,196.903125,200.750833333
EL,-80.0,EL_1,-30.0,198.958958333,202.555
EL,-80.0,EL_1,-25.0,200.679166667,204.096666667
EL,-75.0,EL_1,-85.0,0.490833333334,0.1075
EL,-75.0,EL_1,-80.0,1.4075,0.484166666667
EL,-75.0,EL_1,-75.0,4.40458333333,3.71666666667
EL,-75.0,EL_1,-70.0,86.6420833333,103.378333333
EL,-75.0,EL_1,-65.0,174.166666667,182.239166667
EL,-75.0,EL_1,-60.0,182.778333333,189.065
EL,-75.0,EL_1,-55.0,187.431875,192.670833333
EL,-75.0,EL_1,-50.0,190.776041667,195.5325
EL,-75.0,EL_1,-45.0,193.479791667,197.7925
EL,-75.0,EL_1,-40.0,195.855208333,199.9125
