Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,Coherence_NG3_L4_SS_L4_Sum_accuracy,GrCaus_NG3_L4_SS_L4_Information_accuracy,NormError_SimErr_accuracy,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_accuracy,Coherence_NG3_L4_SS_L4_Sum_p,GrCaus_NG3_L4_SS_L4_Information_p,NormError_SimErr_p,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_p,Coherence_NG3_L4_SS_L4_Sum_conf_min,GrCaus_NG3_L4_SS_L4_Information_conf_min,NormError_SimErr_conf_min,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_conf_min,Coherence_NG3_L4_SS_L4_Sum_conf_max,GrCaus_NG3_L4_SS_L4_Information_conf_max,NormError_SimErr_conf_max,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_conf_max
gL,1.0,gL_1,0.5,1.0,1.0,0.666666666667,0.933333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.472,0.779,1.0,1.0,0.827,0.992
gL,1.0,gL_1,1.5,1.0,1.0,0.4,0.866666666667,0.0,0.0,0.166,0.0,0.884,0.884,0.227,0.693,1.0,1.0,0.594,0.962
gL,1.0,gL_1,2.5,1.0,1.0,0.566666666667,0.7,0.0,0.0,0.002,0.0,0.884,0.884,0.374,0.506,1.0,1.0,0.745,0.853
gL,1.0,gL_1,3.5,1.0,1.0,0.566666666667,0.766666666667,0.0,0.0,0.002,0.0,0.884,0.884,0.374,0.577,1.0,1.0,0.745,0.901
gL,1.0,gL_1,4.5,1.0,1.0,0.6,0.766666666667,0.0,0.0,0.001,0.0,0.884,0.884,0.406,0.577,1.0,1.0,0.773,0.901
gL,1.0,gL_1,5.5,1.0,1.0,0.666666666667,0.833333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.472,0.653,1.0,1.0,0.827,0.944
gL,1.0,gL_1,6.5,1.0,1.0,0.766666666667,0.766666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.577,0.577,1.0,1.0,0.901,0.901
gL,1.0,gL_1,7.5,1.0,1.0,0.7,0.666666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.506,0.472,1.0,1.0,0.853,0.827
gL,1.0,gL_1,8.5,1.0,1.0,0.733333333333,0.7,0.0,0.0,0.0,0.0,0.884,0.884,0.541,0.506,1.0,1.0,0.877,0.853
gL,1.0,gL_1,9.5,0.966666666667,1.0,0.733333333333,0.633333333333,0.0,0.0,0.0,0.0,0.828,0.884,0.541,0.439,0.999,1.0,0.877,0.801
gL,1.0,gL_1,10.5,1.0,1.0,0.766666666667,0.666666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.577,0.472,1.0,1.0,0.901,0.827
gL,1.0,gL_1,11.5,0.933333333333,0.9,0.8,0.633333333333,0.0,0.0,0.0,0.0,0.779,0.735,0.614,0.439,0.992,0.979,0.923,0.801
gL,1.0,gL_1,12.5,0.9,0.9,0.666666666667,0.7,0.0,0.0,0.0,0.0,0.735,0.735,0.472,0.506,0.979,0.979,0.827,0.853
gL,1.0,gL_1,13.5,0.766666666667,0.766666666667,0.666666666667,0.666666666667,0.0,0.0,0.0,0.0,0.577,0.577,0.472,0.472,0.901,0.901,0.827,0.827
gL,1.0,gL_1,14.5,0.566666666667,0.633333333333,0.7,0.7,0.002,0.0,0.0,0.0,0.374,0.439,0.506,0.506,0.745,0.801,0.853,0.853
gL,2.0,gL_1,0.5,1.0,1.0,0.7,0.966666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.506,0.828,1.0,1.0,0.853,0.999
gL,2.0,gL_1,1.5,1.0,1.0,0.766666666667,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.577,0.884,1.0,1.0,0.901,1.0
gL,2.0,gL_1,2.5,1.0,1.0,0.6,0.8,0.0,0.0,0.001,0.0,0.884,0.884,0.406,0.614,1.0,1.0,0.773,0.923
gL,2.0,gL_1,3.5,1.0,1.0,0.566666666667,0.7,0.0,0.0,0.002,0.0,0.884,0.884,0.374,0.506,1.0,1.0,0.745,0.853
gL,2.0,gL_1,4.5,1.0,1.0,0.6,0.9,0.0,0.0,0.001,0.0,0.884,0.884,0.406,0.735,1.0,1.0,0.773,0.979
gL,2.0,gL_1,5.5,1.0,1.0,0.633333333333,0.7,0.0,0.0,0.0,0.0,0.884,0.884,0.439,0.506,1.0,1.0,0.801,0.853
gL,2.0,gL_1,6.5,1.0,1.0,0.666666666667,0.833333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.472,0.653,1.0,1.0,0.827,0.944
gL,2.0,gL_1,7.5,1.0,1.0,0.666666666667,0.733333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.472,0.541,1.0,1.0,0.827,0.877
gL,2.0,gL_1,8.5,1.0,1.0,0.733333333333,0.8,0.0,0.0,0.0,0.0,0.884,0.884,0.541,0.614,1.0,1.0,0.877,0.923
gL,2.0,gL_1,9.5,0.966666666667,1.0,0.733333333333,0.733333333333,0.0,0.0,0.0,0.0,0.828,0.884,0.541,0.541,0.999,1.0,0.877,0.877
gL,2.0,gL_1,10.5,0.966666666667,1.0,0.733333333333,0.766666666667,0.0,0.0,0.0,0.0,0.828,0.884,0.541,0.577,0.999,1.0,0.877,0.901
gL,2.0,gL_1,11.5,0.933333333333,0.9,0.8,0.633333333333,0.0,0.0,0.0,0.0,0.779,0.735,0.614,0.439,0.992,0.979,0.923,0.801
gL,2.0,gL_1,12.5,0.9,0.933333333333,0.666666666667,0.666666666667,0.0,0.0,0.0,0.0,0.735,0.779,0.472,0.472,0.979,0.992,0.827,0.827
gL,2.0,gL_1,13.5,0.8,0.766666666667,0.666666666667,0.633333333333,0.0,0.0,0.0,0.0,0.614,0.577,0.472,0.439,0.923,0.901,0.827,0.801
gL,2.0,gL_1,14.5,0.566666666667,0.633333333333,0.7,0.7,0.002,0.0,0.0,0.0,0.374,0.439,0.506,0.506,0.745,0.801,0.853,0.853
gL,3.0,gL_1,0.5,1.0,1.0,0.733333333333,0.933333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.541,0.779,1.0,1.0,0.877,0.992
gL,3.0,gL_1,1.5,1.0,1.0,0.9,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.735,0.884,1.0,1.0,0.979,1.0
gL,3.0,gL_1,2.5,1.0,1.0,0.766666666667,0.966666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.577,0.828,1.0,1.0,0.901,0.999
gL,3.0,gL_1,3.5,1.0,1.0,0.633333333333,0.833333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.439,0.653,1.0,1.0,0.801,0.944
gL,3.0,gL_1,4.5,1.0,1.0,0.666666666667,0.833333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.472,0.653,1.0,1.0,0.827,0.944
gL,3.0,gL_1,5.5,1.0,1.0,0.633333333333,0.833333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.439,0.653,1.0,1.0,0.801,0.944
gL,3.0,gL_1,6.5,1.0,1.0,0.666666666667,0.8,0.0,0.0,0.0,0.0,0.884,0.884,0.472,0.614,1.0,1.0,0.827,0.923
gL,3.0,gL_1,7.5,1.0,1.0,0.666666666667,0.833333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.472,0.653,1.0,1.0,0.827,0.944
gL,3.0,gL_1,8.5,1.0,1.0,0.733333333333,0.733333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.541,0.541,1.0,1.0,0.877,0.877
gL,3.0,gL_1,9.5,0.966666666667,1.0,0.733333333333,0.8,0.0,0.0,0.0,0.0,0.828,0.884,0.541,0.614,0.999,1.0,0.877,0.923
gL,3.0,gL_1,10.5,0.966666666667,1.0,0.7,0.7,0.0,0.0,0.0,0.0,0.828,0.884,0.506,0.506,0.999,1.0,0.853,0.853
gL,3.0,gL_1,11.5,0.933333333333,0.9,0.8,0.7,0.0,0.0,0.0,0.0,0.779,0.735,0.614,0.506,0.992,0.979,0.923,0.853
gL,3.0,gL_1,12.5,0.9,0.933333333333,0.7,0.7,0.0,0.0,0.0,0.0,0.735,0.779,0.506,0.506,0.979,0.992,0.853,0.853
gL,3.0,gL_1,13.5,0.733333333333,0.766666666667,0.633333333333,0.666666666667,0.0,0.0,0.0,0.0,0.541,0.577,0.439,0.472,0.877,0.901,0.801,0.827
gL,3.0,gL_1,14.5,0.566666666667,0.633333333333,0.7,0.7,0.002,0.0,0.0,0.0,0.374,0.439,0.506,0.506,0.745,0.801,0.853,0.853
gL,4.0,gL_1,0.5,1.0,1.0,0.633333333333,0.933333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.439,0.779,1.0,1.0,0.801,0.992
gL,4.0,gL_1,1.5,1.0,1.0,0.733333333333,0.966666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.541,0.828,1.0,1.0,0.877,0.999
gL,4.0,gL_1,2.5,1.0,1.0,0.866666666667,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.693,0.884,1.0,1.0,0.962,1.0
gL,4.0,gL_1,3.5,1.0,1.0,0.666666666667,0.866666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.472,0.693,1.0,1.0,0.827,0.962
gL,4.0,gL_1,4.5,1.0,1.0,0.7,0.8,0.0,0.0,0.0,0.0,0.884,0.884,0.506,0.614,1.0,1.0,0.853,0.923
gL,4.0,gL_1,5.5,1.0,1.0,0.633333333333,0.8,0.0,0.0,0.0,0.0,0.884,0.884,0.439,0.614,1.0,1.0,0.801,0.923
gL,4.0,gL_1,6.5,1.0,1.0,0.666666666667,0.7,0.0,0.0,0.0,0.0,0.884,0.884,0.472,0.506,1.0,1.0,0.827,0.853
gL,4.0,gL_1,7.5,1.0,1.0,0.633333333333,0.8,0.0,0.0,0.0,0.0,0.884,0.884,0.439,0.614,1.0,1.0,0.801,0.923
gL,4.0,gL_1,8.5,1.0,1.0,0.766666666667,0.766666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.577,0.577,1.0,1.0,0.901,0.901
gL,4.0,gL_1,9.5,0.966666666667,1.0,0.766666666667,0.766666666667,0.0,0.0,0.0,0.0,0.828,0.884,0.577,0.577,0.999,1.0,0.901,0.901
gL,4.0,gL_1,10.5,0.966666666667,1.0,0.7,0.733333333333,0.0,0.0,0.0,0.0,0.828,0.884,0.506,0.541,0.999,1.0,0.853,0.877
gL,4.0,gL_1,11.5,0.933333333333,0.9,0.8,0.7,0.0,0.0,0.0,0.0,0.779,0.735,0.614,0.506,0.992,0.979,0.923,0.853
gL,4.0,gL_1,12.5,0.9,0.933333333333,0.7,0.7,0.0,0.0,0.0,0.0,0.735,0.779,0.506,0.506,0.979,0.992,0.853,0.853
gL,4.0,gL_1,13.5,0.733333333333,0.766666666667,0.633333333333,0.666666666667,0.0,0.0,0.0,0.0,0.541,0.577,0.439,0.472,0.877,0.901,0.801,0.827
gL,4.0,gL_1,14.5,0.566666666667,0.633333333333,0.7,0.7,0.002,0.0,0.0,0.0,0.374,0.439,0.506,0.506,0.745,0.801,0.853,0.853
gL,5.0,gL_1,0.5,1.0,1.0,0.733333333333,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.541,0.884,1.0,1.0,0.877,1.0
gL,5.0,gL_1,1.5,1.0,1.0,0.8,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.614,0.884,1.0,1.0,0.923,1.0
gL,5.0,gL_1,2.5,1.0,1.0,0.966666666667,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.828,0.884,1.0,1.0,0.999,1.0
gL,5.0,gL_1,3.5,1.0,1.0,0.8,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.614,0.884,1.0,1.0,0.923,1.0
gL,5.0,gL_1,4.5,1.0,1.0,0.733333333333,0.8,0.0,0.0,0.0,0.0,0.884,0.884,0.541,0.614,1.0,1.0,0.877,0.923
gL,5.0,gL_1,5.5,1.0,1.0,0.7,0.766666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.506,0.577,1.0,1.0,0.853,0.901
gL,5.0,gL_1,6.5,1.0,1.0,0.633333333333,0.766666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.439,0.577,1.0,1.0,0.801,0.901
gL,5.0,gL_1,7.5,1.0,1.0,0.666666666667,0.766666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.472,0.577,1.0,1.0,0.827,0.901
gL,5.0,gL_1,8.5,1.0,1.0,0.8,0.733333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.614,0.541,1.0,1.0,0.923,0.877
gL,5.0,gL_1,9.5,0.966666666667,1.0,0.766666666667,0.733333333333,0.0,0.0,0.0,0.0,0.828,0.884,0.577,0.541,0.999,1.0,0.901,0.877
gL,5.0,gL_1,10.5,0.966666666667,1.0,0.8,0.766666666667,0.0,0.0,0.0,0.0,0.828,0.884,0.614,0.577,0.999,1.0,0.923,0.901
gL,5.0,gL_1,11.5,0.933333333333,0.9,0.8,0.733333333333,0.0,0.0,0.0,0.0,0.779,0.735,0.614,0.541,0.992,0.979,0.923,0.877
gL,5.0,gL_1,12.5,0.9,0.933333333333,0.7,0.7,0.0,0.0,0.0,0.0,0.735,0.779,0.506,0.506,0.979,0.992,0.853,0.853
gL,5.0,gL_1,13.5,0.733333333333,0.766666666667,0.633333333333,0.666666666667,0.0,0.0,0.0,0.0,0.541,0.577,0.439,0.472,0.877,0.901,0.801,0.827
gL,5.0,gL_1,14.5,0.566666666667,0.633333333333,0.7,0.7,0.002,0.0,0.0,0.0,0.374,0.439,0.506,0.506,0.745,0.801,0.853,0.853
gL,6.0,gL_1,0.5,1.0,1.0,0.733333333333,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.541,0.884,1.0,1.0,0.877,1.0
gL,6.0,gL_1,1.5,1.0,1.0,0.8,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.614,0.884,1.0,1.0,0.923,1.0
gL,6.0,gL_1,2.5,1.0,1.0,0.966666666667,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.828,0.884,1.0,1.0,0.999,1.0
gL,6.0,gL_1,3.5,1.0,1.0,0.966666666667,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.828,0.884,1.0,1.0,0.999,1.0
gL,6.0,gL_1,4.5,1.0,1.0,0.833333333333,0.866666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.653,0.693,1.0,1.0,0.944,0.962
gL,6.0,gL_1,5.5,1.0,1.0,0.7,0.766666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.506,0.577,1.0,1.0,0.853,0.901
gL,6.0,gL_1,6.5,1.0,1.0,0.633333333333,0.833333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.439,0.653,1.0,1.0,0.801,0.944
gL,6.0,gL_1,7.5,1.0,1.0,0.7,0.766666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.506,0.577,1.0,1.0,0.853,0.901
gL,6.0,gL_1,8.5,1.0,1.0,0.8,0.766666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.614,0.577,1.0,1.0,0.923,0.901
gL,6.0,gL_1,9.5,0.966666666667,1.0,0.766666666667,0.733333333333,0.0,0.0,0.0,0.0,0.828,0.884,0.577,0.541,0.999,1.0,0.901,0.877
gL,6.0,gL_1,10.5,1.0,1.0,0.8,0.666666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.614,0.472,1.0,1.0,0.923,0.827
gL,6.0,gL_1,11.5,0.933333333333,0.9,0.8,0.733333333333,0.0,0.0,0.0,0.0,0.779,0.735,0.614,0.541,0.992,0.979,0.923,0.877
gL,6.0,gL_1,12.5,0.9,0.933333333333,0.7,0.7,0.0,0.0,0.0,0.0,0.735,0.779,0.506,0.506,0.979,0.992,0.853,0.853
gL,6.0,gL_1,13.5,0.733333333333,0.766666666667,0.633333333333,0.666666666667,0.0,0.0,0.0,0.0,0.541,0.577,0.439,0.472,0.877,0.901,0.801,0.827
gL,6.0,gL_1,14.5,0.566666666667,0.633333333333,0.7,0.7,0.002,0.0,0.0,0.0,0.374,0.439,0.506,0.506,0.745,0.801,0.853,0.853
gL,7.0,gL_1,0.5,1.0,1.0,0.766666666667,0.933333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.577,0.779,1.0,1.0,0.901,0.992
gL,7.0,gL_1,1.5,1.0,1.0,0.666666666667,0.966666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.472,0.828,1.0,1.0,0.827,0.999
gL,7.0,gL_1,2.5,1.0,1.0,0.9,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.735,0.884,1.0,1.0,0.979,1.0
gL,7.0,gL_1,3.5,1.0,1.0,0.966666666667,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.828,0.884,1.0,1.0,0.999,1.0
gL,7.0,gL_1,4.5,1.0,1.0,0.866666666667,0.966666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.693,0.828,1.0,1.0,0.962,0.999
gL,7.0,gL_1,5.5,1.0,1.0,0.766666666667,0.833333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.577,0.653,1.0,1.0,0.901,0.944
gL,7.0,gL_1,6.5,1.0,1.0,0.666666666667,0.833333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.472,0.653,1.0,1.0,0.827,0.944
gL,7.0,gL_1,7.5,1.0,1.0,0.766666666667,0.833333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.577,0.653,1.0,1.0,0.901,0.944
gL,7.0,gL_1,8.5,1.0,1.0,0.8,0.766666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.614,0.577,1.0,1.0,0.923,0.901
gL,7.0,gL_1,9.5,0.966666666667,1.0,0.8,0.766666666667,0.0,0.0,0.0,0.0,0.828,0.884,0.614,0.577,0.999,1.0,0.923,0.901
gL,7.0,gL_1,10.5,1.0,1.0,0.8,0.733333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.614,0.541,1.0,1.0,0.923,0.877
gL,7.0,gL_1,11.5,0.933333333333,0.9,0.8,0.733333333333,0.0,0.0,0.0,0.0,0.779,0.735,0.614,0.541,0.992,0.979,0.923,0.877
gL,7.0,gL_1,12.5,0.9,0.933333333333,0.7,0.7,0.0,0.0,0.0,0.0,0.735,0.779,0.506,0.506,0.979,0.992,0.853,0.853
gL,7.0,gL_1,13.5,0.733333333333,0.766666666667,0.633333333333,0.666666666667,0.0,0.0,0.0,0.0,0.541,0.577,0.439,0.472,0.877,0.901,0.801,0.827
gL,7.0,gL_1,14.5,0.566666666667,0.633333333333,0.7,0.7,0.002,0.0,0.0,0.0,0.374,0.439,0.506,0.506,0.745,0.801,0.853,0.853
gL,8.0,gL_1,0.5,1.0,1.0,0.733333333333,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.541,0.884,1.0,1.0,0.877,1.0
gL,8.0,gL_1,1.5,1.0,1.0,0.8,0.966666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.614,0.828,1.0,1.0,0.923,0.999
gL,8.0,gL_1,2.5,1.0,1.0,0.966666666667,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.828,0.884,1.0,1.0,0.999,1.0
gL,8.0,gL_1,3.5,1.0,1.0,0.966666666667,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.828,0.884,1.0,1.0,0.999,1.0
gL,8.0,gL_1,4.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
gL,8.0,gL_1,5.5,1.0,1.0,0.8,0.866666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.614,0.693,1.0,1.0,0.923,0.962
gL,8.0,gL_1,6.5,1.0,1.0,0.7,0.8,0.0,0.0,0.0,0.0,0.884,0.884,0.506,0.614,1.0,1.0,0.853,0.923
gL,8.0,gL_1,7.5,1.0,1.0,0.8,0.766666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.614,0.577,1.0,1.0,0.923,0.901
gL,8.0,gL_1,8.5,1.0,1.0,0.8,0.8,0.0,0.0,0.0,0.0,0.884,0.884,0.614,0.614,1.0,1.0,0.923,0.923
gL,8.0,gL_1,9.5,0.966666666667,1.0,0.8,0.8,0.0,0.0,0.0,0.0,0.828,0.884,0.614,0.614,0.999,1.0,0.923,0.923
gL,8.0,gL_1,10.5,1.0,1.0,0.8,0.766666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.614,0.577,1.0,1.0,0.923,0.901
gL,8.0,gL_1,11.5,0.933333333333,0.9,0.8,0.733333333333,0.0,0.0,0.0,0.0,0.779,0.735,0.614,0.541,0.992,0.979,0.923,0.877
gL,8.0,gL_1,12.5,0.9,0.933333333333,0.7,0.7,0.0,0.0,0.0,0.0,0.735,0.779,0.506,0.506,0.979,0.992,0.853,0.853
gL,8.0,gL_1,13.5,0.733333333333,0.766666666667,0.633333333333,0.666666666667,0.0,0.0,0.0,0.0,0.541,0.577,0.439,0.472,0.877,0.901,0.801,0.827
gL,8.0,gL_1,14.5,0.566666666667,0.633333333333,0.7,0.7,0.002,0.0,0.0,0.0,0.374,0.439,0.506,0.506,0.745,0.801,0.853,0.853
