Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,Coherence_NG3_L4_SS_L4_Sum_accuracy,GrCaus_NG3_L4_SS_L4_Information_accuracy,NormError_SimErr_accuracy,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_accuracy,Coherence_NG3_L4_SS_L4_Sum_p,GrCaus_NG3_L4_SS_L4_Information_p,NormError_SimErr_p,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_p,Coherence_NG3_L4_SS_L4_Sum_conf_min,GrCaus_NG3_L4_SS_L4_Information_conf_min,NormError_SimErr_conf_min,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_conf_min,Coherence_NG3_L4_SS_L4_Sum_conf_max,GrCaus_NG3_L4_SS_L4_Information_conf_max,NormError_SimErr_conf_max,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_conf_max
C,30.0,C_1,30.0,1.0,1.0,0.533333333333,1.0,0.0,0.0,0.007,0.0,0.884,0.884,0.343,0.884,1.0,1.0,0.717,1.0
C,30.0,C_1,40.0,1.0,1.0,0.933333333333,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.779,0.884,1.0,1.0,0.992,1.0
C,30.0,C_1,50.0,1.0,1.0,0.966666666667,0.933333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.828,0.779,1.0,1.0,0.999,0.992
C,30.0,C_1,60.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
C,30.0,C_1,70.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
C,30.0,C_1,80.0,1.0,1.0,1.0,0.966666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.828,1.0,1.0,1.0,0.999
C,30.0,C_1,90.0,1.0,1.0,1.0,0.966666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.828,1.0,1.0,1.0,0.999
C,30.0,C_1,100.0,1.0,1.0,1.0,0.866666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.693,1.0,1.0,1.0,0.962
C,30.0,C_1,110.0,1.0,1.0,1.0,0.933333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.779,1.0,1.0,1.0,0.992
C,30.0,C_1,120.0,1.0,1.0,1.0,0.933333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.779,1.0,1.0,1.0,0.992
