Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,Coherence_NG3_L4_SS_L4_Sum_mean,GrCaus_NG3_L4_SS_L4_Information_mean,NormError_SimErr_mean,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_mean
EL,-85.0,EL_1,-85.0,6.27929753105,1.31545549958,1.02030407777,0.0366512603466
EL,-85.0,EL_1,-80.0,9.27642983849,2.54250788219,0.948398331722,0.0564112438087
EL,-85.0,EL_1,-75.0,19.2943909499,5.13990358827,1.04162376732,0.19219446067
EL,-85.0,EL_1,-70.0,25.4218042191,6.38636948574,0.971202633004,0.197537449835
EL,-85.0,EL_1,-65.0,28.8684736733,7.06274334031,0.665280087188,0.332095288992
EL,-85.0,EL_1,-60.0,30.2188964033,7.3697729603,0.607504982601,0.52586779883
EL,-85.0,EL_1,-55.0,30.5868333629,7.55338151378,0.575837675228,0.601434544465
EL,-85.0,EL_1,-50.0,30.993424847,7.70243160285,0.563150268965,0.651600383359
EL,-85.0,EL_1,-45.0,31.1477906234,7.81430654386,0.561168161559,0.658549302642
EL,-85.0,EL_1,-40.0,31.4792535129,7.89419838219,0.557605425128,0.707990009361
EL,-85.0,EL_1,-35.0,31.661424041,8.10008894337,0.556803605892,0.732957717051
EL,-85.0,EL_1,-30.0,31.7912520948,7.97093098511,0.558050786652,0.733326862343
EL,-85.0,EL_1,-25.0,31.9319772657,8.0092510367,0.558080061621,0.761006373163
EL,-80.0,EL_1,-85.0,6.25340355196,1.30623216546,1.01832745532,0.0369132903111
EL,-80.0,EL_1,-80.0,9.166264271,2.52621126789,0.957023266806,0.0556125115935
EL,-80.0,EL_1,-75.0,13.7015987598,3.51382940944,0.812225367504,0.137276260754
EL,-80.0,EL_1,-70.0,23.6542368264,6.02524949202,1.08156447856,0.170165024271
EL,-80.0,EL_1,-65.0,29.068794612,7.15413430665,0.676555418727,0.340481914489
EL,-80.0,EL_1,-60.0,30.3959096054,7.46871715289,0.588704229568,0.542172837108
EL,-80.0,EL_1,-55.0,30.5606358045,7.62027689205,0.566506315617,0.620628354213
EL,-80.0,EL_1,-50.0,30.9690619336,7.73299824193,0.556701316256,0.637500434152
EL,-80.0,EL_1,-45.0,31.2289204096,7.73339237342,0.559214584944,0.684256257379
EL,-80.0,EL_1,-40.0,31.4070074511,7.85481231857,0.556951803096,0.713081024555
EL,-80.0,EL_1,-35.0,31.5789741354,7.94794223118,0.556406843648,0.723598082601
EL,-80.0,EL_1,-30.0,31.6779976319,7.98466344422,0.558758637203,0.74184235927
