Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,Coherence_NG3_L4_SS_L4_Sum_accuracy,GrCaus_NG3_L4_SS_L4_Information_accuracy,NormError_SimErr_accuracy,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_accuracy,Coherence_NG3_L4_SS_L4_Sum_p,GrCaus_NG3_L4_SS_L4_Information_p,NormError_SimErr_p,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_p,Coherence_NG3_L4_SS_L4_Sum_conf_min,GrCaus_NG3_L4_SS_L4_Information_conf_min,NormError_SimErr_conf_min,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_conf_min,Coherence_NG3_L4_SS_L4_Sum_conf_max,GrCaus_NG3_L4_SS_L4_Information_conf_max,NormError_SimErr_conf_max,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_conf_max
VT,-65.0,VT_1,-67.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-65.0,VT_1,-64.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-65.0,VT_1,-61.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-65.0,VT_1,-58.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-65.0,VT_1,-55.0,1.0,1.0,1.0,0.933333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.779,1.0,1.0,1.0,0.992
VT,-65.0,VT_1,-52.0,1.0,1.0,1.0,0.8,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.614,1.0,1.0,1.0,0.923
VT,-65.0,VT_1,-49.0,1.0,1.0,0.966666666667,0.833333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.828,0.653,1.0,1.0,0.999,0.944
VT,-65.0,VT_1,-46.0,1.0,1.0,0.9,0.733333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.735,0.541,1.0,1.0,0.979,0.877
VT,-65.0,VT_1,-43.0,0.866666666667,0.866666666667,0.833333333333,0.633333333333,0.0,0.0,0.0,0.0,0.693,0.693,0.653,0.439,0.962,0.962,0.944,0.801
VT,-65.0,VT_1,-40.0,0.666666666667,0.7,0.733333333333,0.766666666667,0.0,0.0,0.0,0.0,0.472,0.506,0.541,0.577,0.827,0.853,0.877,0.901
VT,-65.0,VT_1,-37.0,0.5,0.366666666667,0.5,0.7,0.019,0.276,0.019,0.0,0.313,0.199,0.313,0.506,0.687,0.561,0.687,0.853
VT,-62.0,VT_1,-67.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-62.0,VT_1,-64.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-62.0,VT_1,-61.0,1.0,1.0,1.0,0.933333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.779,1.0,1.0,1.0,0.992
VT,-62.0,VT_1,-58.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-62.0,VT_1,-55.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-62.0,VT_1,-52.0,1.0,1.0,1.0,0.9,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.735,1.0,1.0,1.0,0.979
VT,-62.0,VT_1,-49.0,1.0,1.0,1.0,0.833333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.653,1.0,1.0,1.0,0.944
VT,-62.0,VT_1,-46.0,1.0,1.0,0.933333333333,0.866666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.779,0.693,1.0,1.0,0.992,0.962
VT,-62.0,VT_1,-43.0,0.933333333333,0.866666666667,0.833333333333,0.666666666667,0.0,0.0,0.0,0.0,0.779,0.693,0.653,0.472,0.992,0.962,0.944,0.827
VT,-62.0,VT_1,-40.0,0.733333333333,0.733333333333,0.733333333333,0.733333333333,0.0,0.0,0.0,0.0,0.541,0.541,0.541,0.541,0.877,0.877,0.877,0.877
VT,-62.0,VT_1,-37.0,0.466666666667,0.4,0.466666666667,0.633333333333,0.043,0.166,0.043,0.0,0.283,0.227,0.283,0.439,0.657,0.594,0.657,0.801
VT,-59.0,VT_1,-67.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-59.0,VT_1,-64.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-59.0,VT_1,-61.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-59.0,VT_1,-58.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-59.0,VT_1,-55.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-59.0,VT_1,-52.0,1.0,1.0,1.0,0.9,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.735,1.0,1.0,1.0,0.979
VT,-59.0,VT_1,-49.0,1.0,1.0,0.966666666667,0.866666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.828,0.693,1.0,1.0,0.999,0.962
VT,-59.0,VT_1,-46.0,1.0,1.0,0.933333333333,0.866666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.779,0.693,1.0,1.0,0.992,0.962
VT,-59.0,VT_1,-43.0,0.966666666667,0.9,0.866666666667,0.7,0.0,0.0,0.0,0.0,0.828,0.735,0.693,0.506,0.999,0.979,0.962,0.853
VT,-59.0,VT_1,-40.0,0.766666666667,0.766666666667,0.733333333333,0.733333333333,0.0,0.0,0.0,0.0,0.577,0.577,0.541,0.541,0.901,0.901,0.877,0.877
VT,-59.0,VT_1,-37.0,0.433333333333,0.4,0.566666666667,0.633333333333,0.09,0.166,0.002,0.0,0.255,0.227,0.374,0.439,0.626,0.594,0.745,0.801
VT,-56.0,VT_1,-67.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-56.0,VT_1,-64.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-56.0,VT_1,-61.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-56.0,VT_1,-58.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-56.0,VT_1,-55.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-56.0,VT_1,-52.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-56.0,VT_1,-49.0,1.0,1.0,0.966666666667,0.833333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.828,0.653,1.0,1.0,0.999,0.944
VT,-56.0,VT_1,-46.0,1.0,1.0,0.933333333333,0.8,0.0,0.0,0.0,0.0,0.884,0.884,0.779,0.614,1.0,1.0,0.992,0.923
VT,-56.0,VT_1,-43.0,0.933333333333,0.9,0.833333333333,0.7,0.0,0.0,0.0,0.0,0.779,0.735,0.653,0.506,0.992,0.979,0.944,0.853
VT,-56.0,VT_1,-40.0,0.833333333333,0.8,0.733333333333,0.766666666667,0.0,0.0,0.0,0.0,0.653,0.614,0.541,0.577,0.944,0.923,0.877,0.901
VT,-56.0,VT_1,-37.0,0.4,0.466666666667,0.533333333333,0.633333333333,0.166,0.043,0.007,0.0,0.227,0.283,0.343,0.439,0.594,0.657,0.717,0.801
VT,-53.0,VT_1,-67.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-53.0,VT_1,-64.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-53.0,VT_1,-61.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-53.0,VT_1,-58.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-53.0,VT_1,-55.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-53.0,VT_1,-52.0,1.0,1.0,1.0,0.966666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.828,1.0,1.0,1.0,0.999
VT,-53.0,VT_1,-49.0,1.0,1.0,0.966666666667,0.833333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.828,0.653,1.0,1.0,0.999,0.944
VT,-53.0,VT_1,-46.0,1.0,1.0,0.933333333333,0.833333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.779,0.653,1.0,1.0,0.992,0.944
VT,-53.0,VT_1,-43.0,0.933333333333,0.933333333333,0.866666666667,0.8,0.0,0.0,0.0,0.0,0.779,0.779,0.693,0.614,0.992,0.992,0.962,0.923
VT,-53.0,VT_1,-40.0,0.833333333333,0.8,0.733333333333,0.8,0.0,0.0,0.0,0.0,0.653,0.614,0.541,0.614,0.944,0.923,0.877,0.923
VT,-53.0,VT_1,-37.0,0.4,0.466666666667,0.533333333333,0.633333333333,0.166,0.043,0.007,0.0,0.227,0.283,0.343,0.439,0.594,0.657,0.717,0.801
VT,-50.0,VT_1,-67.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-50.0,VT_1,-64.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-50.0,VT_1,-61.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-50.0,VT_1,-58.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-50.0,VT_1,-55.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-50.0,VT_1,-52.0,1.0,1.0,1.0,0.966666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.828,1.0,1.0,1.0,0.999
VT,-50.0,VT_1,-49.0,1.0,1.0,1.0,0.833333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.653,1.0,1.0,1.0,0.944
VT,-50.0,VT_1,-46.0,1.0,1.0,0.933333333333,0.833333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.779,0.653,1.0,1.0,0.992,0.944
VT,-50.0,VT_1,-43.0,0.933333333333,0.933333333333,0.866666666667,0.833333333333,0.0,0.0,0.0,0.0,0.779,0.779,0.693,0.653,0.992,0.992,0.962,0.944
VT,-50.0,VT_1,-40.0,0.833333333333,0.8,0.733333333333,0.766666666667,0.0,0.0,0.0,0.0,0.653,0.614,0.541,0.577,0.944,0.923,0.877,0.901
VT,-50.0,VT_1,-37.0,0.4,0.466666666667,0.533333333333,0.633333333333,0.166,0.043,0.007,0.0,0.227,0.283,0.343,0.439,0.594,0.657,0.717,0.801
VT,-47.0,VT_1,-67.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-47.0,VT_1,-64.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-47.0,VT_1,-61.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-47.0,VT_1,-58.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-47.0,VT_1,-55.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-47.0,VT_1,-52.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-47.0,VT_1,-49.0,1.0,1.0,1.0,0.9,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.735,1.0,1.0,1.0,0.979
VT,-47.0,VT_1,-46.0,1.0,1.0,0.933333333333,0.833333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.779,0.653,1.0,1.0,0.992,0.944
VT,-47.0,VT_1,-43.0,0.933333333333,0.933333333333,0.866666666667,0.766666666667,0.0,0.0,0.0,0.0,0.779,0.779,0.693,0.577,0.992,0.992,0.962,0.901
VT,-47.0,VT_1,-40.0,0.833333333333,0.8,0.733333333333,0.766666666667,0.0,0.0,0.0,0.0,0.653,0.614,0.541,0.577,0.944,0.923,0.877,0.901
VT,-47.0,VT_1,-37.0,0.4,0.466666666667,0.533333333333,0.633333333333,0.166,0.043,0.007,0.0,0.227,0.283,0.343,0.439,0.594,0.657,0.717,0.801
VT,-44.0,VT_1,-67.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-44.0,VT_1,-64.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-44.0,VT_1,-61.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-44.0,VT_1,-58.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-44.0,VT_1,-55.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-44.0,VT_1,-52.0,1.0,1.0,1.0,0.966666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.828,1.0,1.0,1.0,0.999
VT,-44.0,VT_1,-49.0,1.0,1.0,1.0,0.9,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.735,1.0,1.0,1.0,0.979
VT,-44.0,VT_1,-46.0,1.0,1.0,0.933333333333,0.833333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.779,0.653,1.0,1.0,0.992,0.944
VT,-44.0,VT_1,-43.0,0.933333333333,0.933333333333,0.866666666667,0.766666666667,0.0,0.0,0.0,0.0,0.779,0.779,0.693,0.577,0.992,0.992,0.962,0.901
VT,-44.0,VT_1,-40.0,0.833333333333,0.8,0.733333333333,0.766666666667,0.0,0.0,0.0,0.0,0.653,0.614,0.541,0.577,0.944,0.923,0.877,0.901
VT,-44.0,VT_1,-37.0,0.4,0.466666666667,0.533333333333,0.633333333333,0.166,0.043,0.007,0.0,0.227,0.283,0.343,0.439,0.594,0.657,0.717,0.801
VT,-41.0,VT_1,-67.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-41.0,VT_1,-64.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-41.0,VT_1,-61.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-41.0,VT_1,-58.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-41.0,VT_1,-55.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-41.0,VT_1,-52.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-41.0,VT_1,-49.0,1.0,1.0,1.0,0.9,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.735,1.0,1.0,1.0,0.979
VT,-41.0,VT_1,-46.0,1.0,1.0,0.933333333333,0.8,0.0,0.0,0.0,0.0,0.884,0.884,0.779,0.614,1.0,1.0,0.992,0.923
VT,-41.0,VT_1,-43.0,0.933333333333,0.933333333333,0.866666666667,0.766666666667,0.0,0.0,0.0,0.0,0.779,0.779,0.693,0.577,0.992,0.992,0.962,0.901
VT,-41.0,VT_1,-40.0,0.833333333333,0.8,0.733333333333,0.766666666667,0.0,0.0,0.0,0.0,0.653,0.614,0.541,0.577,0.944,0.923,0.877,0.901
VT,-41.0,VT_1,-37.0,0.4,0.466666666667,0.533333333333,0.633333333333,0.166,0.043,0.007,0.0,0.227,0.283,0.343,0.439,0.594,0.657,0.717,0.801
VT,-38.0,VT_1,-67.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-38.0,VT_1,-64.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-38.0,VT_1,-61.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-38.0,VT_1,-58.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-38.0,VT_1,-55.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-38.0,VT_1,-52.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-38.0,VT_1,-49.0,1.0,1.0,1.0,0.866666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.693,1.0,1.0,1.0,0.962
VT,-38.0,VT_1,-46.0,1.0,1.0,0.933333333333,0.8,0.0,0.0,0.0,0.0,0.884,0.884,0.779,0.614,1.0,1.0,0.992,0.923
VT,-38.0,VT_1,-43.0,0.933333333333,0.933333333333,0.866666666667,0.766666666667,0.0,0.0,0.0,0.0,0.779,0.779,0.693,0.577,0.992,0.992,0.962,0.901
VT,-38.0,VT_1,-40.0,0.833333333333,0.8,0.733333333333,0.766666666667,0.0,0.0,0.0,0.0,0.653,0.614,0.541,0.577,0.944,0.923,0.877,0.901
VT,-38.0,VT_1,-37.0,0.4,0.466666666667,0.533333333333,0.633333333333,0.166,0.043,0.007,0.0,0.227,0.283,0.343,0.439,0.594,0.657,0.717,0.801
