Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,Coherence_NG3_L4_SS_L4_Mean_mean,GrCaus_NG3_L4_SS_L4_Information_mean,NormError_SimErr_mean,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_mean
VT,-65.0,VT_1,-67.0,27.7290825732,6.38447283568,0.623958976196,0.67396771614
VT,-65.0,VT_1,-64.0,29.7320323233,6.72949405208,0.662767875804,0.761937802667
VT,-65.0,VT_1,-61.0,15.5832595813,4.10201066363,0.762666878208,0.167853646921
VT,-65.0,VT_1,-58.0,12.9531832217,3.4141777324,0.869949906146,0.084756007263
VT,-65.0,VT_1,-55.0,11.2785949787,2.90239465009,0.917395326448,0.0781248845302
VT,-65.0,VT_1,-52.0,9.41196149757,2.55409429882,0.953618132317,0.0547842455151
VT,-65.0,VT_1,-49.0,8.21972356529,2.19332512722,0.977975734932,0.0469032249243
VT,-65.0,VT_1,-46.0,6.91972665332,1.73484169131,0.994730756737,0.0363852237412
VT,-65.0,VT_1,-43.0,5.97755456688,1.13055141068,1.01449550272,0.027917087926
VT,-65.0,VT_1,-40.0,5.5664583865,0.704287215404,1.03265321102,0.028876298633
VT,-65.0,VT_1,-37.0,5.17176188615,0.345818034792,1.07171330125,0.0226327851149
VT,-62.0,VT_1,-67.0,25.2343005134,5.34006903937,0.82411634053,0.487164420803
VT,-62.0,VT_1,-64.0,30.6662161753,7.17511964087,0.606807682414,0.779780438901
VT,-62.0,VT_1,-61.0,25.8945572641,6.39147861716,0.667642986738,0.453242206437
VT,-62.0,VT_1,-58.0,14.197033431,3.67268225267,0.816111353938,0.116048566072
VT,-62.0,VT_1,-55.0,12.4186683247,3.20814779901,0.896849103416,0.0809209625454
VT,-62.0,VT_1,-52.0,10.0211081266,2.70418441665,0.937355270965,0.0603432990448
VT,-62.0,VT_1,-49.0,8.40161964907,2.26250502349,0.969676345414,0.0465781108761
VT,-62.0,VT_1,-46.0,7.19126901552,1.81348039509,0.989068856941,0.0389176276705
VT,-62.0,VT_1,-43.0,5.99731896451,1.1359452438,1.01555143746,0.0309785595154
VT,-62.0,VT_1,-40.0,5.58580270173,0.711547618017,1.03422721372,0.0268224519429
VT,-62.0,VT_1,-37.0,5.18037270611,0.369506742094,1.07592169003,0.0244910604091
VT,-59.0,VT_1,-67.0,23.8351510501,4.8911131334,0.815770818626,0.413128711898
VT,-59.0,VT_1,-64.0,31.8754112385,7.11306542587,0.391877667097,0.614494633377
