Dimension-1 Parameter,Dimension-1 Value,MeanFR_NG1_L4_CI_SS_L4_mean,MeanFR_NG2_L4_CI_BC_L4_mean
delay_CI_CI,0.5,5.579375,4.56833333334
delay_CI_CI,0.75,5.76104166667,4.9975
delay_CI_CI,1.0,5.81520833333,5.16916666667
delay_CI_CI,1.25,5.96229166667,5.51666666667
delay_CI_CI,1.5,5.825625,5.54333333333
delay_CI_CI,1.75,6.18041666667,6.095
delay_CI_CI,2.0,6.11229166667,6.08333333333
delay_CI_CI,2.25,5.950625,6.15833333333
delay_CI_CI,2.5,6.321875,6.61916666667
delay_CI_CI,2.75,6.36645833333,6.80083333333
delay_CI_CI,3.0,6.77875,7.33416666667
delay_CI_CI,3.25,6.964375,7.51833333333
delay_CI_CI,3.5,6.82270833333,7.46083333333
delay_CI_CI,3.75,7.18020833333,7.905
delay_CI_CI,4.0,7.4925,8.40083333333
delay_CI_CI,4.25,7.72291666667,8.68583333333
delay_CI_CI,4.5,8.20333333333,9.28
delay_CI_CI,4.75,8.57229166666,9.84416666666
delay_CI_CI,5.0,8.77520833333,10.0658333333
delay_CI_CI,5.25,9.02604166667,10.5241666667
delay_CI_CI,5.5,9.1525,10.59
delay_CI_CI,5.75,8.965,10.3575
delay_CI_CI,6.0,9.275625,10.9
delay_CI_CI,6.25,10.2729166667,12.1141666667
delay_CI_CI,6.5,10.2854166667,12.0975
delay_CI_CI,6.75,10.98875,13.1366666666
delay_CI_CI,7.0,11.5170833333,13.7316666667
delay_CI_CI,7.25,11.2129166667,13.35
delay_CI_CI,7.5,11.6666666667,13.9308333333
delay_CI_CI,7.75,12.215625,14.6358333333
delay_CI_CI,8.0,13.0591666667,15.7091666667
delay_CI_CI,8.25,13.1127083333,15.8308333333
delay_CI_CI,8.5,13.224375,15.9341666667
delay_CI_CI,8.75,13.3829166667,16.0775
delay_CI_CI,9.0,13.1758333333,15.7725
delay_CI_CI,9.25,14.2741666667,17.1675
delay_CI_CI,9.5,14.4022916667,17.3208333333
delay_CI_CI,9.75,14.7510416667,17.745
delay_CI_CI,10.0,15.505,18.6641666667
delay_CI_CI,10.25,15.3341666667,18.4841666667
delay_CI_CI,10.5,14.7722916667,17.7458333333
delay_CI_CI,10.75,15.5954166667,18.7941666667
delay_CI_CI,11.0,16.1591666667,19.5366666666
delay_CI_CI,11.25,16.0375,19.3966666667
delay_CI_CI,11.5,15.43625,18.6975
delay_CI_CI,11.75,17.0947916667,20.7258333333
delay_CI_CI,12.0,16.478125,19.9391666667
delay_CI_CI,12.25,17.2910416666,20.9108333333
delay_CI_CI,12.5,16.9620833333,20.4466666667
delay_CI_CI,12.75,17.311875,20.8091666667
delay_CI_CI,13.0,17.2,20.6725
delay_CI_CI,13.25,17.8225,21.495
delay_CI_CI,13.5,17.8502083333,21.565
delay_CI_CI,13.75,18.4133333333,22.1733333333
delay_CI_CI,14.0,18.3747916667,22.2541666667
delay_CI_CI,14.25,18.3252083333,22.22
delay_CI_CI,14.5,19.0916666667,23.1216666667
delay_CI_CI,14.75,19.1064583333,23.18
delay_CI_CI,15.0,19.2875,23.4
delay_CI_CI,15.25,19.4116666667,23.5116666667
delay_CI_CI,15.5,19.2147916667,23.2191666667
delay_CI_CI,15.75,19.2145833333,23.2325
delay_CI_CI,16.0,19.65875,23.8158333333
delay_CI_CI,16.25,19.9827083333,24.2408333333
delay_CI_CI,16.5,19.725625,23.9016666667
delay_CI_CI,16.75,20.6125,25.1008333333
delay_CI_CI,17.0,20.833125,25.3925
delay_CI_CI,17.25,21.2216666667,25.9366666667
delay_CI_CI,17.5,20.44625,25.0208333333
delay_CI_CI,17.75,20.823125,25.42
delay_CI_CI,18.0,21.9425,26.7883333333
delay_CI_CI,18.25,20.8591666667,25.5316666667
delay_CI_CI,18.5,21.1272916667,25.8583333333
delay_CI_CI,18.75,21.8454166667,26.75
delay_CI_CI,19.0,22.24875,27.2925
delay_CI_CI,19.25,21.8716666667,26.8008333333
delay_CI_CI,19.5,22.3514583333,27.4216666667
delay_CI_CI,19.75,22.743125,27.8491666667
delay_CI_CI,20.0,23.0510416667,28.2658333333
delay_CI_CI,20.25,22.8025,27.8758333333
delay_CI_CI,20.5,23.174375,28.4183333333
delay_CI_CI,20.75,22.3985416667,27.4608333333
delay_CI_CI,21.0,23.19375,28.4566666667
delay_CI_CI,21.25,23.4675,28.8383333333
delay_CI_CI,21.5,23.25,28.5125
delay_CI_CI,21.75,22.9372916667,28.2216666667
delay_CI_CI,22.0,24.4264583333,30.1066666667
delay_CI_CI,22.25,23.8241666667,29.295
delay_CI_CI,22.5,23.6504166667,29.0466666667
delay_CI_CI,22.75,24.1189583333,29.6775
delay_CI_CI,23.0,23.5233333333,28.85
delay_CI_CI,23.25,23.4683333333,28.8275
delay_CI_CI,23.5,23.7522916667,29.1825
delay_CI_CI,23.75,23.8452083333,29.3441666667
delay_CI_CI,24.0,23.62875,29.0891666667
delay_CI_CI,24.25,23.6935416667,29.1533333333
delay_CI_CI,24.5,24.0891666667,29.64
delay_CI_CI,24.75,24.63375,30.405
