Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,Coherence_NG3_L4_SS_L4_Sum_mean,GrCaus_NG3_L4_SS_L4_Information_mean,NormError_SimErr_mean,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_mean
gL,1.0,gL_1,0.5,20.602689541,5.1438982047,1.0100653467,0.246834237289
gL,1.0,gL_1,1.5,16.0130287718,4.04976626251,1.12268668646,0.152274847848
gL,1.0,gL_1,2.5,14.2254024214,3.64238726321,1.00756061736,0.104287291479
gL,1.0,gL_1,3.5,12.5971700653,3.32007957493,0.917429840559,0.0788541193056
gL,1.0,gL_1,4.5,12.4193423224,3.20179352371,0.858750837729,0.0813438510161
gL,1.0,gL_1,5.5,11.2889065009,3.01257958128,0.813719924583,0.0739541406727
gL,1.0,gL_1,6.5,10.3572889568,2.93887693319,0.793259480556,0.0631842367118
gL,1.0,gL_1,7.5,9.41721089934,2.70605240906,0.785334406242,0.0598245829854
gL,1.0,gL_1,8.5,8.64022646601,2.45638965362,0.793591551608,0.0563961848077
gL,1.0,gL_1,9.5,8.02483007676,2.22532865124,0.808292839099,0.0513038690217
gL,1.0,gL_1,10.5,7.35317084076,2.00950740039,0.833804644116,0.0434397540915
gL,1.0,gL_1,11.5,6.66352309707,1.56558413909,0.862524557792,0.0374581537819
gL,1.0,gL_1,12.5,6.12770684997,1.27459469201,0.89274971972,0.0327263559541
gL,1.0,gL_1,13.5,5.62563992166,1.03701704655,0.926258961936,0.0299290655743
gL,1.0,gL_1,14.5,5.42148535675,0.841527670953,0.950333105538,0.0264068073817
gL,2.0,gL_1,0.5,25.6814425668,6.05104011017,0.888619060149,0.2907127118
gL,2.0,gL_1,1.5,19.2674526884,5.0787536314,1.07335753321,0.248121518956
gL,2.0,gL_1,2.5,14.9806437875,3.78860435829,0.973025445398,0.124489594806
gL,2.0,gL_1,3.5,13.5578517508,3.48722835808,0.897571371869,0.0944506045362
gL,2.0,gL_1,4.5,12.8034574687,3.33957942988,0.837221462629,0.0812476436695
gL,2.0,gL_1,5.5,11.8342944493,3.14349530654,0.797981489072,0.0755872661302
gL,2.0,gL_1,6.5,10.7292937031,3.00109632644,0.779277377544,0.0706930303858
gL,2.0,gL_1,7.5,9.68266977496,2.75577256981,0.776431899461,0.0630056446887
gL,2.0,gL_1,8.5,8.77528468142,2.50413124106,0.789263712811,0.0574820370235
gL,2.0,gL_1,9.5,8.07853343641,2.2632830378,0.805088834317,0.0517294219813
gL,2.0,gL_1,10.5,7.3862844455,2.00800866721,0.832138997883,0.0421203683757
gL,2.0,gL_1,11.5,6.6944706813,1.58805182923,0.860404763645,0.0378503850154
gL,2.0,gL_1,12.5,6.12158765456,1.27519790936,0.891978882814,0.033242647193
gL,2.0,gL_1,13.5,5.63959942724,1.04502526602,0.926069459489,0.0301415885547
gL,2.0,gL_1,14.5,5.42695521176,0.847000584484,0.950104545665,0.0271250733601
gL,3.0,gL_1,0.5,27.6715810889,6.74583557919,0.868513360938,0.309592641837
gL,3.0,gL_1,1.5,22.0258621344,5.52959290743,1.01851938406,0.222603136496
gL,3.0,gL_1,2.5,16.393588711,4.18646235707,0.932967828395,0.187690251649
gL,3.0,gL_1,3.5,14.0886704094,3.76229267562,0.867299215211,0.117312359025
gL,3.0,gL_1,4.5,13.2242320837,3.38551926383,0.82422021694,0.0971963443661
gL,3.0,gL_1,5.5,12.3480532948,3.22695818359,0.786617779727,0.0778589170847
gL,3.0,gL_1,6.5,11.2044164649,3.07169234441,0.76541407264,0.07400450453
gL,3.0,gL_1,7.5,9.87085219415,2.80876950971,0.768060593002,0.0660078599187
gL,3.0,gL_1,8.5,8.82662977967,2.4561363629,0.78616627137,0.0550335031738
gL,3.0,gL_1,9.5,8.12097672925,2.24822150291,0.803048257574,0.0534496467979
gL,3.0,gL_1,10.5,7.43708587924,2.03936553007,0.830474388642,0.0449575558127
gL,3.0,gL_1,11.5,6.69548970156,1.59483037116,0.858774987097,0.0381717775403
gL,3.0,gL_1,12.5,6.13451093296,1.29049066745,0.891300125975,0.0332382234469
gL,3.0,gL_1,13.5,5.65246866583,1.06190300849,0.927050581277,0.030457878298
gL,3.0,gL_1,14.5,5.42695521176,0.847000584484,0.950104545665,0.0271250733601
gL,4.0,gL_1,0.5,28.8208976258,6.87209758905,0.843709432505,0.374374246079
gL,4.0,gL_1,1.5,25.5315103226,6.28019859976,0.870777738813,0.249098183946
gL,4.0,gL_1,2.5,19.1562559128,4.99821310802,1.04715728825,0.188544755372
gL,4.0,gL_1,3.5,15.7017225168,3.95387610062,0.836284621437,0.154614232159
gL,4.0,gL_1,4.5,13.6331502915,3.47504526849,0.805069240812,0.103010703169
gL,4.0,gL_1,5.5,12.6637690439,3.31255567337,0.774305819441,0.0835250396649
gL,4.0,gL_1,6.5,11.3875224221,3.10803488024,0.754759281847,0.0733870335066
gL,4.0,gL_1,7.5,10.0059828898,2.85650718843,0.762100248312,0.0651284426159
gL,4.0,gL_1,8.5,8.87019294772,2.47572460903,0.781791249619,0.0554118331745
gL,4.0,gL_1,9.5,8.13189759151,2.2614634533,0.801558825817,0.0544537608759
gL,4.0,gL_1,10.5,7.438229719,2.03308355832,0.828945720573,0.0440298571145
gL,4.0,gL_1,11.5,6.70411587019,1.6115629702,0.857968390405,0.038797596178
gL,4.0,gL_1,12.5,6.13767775428,1.31681327186,0.891898016657,0.0339878737963
gL,4.0,gL_1,13.5,5.64934189984,1.06140925626,0.927559329493,0.0305708904561
gL,4.0,gL_1,14.5,5.42695521176,0.847000584484,0.950104545665,0.0271250733601
gL,5.0,gL_1,0.5,28.6183527947,6.88715415836,0.845188855517,0.343435159213
gL,5.0,gL_1,1.5,25.1867147618,6.10442836935,0.913879532087,0.240918780671
gL,5.0,gL_1,2.5,21.639678686,5.67941708782,1.1368724777,0.16423715431
gL,5.0,gL_1,3.5,15.7168311633,4.08804976091,0.84228121498,0.206821176468
gL,5.0,gL_1,4.5,13.867553497,3.55446273943,0.788860282207,0.124182002315
gL,5.0,gL_1,5.5,13.0669039783,3.42534927524,0.751906882924,0.0924718729475
gL,5.0,gL_1,6.5,11.5212750131,3.16155464159,0.744290101027,0.0690085128277
gL,5.0,gL_1,7.5,10.1759649564,2.87801049897,0.757241100409,0.0633371728536
gL,5.0,gL_1,8.5,8.92404452454,2.51294021738,0.77721023103,0.0563933504864
gL,5.0,gL_1,9.5,8.15408556332,2.28209932679,0.799063083777,0.0544779818396
gL,5.0,gL_1,10.5,7.43324366431,2.02699474326,0.827587075405,0.0443661997826
gL,5.0,gL_1,11.5,6.70031972596,1.61981799,0.857023052034,0.0389970701863
gL,5.0,gL_1,12.5,6.14012899597,1.31802979268,0.891757645975,0.0340115221199
gL,5.0,gL_1,13.5,5.64927014051,1.06137504287,0.92755806776,0.0305708904561
gL,5.0,gL_1,14.5,5.42695521176,0.847000584484,0.950104545665,0.0271250733601
gL,6.0,gL_1,0.5,28.6265215144,6.86852974506,0.867852746079,0.337616747746
gL,6.0,gL_1,1.5,26.8582708146,6.52701014728,0.934571186081,0.258049646037
gL,6.0,gL_1,2.5,23.2377247386,6.02273975682,1.08958148767,0.1744628633
gL,6.0,gL_1,3.5,18.4748492661,4.97253859339,0.989183157225,0.195845122386
gL,6.0,gL_1,4.5,14.6761207024,3.65747435501,0.762495326208,0.156852313243
