Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,Coherence_NG3_L4_SS_L4_Sum_accuracy,GrCaus_NG3_L4_SS_L4_Information_accuracy,NormError_SimErr_accuracy,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_accuracy,Coherence_NG3_L4_SS_L4_Sum_p,GrCaus_NG3_L4_SS_L4_Information_p,NormError_SimErr_p,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_p,Coherence_NG3_L4_SS_L4_Sum_conf_min,GrCaus_NG3_L4_SS_L4_Information_conf_min,NormError_SimErr_conf_min,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_conf_min,Coherence_NG3_L4_SS_L4_Sum_conf_max,GrCaus_NG3_L4_SS_L4_Information_conf_max,NormError_SimErr_conf_max,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_conf_max
gL,1.0,gL_1,0.5,0.5,0.266666666667,0.3,0.433333333333,0.019,0.714,0.568,0.09,0.313,0.123,0.147,0.255,0.687,0.459,0.494,0.626
gL,1.0,gL_1,1.5,0.4,0.266666666667,0.333333333333,0.4,0.166,0.714,0.415,0.166,0.227,0.123,0.173,0.227,0.594,0.459,0.528,0.594
gL,1.0,gL_1,2.5,0.266666666667,0.4,0.333333333333,0.333333333333,0.714,0.166,0.415,0.415,0.123,0.227,0.173,0.173,0.459,0.594,0.528,0.528
gL,1.0,gL_1,3.5,0.433333333333,0.4,0.366666666667,0.266666666667,0.09,0.166,0.276,0.714,0.255,0.227,0.199,0.123,0.626,0.594,0.561,0.459
gL,1.0,gL_1,4.5,0.433333333333,0.3,0.366666666667,0.4,0.09,0.568,0.276,0.166,0.255,0.147,0.199,0.227,0.626,0.494,0.561,0.594
gL,1.0,gL_1,5.5,0.266666666667,0.3,0.533333333333,0.366666666667,0.714,0.568,0.007,0.276,0.123,0.147,0.343,0.199,0.459,0.494,0.717,0.561
gL,1.0,gL_1,6.5,0.366666666667,0.366666666667,0.5,0.466666666667,0.276,0.276,0.019,0.043,0.199,0.199,0.313,0.283,0.561,0.561,0.687,0.657
gL,1.0,gL_1,7.5,0.466666666667,0.433333333333,0.433333333333,0.333333333333,0.043,0.09,0.09,0.415,0.283,0.255,0.255,0.173,0.657,0.626,0.626,0.528
gL,1.0,gL_1,8.5,0.366666666667,0.4,0.366666666667,0.533333333333,0.276,0.166,0.276,0.007,0.199,0.227,0.199,0.343,0.561,0.594,0.561,0.717
gL,1.0,gL_1,9.5,0.433333333333,0.333333333333,0.366666666667,0.366666666667,0.09,0.415,0.276,0.276,0.255,0.173,0.199,0.199,0.626,0.528,0.561,0.561
gL,1.0,gL_1,10.5,0.366666666667,0.5,0.366666666667,0.366666666667,0.276,0.019,0.276,0.276,0.199,0.313,0.199,0.199,0.561,0.687,0.561,0.561
gL,1.0,gL_1,11.5,0.4,0.366666666667,0.266666666667,0.266666666667,0.166,0.276,0.714,0.714,0.227,0.199,0.123,0.123,0.594,0.561,0.459,0.459
gL,1.0,gL_1,12.5,0.3,0.4,0.433333333333,0.5,0.568,0.166,0.09,0.019,0.147,0.227,0.255,0.313,0.494,0.594,0.626,0.687
gL,1.0,gL_1,13.5,0.266666666667,0.4,0.4,0.4,0.714,0.166,0.166,0.166,0.123,0.227,0.227,0.227,0.459,0.594,0.594,0.594
gL,1.0,gL_1,14.5,0.233333333333,0.333333333333,0.4,0.4,0.833,0.415,0.166,0.166,0.099,0.173,0.227,0.227,0.423,0.528,0.594,0.594
gL,2.0,gL_1,0.5,0.3,0.433333333333,0.366666666667,0.333333333333,0.568,0.09,0.276,0.415,0.147,0.255,0.199,0.173,0.494,0.626,0.561,0.528
gL,2.0,gL_1,1.5,0.366666666667,0.266666666667,0.466666666667,0.366666666667,0.276,0.714,0.043,0.276,0.199,0.123,0.283,0.199,0.561,0.459,0.657,0.561
gL,2.0,gL_1,2.5,0.4,0.333333333333,0.4,0.366666666667,0.166,0.415,0.166,0.276,0.227,0.173,0.227,0.199,0.594,0.528,0.594,0.561
gL,2.0,gL_1,3.5,0.3,0.366666666667,0.333333333333,0.466666666667,0.568,0.276,0.415,0.043,0.147,0.199,0.173,0.283,0.494,0.561,0.528,0.657
gL,2.0,gL_1,4.5,0.466666666667,0.366666666667,0.4,0.5,0.043,0.276,0.166,0.019,0.283,0.199,0.227,0.313,0.657,0.561,0.594,0.687
gL,2.0,gL_1,5.5,0.233333333333,0.333333333333,0.4,0.333333333333,0.833,0.415,0.166,0.415,0.099,0.173,0.227,0.173,0.423,0.528,0.594,0.528
gL,2.0,gL_1,6.5,0.333333333333,0.533333333333,0.5,0.333333333333,0.415,0.007,0.019,0.415,0.173,0.343,0.313,0.173,0.528,0.717,0.687,0.528
gL,2.0,gL_1,7.5,0.5,0.5,0.433333333333,0.366666666667,0.019,0.019,0.09,0.276,0.313,0.313,0.255,0.199,0.687,0.687,0.626,0.561
gL,2.0,gL_1,8.5,0.366666666667,0.4,0.333333333333,0.5,0.276,0.166,0.415,0.019,0.199,0.227,0.173,0.313,0.561,0.594,0.528,0.687
gL,2.0,gL_1,9.5,0.433333333333,0.333333333333,0.366666666667,0.366666666667,0.09,0.415,0.276,0.276,0.255,0.173,0.199,0.199,0.626,0.528,0.561,0.561
gL,2.0,gL_1,10.5,0.366666666667,0.5,0.366666666667,0.366666666667,0.276,0.019,0.276,0.276,0.199,0.313,0.199,0.199,0.561,0.687,0.561,0.561
gL,2.0,gL_1,11.5,0.4,0.366666666667,0.266666666667,0.266666666667,0.166,0.276,0.714,0.714,0.227,0.199,0.123,0.123,0.594,0.561,0.459,0.459
gL,2.0,gL_1,12.5,0.3,0.4,0.433333333333,0.5,0.568,0.166,0.09,0.019,0.147,0.227,0.255,0.313,0.494,0.594,0.626,0.687
gL,2.0,gL_1,13.5,0.266666666667,0.4,0.4,0.4,0.714,0.166,0.166,0.166,0.123,0.227,0.227,0.227,0.459,0.594,0.594,0.594
gL,2.0,gL_1,14.5,0.233333333333,0.333333333333,0.4,0.4,0.833,0.415,0.166,0.166,0.099,0.173,0.227,0.227,0.423,0.528,0.594,0.594
gL,3.0,gL_1,0.5,0.333333333333,0.166666666667,0.4,0.333333333333,0.415,0.965,0.166,0.415,0.173,0.056,0.227,0.173,0.528,0.347,0.594,0.528
