Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,MeanFR_NG1_L4_CI_SS_L4_mean,MeanFR_NG2_L4_CI_BC_L4_mean
gL,1.0,gL_1,0.5,2.33,6.4175
gL,1.0,gL_1,1.5,2.83333333333,7.69166666667
gL,1.0,gL_1,2.5,2.338125,6.6875
gL,1.0,gL_1,3.5,1.6125,4.965
gL,1.0,gL_1,4.5,0.999375000001,2.91
gL,1.0,gL_1,5.5,0.540208333333,1.685
gL,1.0,gL_1,6.5,0.308333333333,1.06333333333
gL,1.0,gL_1,7.5,0.157083333333,0.241666666667
gL,1.0,gL_1,8.5,0.071875,0.184166666667
gL,1.0,gL_1,9.5,0.0233333333333,0.0
gL,1.0,gL_1,10.5,0.00395833333333,0.0
gL,1.0,gL_1,11.5,0.000416666666667,0.0
gL,1.0,gL_1,12.5,0.0,0.0
gL,1.0,gL_1,13.5,0.0,0.0
gL,1.0,gL_1,14.5,0.0,0.0
gL,2.0,gL_1,0.5,2.37583333333,6.45333333333
gL,2.0,gL_1,1.5,2.80791666667,7.65166666667
gL,2.0,gL_1,2.5,2.37166666667,6.62583333333
gL,2.0,gL_1,3.5,1.6775,4.68916666667
gL,2.0,gL_1,4.5,1.03020833333,2.66916666667
gL,2.0,gL_1,5.5,0.577291666667,1.47583333333
gL,2.0,gL_1,6.5,0.323125,0.890000000001
gL,2.0,gL_1,7.5,0.163333333333,0.194166666667
gL,2.0,gL_1,8.5,0.071875,0.141666666667
gL,2.0,gL_1,9.5,0.0233333333333,0.0
gL,2.0,gL_1,10.5,0.00395833333333,0.0
gL,2.0,gL_1,11.5,0.000416666666667,0.0
gL,2.0,gL_1,12.5,0.0,0.0
gL,2.0,gL_1,13.5,0.0,0.0
gL,2.0,gL_1,14.5,0.0,0.0
gL,3.0,gL_1,0.5,3.16354166667,6.88916666667
gL,3.0,gL_1,1.5,3.13916666667,7.56166666667
gL,3.0,gL_1,2.5,2.67916666667,6.61416666667
gL,3.0,gL_1,3.5,1.93354166667,4.275
gL,3.0,gL_1,4.5,1.11083333333,2.42083333333
gL,3.0,gL_1,5.5,0.634166666667,1.38166666667
gL,3.0,gL_1,6.5,0.339583333333,0.577499999999
gL,3.0,gL_1,7.5,0.166458333333,0.1875
gL,3.0,gL_1,8.5,0.071875,0.0625
gL,3.0,gL_1,9.5,0.0233333333333,0.0
gL,3.0,gL_1,10.5,0.00395833333333,0.0
gL,3.0,gL_1,11.5,0.000416666666667,0.0
gL,3.0,gL_1,12.5,0.0,0.0
gL,3.0,gL_1,13.5,0.0,0.0
gL,3.0,gL_1,14.5,0.0,0.0
gL,4.0,gL_1,0.5,4.02770833333,7.43083333333
gL,4.0,gL_1,1.5,3.756875,7.70916666667
gL,4.0,gL_1,2.5,3.14,6.37583333333
gL,4.0,gL_1,3.5,2.13375,4.13166666667
gL,4.0,gL_1,4.5,1.18,1.9875
gL,4.0,gL_1,5.5,0.675833333334,1.21666666667
gL,4.0,gL_1,6.5,0.37125,0.299166666667
gL,4.0,gL_1,7.5,0.167291666667,0.183333333333
gL,4.0,gL_1,8.5,0.071875,0.0
gL,4.0,gL_1,9.5,0.0233333333333,0.0
gL,4.0,gL_1,10.5,0.00395833333333,0.0
gL,4.0,gL_1,11.5,0.000416666666667,0.0
gL,4.0,gL_1,12.5,0.0,0.0
gL,4.0,gL_1,13.5,0.0,0.0
gL,4.0,gL_1,14.5,0.0,0.0
gL,5.0,gL_1,0.5,5.49083333333,8.95166666666
gL,5.0,gL_1,1.5,4.90604166667,8.41166666667
gL,5.0,gL_1,2.5,3.85645833333,6.2475
gL,5.0,gL_1,3.5,2.5475,3.89
gL,5.0,gL_1,4.5,1.37104166667,1.72416666667
gL,5.0,gL_1,5.5,0.712083333333,1.03416666667
gL,5.0,gL_1,6.5,0.386875,0.2575
gL,5.0,gL_1,7.5,0.167916666667,0.148333333333
gL,5.0,gL_1,8.5,0.071875,0.0
gL,5.0,gL_1,9.5,0.0233333333333,0.0
gL,5.0,gL_1,10.5,0.00395833333333,0.0
gL,5.0,gL_1,11.5,0.000416666666667,0.0
gL,5.0,gL_1,12.5,0.0,0.0
gL,5.0,gL_1,13.5,0.0,0.0
gL,5.0,gL_1,14.5,0.0,0.0
gL,6.0,gL_1,0.5,6.953125,10.4825
gL,6.0,gL_1,1.5,6.10104166667,9.36666666667
gL,6.0,gL_1,2.5,4.49583333333,6.73
gL,6.0,gL_1,3.5,2.89604166667,3.64333333333
gL,6.0,gL_1,4.5,1.51,1.52666666667
gL,6.0,gL_1,5.5,0.78125,0.746666666667
gL,6.0,gL_1,6.5,0.394166666667,0.2475
gL,6.0,gL_1,7.5,0.168125,0.125
gL,6.0,gL_1,8.5,0.071875,0.0
gL,6.0,gL_1,9.5,0.0233333333333,0.0
gL,6.0,gL_1,10.5,0.00395833333333,0.0
gL,6.0,gL_1,11.5,0.000416666666667,0.0
gL,6.0,gL_1,12.5,0.0,0.0
gL,6.0,gL_1,13.5,0.0,0.0
gL,6.0,gL_1,14.5,0.0,0.0
gL,7.0,gL_1,0.5,9.76125000001,13.4966666667
gL,7.0,gL_1,1.5,7.38708333333,10.2966666667
gL,7.0,gL_1,2.5,5.28104166667,7.14083333333
gL,7.0,gL_1,3.5,3.48645833333,3.83166666667
gL,7.0,gL_1,4.5,1.61270833333,1.48
gL,7.0,gL_1,5.5,0.843333333334,0.586666666667
gL,7.0,gL_1,6.5,0.398541666667,0.2025
gL,7.0,gL_1,7.5,0.168541666667,0.1075
gL,7.0,gL_1,8.5,0.071875,0.0
gL,7.0,gL_1,9.5,0.0233333333333,0.0
gL,7.0,gL_1,10.5,0.00395833333333,0.0
gL,7.0,gL_1,11.5,0.000416666666667,0.0
gL,7.0,gL_1,12.5,0.0,0.0
gL,7.0,gL_1,13.5,0.0,0.0
gL,7.0,gL_1,14.5,0.0,0.0
gL,8.0,gL_1,0.5,12.36125,16.45
gL,8.0,gL_1,1.5,9.25354166667,12.1583333334
gL,8.0,gL_1,2.5,6.78166666666,8.22333333333
gL,8.0,gL_1,3.5,3.98,4.05333333333
gL,8.0,gL_1,4.5,1.7325,1.48666666667
gL,8.0,gL_1,5.5,0.915000000001,0.553333333334
gL,8.0,gL_1,6.5,0.403333333333,0.17
gL,8.0,gL_1,7.5,0.168541666667,0.0241666666667
gL,8.0,gL_1,8.5,0.071875,0.0
gL,8.0,gL_1,9.5,0.0233333333333,0.0
gL,8.0,gL_1,10.5,0.00395833333333,0.0
gL,8.0,gL_1,11.5,0.000416666666667,0.0
gL,8.0,gL_1,12.5,0.0,0.0
gL,8.0,gL_1,13.5,0.0,0.0
gL,8.0,gL_1,14.5,0.0,0.0
gL,9.0,gL_1,0.5,28.1725,35.3925
gL,9.0,gL_1,1.5,13.2364583333,15.945
